Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",9.87,10.36,9.75,10.24,10.24,"653,400"
"Nov 17, 2023",9.81,10.17,9.77,9.77,9.77,"442,800"
"Nov 16, 2023",9.88,9.95,9.63,9.87,9.87,"526,900"
"Nov 15, 2023",10.24,10.24,9.77,9.86,9.86,"237,500"
"Nov 14, 2023",9.76,10.13,9.76,10.09,10.09,"428,400"
"Nov 13, 2023",9.86,9.91,9.68,9.81,9.81,"652,100"
"Nov 10, 2023",9.70,9.85,9.62,9.85,9.85,"375,700"
"Nov 09, 2023",9.56,9.80,9.56,9.62,9.62,"386,500"
"Nov 08, 2023",9.84,10.13,9.49,9.58,9.58,"623,500"
"Nov 07, 2023",9.83,10.09,9.72,9.95,9.95,"673,800"
"Nov 06, 2023",10.43,10.50,9.95,10.00,10.00,"443,500"
"Nov 03, 2023",10.36,10.47,10.17,10.33,10.33,"785,600"
"Nov 02, 2023",10.30,10.49,10.30,10.34,10.34,"431,400"
"Nov 01, 2023",10.10,10.49,10.04,10.29,10.29,"745,800"
"Oct 31, 2023",9.81,10.12,9.78,10.07,10.07,"727,500"
"Oct 30, 2023",9.82,10.06,9.74,9.76,9.76,"673,100"
"Oct 27, 2023",9.55,10.31,9.46,9.88,9.88,"1,288,500"
"Oct 26, 2023",9.49,9.62,9.32,9.54,9.54,"501,800"
"Oct 25, 2023",9.35,9.58,9.35,9.50,9.50,"282,300"
"Oct 24, 2023",9.49,9.49,9.28,9.35,9.35,"331,000"
"Oct 23, 2023",9.39,9.58,9.34,9.47,9.47,"222,300"
"Oct 20, 2023",9.58,9.62,9.36,9.53,9.53,"230,400"
"Oct 19, 2023",9.52,9.68,9.47,9.65,9.65,"354,600"
"Oct 18, 2023",9.57,9.64,9.48,9.56,9.56,"303,700"
"Oct 17, 2023",9.54,9.73,9.51,9.56,9.56,"355,900"
"Oct 16, 2023",9.70,9.70,9.46,9.58,9.58,"250,700"
"Oct 13, 2023",9.56,9.64,9.04,9.62,9.62,"310,200"
"Oct 12, 2023",9.57,9.65,9.38,9.43,9.43,"373,800"
"Oct 11, 2023",9.56,9.74,9.49,9.50,9.50,"414,000"
"Oct 10, 2023",9.70,9.71,9.56,9.61,9.61,"346,600"
"Oct 06, 2023",9.10,9.48,8.94,9.43,9.43,"382,000"
"Oct 05, 2023",8.85,9.16,8.85,9.08,9.08,"430,400"
"Oct 04, 2023",9.18,9.18,8.90,9.02,9.02,"395,300"
"Oct 03, 2023",9.26,9.30,9.18,9.27,9.27,"311,500"
"Oct 02, 2023",9.32,9.43,9.15,9.25,9.25,"434,700"
"Sep 29, 2023",9.40,9.49,9.26,9.27,9.27,"537,300"
"Sep 28, 2023",9.23,9.52,9.19,9.35,9.35,"646,100"
"Sep 27, 2023",9.18,9.43,9.13,9.25,9.25,"579,800"
"Sep 26, 2023",9.22,9.33,8.98,9.07,9.07,"309,900"
"Sep 25, 2023",9.22,9.39,9.22,9.28,9.28,"447,600"
"Sep 22, 2023",9.31,9.41,9.16,9.22,9.22,"407,600"
"Sep 21, 2023",9.56,9.58,9.20,9.22,9.22,"386,500"
"Sep 20, 2023",9.78,9.94,9.54,9.55,9.55,"401,100"
"Sep 19, 2023",10.04,10.05,9.66,9.83,9.83,"319,700"
"Sep 18, 2023",10.02,10.02,9.80,9.96,9.96,"411,800"
"Sep 15, 2023",9.72,10.10,9.36,10.05,10.05,"1,066,000"
"Sep 14, 2023",9.55,9.78,9.55,9.76,9.76,"317,100"
"Sep 13, 2023",9.50,9.62,9.36,9.46,9.46,"417,400"
"Sep 12, 2023",9.38,9.57,9.38,9.48,9.48,"270,500"
"Sep 11, 2023",9.39,9.51,9.30,9.31,9.31,"261,200"
"Sep 08, 2023",9.52,9.55,9.36,9.38,9.38,"346,300"
"Sep 07, 2023",9.55,9.62,9.39,9.49,9.49,"493,600"
"Sep 06, 2023",9.87,9.90,9.54,9.57,9.57,"448,100"
"Sep 05, 2023",9.82,9.92,9.65,9.87,9.87,"318,600"
"Sep 01, 2023",9.73,9.91,9.73,9.86,9.86,"424,400"
"Aug 31, 2023",9.69,9.78,9.54,9.63,9.63,"430,300"
"Aug 30, 2023",9.36,9.65,9.36,9.55,9.55,"377,000"
"Aug 29, 2023",9.12,9.35,9.00,9.32,9.32,"305,200"
"Aug 28, 2023",8.95,9.11,8.95,9.10,9.10,"273,200"
"Aug 25, 2023",8.85,9.01,8.84,8.93,8.93,"255,200"
"Aug 24, 2023",9.10,9.10,8.85,8.85,8.85,"400,100"
"Aug 23, 2023",9.10,9.21,8.86,9.16,9.16,"625,000"
"Aug 22, 2023",9.29,9.30,9.16,9.19,9.19,"379,200"
"Aug 21, 2023",9.61,9.62,9.29,9.30,9.30,"257,300"
"Aug 18, 2023",9.36,9.59,9.26,9.56,9.56,"466,200"
"Aug 17, 2023",9.34,9.47,9.23,9.40,9.40,"1,812,600"
"Aug 16, 2023",9.33,9.43,9.20,9.30,9.30,"827,000"
"Aug 15, 2023",9.28,9.35,9.21,9.34,9.34,"427,100"
"Aug 14, 2023",9.31,9.40,9.27,9.36,9.36,"397,700"
"Aug 11, 2023",9.30,9.49,9.25,9.33,9.33,"295,500"
"Aug 10, 2023",9.42,9.48,9.20,9.31,9.31,"470,500"
"Aug 09, 2023",9.60,9.60,9.25,9.43,9.43,"874,100"
"Aug 08, 2023",9.28,9.47,9.21,9.35,9.35,"366,500"
"Aug 04, 2023",9.50,9.74,9.35,9.36,9.36,"850,500"
"Aug 03, 2023",9.27,9.52,9.18,9.49,9.49,"326,100"
"Aug 02, 2023",9.25,9.34,9.17,9.26,9.26,"557,900"
"Aug 01, 2023",9.25,9.39,9.17,9.31,9.31,"386,500"
"Jul 31, 2023",9.45,9.45,9.10,9.30,9.30,"845,000"
"Jul 28, 2023",8.92,9.47,8.77,9.42,9.42,"1,013,900"
"Jul 27, 2023",9.25,9.26,9.15,9.20,9.20,"308,500"
"Jul 26, 2023",9.16,9.25,9.10,9.20,9.20,"190,000"
"Jul 25, 2023",9.11,9.22,9.03,9.20,9.20,"323,400"
"Jul 24, 2023",9.02,9.14,8.99,9.12,9.12,"417,200"
"Jul 21, 2023",9.09,9.09,8.90,9.00,9.00,"240,100"
"Jul 20, 2023",9.08,9.13,8.96,9.00,9.00,"298,600"
"Jul 19, 2023",8.86,9.04,8.86,9.02,9.02,"588,900"
"Jul 18, 2023",8.65,8.89,8.62,8.85,8.85,"487,900"
"Jul 17, 2023",8.68,8.73,8.55,8.61,8.61,"602,500"
"Jul 14, 2023",8.70,8.72,8.51,8.70,8.70,"556,900"
"Jul 13, 2023",8.73,8.78,8.34,8.70,8.70,"876,900"
"Jul 12, 2023",9.21,9.22,8.78,8.81,8.81,"434,700"
"Jul 11, 2023",9.18,9.25,9.05,9.12,9.12,"351,600"
"Jul 10, 2023",8.99,9.20,8.96,9.12,9.12,"683,000"
"Jul 07, 2023",8.65,8.98,8.65,8.94,8.94,"357,100"
"Jul 06, 2023",8.57,8.70,8.54,8.65,8.65,"477,600"
"Jul 05, 2023",8.68,8.68,8.56,8.61,8.61,"237,700"
"Jul 04, 2023",8.63,8.68,8.50,8.63,8.63,"115,800"
"Jun 30, 2023",8.70,8.75,8.51,8.65,8.65,"564,600"
"Jun 29, 2023",8.46,8.70,8.41,8.63,8.63,"653,900"
"Jun 28, 2023",8.24,8.55,8.22,8.45,8.45,"486,500"
"Jun 27, 2023",8.23,8.38,8.17,8.28,8.28,"487,600"
"Jun 26, 2023",7.97,8.38,7.97,8.26,8.26,"413,500"
"Jun 23, 2023",7.93,8.06,7.83,8.00,8.00,"1,028,000"
"Jun 22, 2023",8.07,8.09,7.85,8.05,8.05,"1,690,100"
"Jun 21, 2023",7.77,8.19,7.74,8.18,8.18,"1,501,000"
"Jun 20, 2023",7.88,7.88,7.75,7.81,7.81,"551,200"
"Jun 19, 2023",7.87,7.93,7.80,7.90,7.90,"122,700"
"Jun 16, 2023",7.64,7.95,7.53,7.91,7.91,"2,262,500"
"Jun 15, 2023",7.34,7.61,7.29,7.58,7.58,"1,199,600"
"Jun 14, 2023",7.61,7.63,7.24,7.32,7.32,"592,400"
"Jun 13, 2023",7.38,7.66,7.34,7.59,7.59,"977,600"
"Jun 12, 2023",7.38,7.46,7.28,7.32,7.32,"523,900"
"Jun 09, 2023",7.45,7.54,7.40,7.49,7.49,"311,300"
"Jun 08, 2023",7.58,7.58,7.28,7.46,7.46,"504,400"
"Jun 07, 2023",7.49,7.64,7.49,7.61,7.61,"714,900"
"Jun 06, 2023",7.45,7.48,7.24,7.45,7.45,"644,000"
"Jun 05, 2023",7.64,7.75,7.49,7.50,7.50,"417,200"
"Jun 02, 2023",7.34,7.53,7.34,7.51,7.51,"492,200"
"Jun 01, 2023",7.29,7.42,7.13,7.23,7.23,"440,000"
"May 31, 2023",7.39,7.40,7.16,7.31,7.31,"871,000"
"May 30, 2023",7.41,7.51,7.36,7.49,7.49,"687,700"
"May 29, 2023",7.57,7.58,7.47,7.51,7.51,"116,900"
"May 26, 2023",7.50,7.65,7.45,7.63,7.63,"456,000"
"May 25, 2023",7.70,7.70,7.44,7.46,7.46,"497,500"
"May 24, 2023",7.68,7.79,7.57,7.78,7.78,"712,600"
"May 23, 2023",7.78,7.93,7.60,7.64,7.64,"672,600"
"May 19, 2023",7.87,8.05,7.80,7.87,7.87,"866,900"
"May 18, 2023",7.55,7.87,7.37,7.78,7.78,"1,420,600"
"May 17, 2023",7.40,7.62,7.10,7.57,7.57,"732,900"
"May 16, 2023",7.35,7.46,7.31,7.33,7.33,"295,600"
"May 15, 2023",7.25,7.41,7.14,7.35,7.35,"603,000"
"May 12, 2023",7.20,7.30,7.13,7.20,7.20,"335,300"
"May 11, 2023",7.21,7.26,7.02,7.13,7.13,"574,700"
"May 10, 2023",7.50,7.57,7.26,7.26,7.26,"625,900"
"May 09, 2023",7.21,7.52,7.21,7.49,7.49,"477,600"
"May 08, 2023",7.31,7.44,7.22,7.25,7.25,"539,100"
"May 05, 2023",7.05,7.29,7.05,7.24,7.24,"490,600"
"May 04, 2023",6.91,7.03,6.79,6.91,6.91,"576,200"
"May 03, 2023",6.82,6.97,6.79,6.92,6.92,"734,600"
"May 02, 2023",7.32,7.32,6.95,6.95,6.95,"1,001,900"
"May 01, 2023",7.53,7.71,7.37,7.38,7.38,"966,100"
"Apr 28, 2023",7.26,7.68,7.20,7.62,7.62,"799,200"
"Apr 27, 2023",7.37,7.41,7.25,7.31,7.31,"575,800"
"Apr 26, 2023",7.52,7.59,7.31,7.33,7.33,"913,700"
"Apr 25, 2023",7.63,7.66,7.50,7.58,7.58,"472,900"
"Apr 24, 2023",7.56,7.74,7.54,7.69,7.69,"737,800"
"Apr 21, 2023",7.59,7.67,7.52,7.58,7.58,"442,300"
"Apr 20, 2023",7.76,7.77,7.53,7.55,7.55,"925,000"
"Apr 19, 2023",7.80,7.86,7.65,7.86,7.86,"635,300"
"Apr 18, 2023",7.71,7.90,7.65,7.89,7.89,"574,200"
"Apr 17, 2023",7.82,7.90,7.76,7.77,7.77,"671,500"
"Apr 14, 2023",7.76,7.82,7.69,7.78,7.78,"468,400"
"Apr 13, 2023",7.85,7.87,7.65,7.73,7.73,"564,500"
"Apr 12, 2023",7.92,7.94,7.73,7.77,7.77,"517,900"
"Apr 11, 2023",7.82,7.87,7.73,7.86,7.86,"628,200"
"Apr 10, 2023",7.61,7.89,7.55,7.78,7.78,"829,600"
"Apr 06, 2023",7.70,7.70,7.50,7.56,7.56,"555,000"
"Apr 05, 2023",7.72,7.79,7.60,7.68,7.68,"561,400"
"Apr 04, 2023",7.88,7.92,7.52,7.69,7.69,"658,200"
"Apr 03, 2023",8.08,8.14,7.69,7.83,7.83,"840,300"
"Mar 31, 2023",7.85,7.97,7.78,7.81,7.81,"626,000"
"Mar 30, 2023",7.88,7.94,7.67,7.77,7.77,"776,700"
"Mar 29, 2023",7.91,8.00,7.70,7.85,7.85,"806,700"
"Mar 28, 2023",7.83,7.89,7.69,7.82,7.82,"1,229,900"
"Mar 27, 2023",7.99,7.99,7.62,7.86,7.86,"526,700"
"Mar 24, 2023",7.63,7.92,7.56,7.89,7.89,"1,042,400"
"Mar 23, 2023",7.97,8.22,7.69,7.78,7.78,"1,126,600"
"Mar 22, 2023",8.45,8.45,7.85,7.88,7.88,"1,677,800"
"Mar 21, 2023",8.26,8.48,8.19,8.47,8.47,"690,300"
"Mar 20, 2023",7.75,8.11,7.72,8.08,8.08,"473,400"
"Mar 17, 2023",7.88,7.93,7.70,7.74,7.74,"905,000"
"Mar 16, 2023",7.72,8.07,7.65,8.02,8.02,"1,011,500"
"Mar 15, 2023",8.01,8.04,7.67,7.86,7.86,"1,396,900"
"Mar 14, 2023",8.33,8.63,8.15,8.27,8.27,"1,120,200"
"Mar 13, 2023",8.22,8.46,8.04,8.31,8.31,"1,941,900"
"Mar 10, 2023",8.46,8.63,8.33,8.47,8.47,"825,700"
"Mar 09, 2023",8.48,8.91,8.48,8.52,8.52,"1,339,000"
"Mar 08, 2023",8.32,8.49,8.27,8.47,8.47,"636,900"
"Mar 07, 2023",8.36,8.40,8.23,8.31,8.31,"441,000"
"Mar 06, 2023",8.32,8.45,8.23,8.38,8.38,"475,200"
"Mar 03, 2023",8.18,8.54,8.17,8.45,8.45,"518,800"
"Mar 02, 2023",8.21,8.31,8.10,8.22,8.22,"764,800"
"Mar 01, 2023",7.95,8.26,7.88,8.19,8.19,"606,600"
"Feb 28, 2023",8.22,8.22,7.97,7.98,7.98,"1,352,500"
"Feb 27, 2023",8.60,8.60,8.16,8.22,8.22,"794,400"
"Feb 24, 2023",8.19,8.68,8.18,8.63,8.63,"1,286,800"
"Feb 23, 2023",7.92,8.27,7.92,8.20,8.20,"857,200"
"Feb 22, 2023",7.85,8.04,7.79,7.80,7.80,"978,500"
"Feb 21, 2023",7.89,8.04,7.82,7.82,7.82,"542,900"
"Feb 17, 2023",8.22,8.22,7.95,7.95,7.95,"814,600"
"Feb 16, 2023",8.37,8.45,8.29,8.33,8.33,"507,600"
"Feb 15, 2023",8.55,8.59,8.37,8.40,8.40,"606,500"
"Feb 14, 2023",8.20,8.69,8.09,8.62,8.62,"998,300"
"Feb 13, 2023",7.95,8.45,7.93,8.28,8.28,"983,200"
"Feb 10, 2023",8.16,8.23,7.98,8.00,8.00,"1,025,000"
"Feb 09, 2023",8.13,8.43,8.03,8.10,8.10,"1,181,800"
"Feb 08, 2023",8.30,8.35,8.01,8.08,8.08,"845,700"
"Feb 07, 2023",8.09,8.31,8.08,8.28,8.28,"527,200"
"Feb 06, 2023",8.21,8.27,7.98,8.08,8.08,"835,400"
"Feb 03, 2023",8.03,8.25,8.03,8.21,8.21,"1,457,600"
"Feb 02, 2023",8.01,8.16,7.85,8.02,8.02,"1,509,400"
"Feb 01, 2023",8.25,8.32,7.86,7.98,7.98,"1,462,800"
"Jan 31, 2023",8.11,8.40,8.11,8.30,8.30,"1,137,000"
"Jan 30, 2023",8.20,8.28,7.92,8.08,8.08,"1,288,500"
"Jan 27, 2023",8.32,8.52,8.21,8.39,8.39,"1,131,600"
"Jan 26, 2023",8.34,8.40,8.13,8.32,8.32,"1,602,700"
"Jan 25, 2023",8.80,8.80,8.35,8.39,8.39,"1,192,900"
"Jan 24, 2023",8.80,8.92,8.76,8.86,8.86,"1,253,200"
"Jan 23, 2023",8.85,9.09,8.82,8.85,8.85,"1,142,000"
"Jan 20, 2023",8.83,9.07,8.73,8.80,8.80,"1,093,700"
"Jan 19, 2023",8.79,8.97,8.69,8.80,8.80,"1,130,700"
"Jan 18, 2023",9.14,9.28,8.89,8.92,8.92,"1,026,100"
"Jan 17, 2023",8.99,9.13,8.80,9.11,9.11,"1,749,200"
"Jan 16, 2023",8.80,8.97,8.77,8.91,8.91,"537,800"
"Jan 13, 2023",9.06,9.06,8.76,8.91,8.91,"778,600"
"Jan 12, 2023",8.55,9.03,8.53,9.02,9.02,"1,118,800"
"Jan 11, 2023",8.36,8.65,8.35,8.46,8.46,"618,500"
"Jan 10, 2023",8.39,8.39,8.12,8.28,8.28,"1,523,200"
"Jan 09, 2023",8.42,8.56,8.31,8.43,8.43,"1,248,100"
"Jan 06, 2023",8.37,8.47,8.23,8.32,8.32,"1,159,000"
"Jan 05, 2023",8.38,8.47,8.23,8.26,8.26,"656,800"
"Jan 04, 2023",8.34,8.55,8.16,8.43,8.43,"1,446,800"
"Jan 03, 2023",9.30,9.35,8.35,8.40,8.40,"1,418,300"
"Dec 30, 2022",9.20,9.53,9.15,9.47,9.47,"790,400"
"Dec 29, 2022",9.28,9.42,9.10,9.27,9.27,"982,200"
"Dec 28, 2022",9.67,9.74,9.34,9.36,9.36,"1,077,500"
"Dec 23, 2022",9.60,9.85,9.49,9.79,9.79,"603,300"
"Dec 22, 2022",9.87,9.87,9.37,9.51,9.51,"744,600"
"Dec 21, 2022",9.42,9.93,9.29,9.86,9.86,"1,289,900"
"Dec 20, 2022",9.39,9.41,9.20,9.26,9.26,"848,600"
"Dec 19, 2022",9.97,10.09,9.42,9.45,9.45,"1,448,700"
"Dec 16, 2022",10.62,10.68,9.87,9.93,9.93,"1,470,900"
"Dec 15, 2022",10.99,11.03,10.70,10.77,10.77,"817,700"
"Dec 14, 2022",10.90,11.13,10.79,11.08,11.08,"1,449,500"
"Dec 13, 2022",11.02,11.17,10.75,10.87,10.87,"1,359,900"
"Dec 12, 2022",11.00,11.14,10.80,10.92,10.92,"1,037,100"
"Dec 09, 2022",10.96,11.08,10.90,10.96,10.96,"785,200"
"Dec 08, 2022",11.24,11.35,10.91,10.96,10.96,"1,521,500"
"Dec 07, 2022",11.08,11.26,10.89,11.07,11.07,"1,949,300"
"Dec 06, 2022",11.16,11.32,11.02,11.04,11.04,"1,805,800"
"Dec 05, 2022",11.62,11.62,11.20,11.24,11.24,"865,500"
"Dec 02, 2022",11.68,11.81,11.32,11.50,11.50,"1,123,200"
"Dec 01, 2022",11.64,11.92,11.57,11.72,11.72,"615,500"
"Nov 30, 2022",11.75,11.76,11.50,11.56,11.56,"976,200"
"Nov 29, 2022",11.65,11.82,11.54,11.67,11.67,"804,400"
"Nov 28, 2022",11.50,11.71,11.41,11.56,11.56,"818,700"
"Nov 25, 2022",11.69,11.81,11.62,11.72,11.72,"626,200"
"Nov 24, 2022",11.64,11.74,11.55,11.69,11.69,"158,600"
"Nov 23, 2022",11.79,11.88,11.54,11.66,11.66,"716,000"
"Nov 22, 2022",11.57,11.97,11.47,11.88,11.88,"1,200,000"
"Nov 21, 2022",11.31,11.49,10.97,11.44,11.44,"1,348,400"
"Nov 18, 2022",11.10,11.53,11.05,11.47,11.47,"1,184,000"
"Nov 17, 2022",11.25,11.39,11.15,11.34,11.34,"1,011,600"
"Nov 16, 2022",11.76,11.76,11.37,11.38,11.38,"616,600"
"Nov 15, 2022",11.81,11.89,11.60,11.78,11.78,"762,000"
"Nov 14, 2022",11.67,12.03,11.65,11.73,11.73,"699,100"
"Nov 11, 2022",11.56,11.79,11.48,11.69,11.69,"1,389,600"
"Nov 10, 2022",11.36,11.49,11.25,11.41,11.41,"940,400"
"Nov 09, 2022",11.50,11.59,11.08,11.18,11.18,"937,100"
"Nov 08, 2022",11.90,11.90,11.39,11.53,11.53,"805,800"
"Nov 07, 2022",11.81,12.19,11.71,11.87,11.87,"636,700"
"Nov 04, 2022",11.85,11.99,11.58,11.69,11.69,"826,700"
"Nov 03, 2022",10.84,11.74,10.76,11.58,11.58,"1,531,900"
"Nov 02, 2022",10.51,11.02,10.49,10.73,10.73,"698,600"
"Nov 01, 2022",10.45,10.79,10.33,10.49,10.49,"511,900"
"Oct 31, 2022",9.97,10.67,9.94,10.30,10.30,"1,128,000"
"Oct 28, 2022",10.10,10.11,9.45,10.00,10.00,"1,591,000"
"Oct 27, 2022",10.17,10.37,10.08,10.24,10.24,"489,200"
"Oct 26, 2022",9.87,10.18,9.81,10.11,10.11,"540,100"
"Oct 25, 2022",9.72,9.89,9.67,9.87,9.87,"353,200"
"Oct 24, 2022",9.70,9.85,9.47,9.74,9.74,"491,800"
"Oct 21, 2022",10.00,10.00,9.68,9.72,9.72,"375,500"
"Oct 20, 2022",10.18,10.32,9.91,9.97,9.97,"486,300"
"Oct 19, 2022",10.15,10.26,10.05,10.10,10.10,"326,500"
"Oct 18, 2022",10.58,10.63,10.01,10.17,10.17,"282,700"
"Oct 17, 2022",10.65,10.77,10.48,10.48,10.48,"375,100"
