Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",21.61,21.85,21.43,21.62,21.62,"1,381,300"
"Nov 17, 2023",21.40,21.59,21.12,21.40,21.40,"1,509,600"
"Nov 16, 2023",21.54,21.58,20.70,21.22,21.22,"2,641,600"
"Nov 15, 2023",21.90,21.94,21.18,21.66,21.66,"2,068,700"
"Nov 14, 2023",21.79,22.04,21.61,21.96,21.96,"1,390,500"
"Nov 13, 2023",21.87,22.22,21.76,21.79,21.79,"1,936,800"
"Nov 10, 2023",21.57,21.84,21.41,21.69,21.69,"1,926,400"
"Nov 09, 2023",21.53,22.14,21.30,21.35,21.35,"3,723,100"
"Nov 08, 2023",21.83,22.18,21.20,21.43,21.43,"2,498,900"
"Nov 07, 2023",22.43,22.43,21.86,22.01,22.01,"2,490,200"
"Nov 06, 2023",23.46,23.53,22.46,22.71,22.71,"3,251,500"
"Nov 03, 2023",23.25,23.76,23.07,23.44,23.44,"3,618,000"
"Nov 02, 2023",22.50,23.04,22.42,22.98,22.98,"2,204,500"
"Nov 01, 2023",22.35,22.74,22.24,22.54,22.54,"1,727,000"
"Oct 31, 2023",22.21,22.53,22.00,22.31,22.31,"3,492,200"
"Oct 30, 2023",21.86,22.45,21.77,21.92,21.92,"2,016,700"
"Oct 27, 2023",22.11,22.17,21.65,22.00,22.00,"1,388,700"
"Oct 26, 2023",21.73,22.25,21.54,22.02,22.02,"1,803,200"
"Oct 25, 2023",21.88,22.27,21.49,22.12,22.12,"2,253,100"
"Oct 24, 2023",22.02,22.11,21.75,21.77,21.77,"2,348,700"
"Oct 23, 2023",22.36,22.66,22.10,22.17,22.17,"2,647,400"
"Oct 20, 2023",22.58,22.66,22.29,22.47,22.47,"4,204,000"
"Oct 19, 2023",22.12,22.73,22.06,22.58,22.58,"2,229,800"
"Oct 18, 2023",22.00,22.35,21.90,22.24,22.24,"3,262,000"
"Oct 17, 2023",21.82,21.91,21.66,21.87,21.87,"2,209,000"
"Oct 16, 2023",21.94,22.05,21.63,21.93,21.93,"2,949,900"
"Oct 13, 2023",22.00,22.18,21.84,22.10,22.10,"2,329,200"
"Oct 12, 2023",21.91,21.96,21.63,21.81,21.81,"1,283,000"
"Oct 11, 2023",21.46,21.87,21.39,21.67,21.67,"4,469,100"
"Oct 10, 2023",21.65,21.82,21.58,21.65,21.65,"3,783,600"
"Oct 06, 2023",20.50,21.06,20.17,21.05,21.05,"2,358,300"
"Oct 05, 2023",20.05,20.55,20.02,20.36,20.36,"2,546,900"
"Oct 04, 2023",20.70,20.76,20.13,20.28,20.28,"2,702,900"
"Oct 03, 2023",20.96,21.21,20.76,20.96,20.96,"3,358,200"
"Oct 02, 2023",21.68,21.70,20.82,20.97,20.97,"3,488,500"
"Sep 29, 2023",21.77,21.93,21.45,21.68,21.68,"2,293,400"
"Sep 28, 2023",21.47,22.05,21.46,21.74,21.74,"2,103,100"
"Sep 28, 2023",0.17 Dividend
