Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",4.0200,4.0800,3.9900,4.0200,4.0200,"2,268,100"
"Nov 17, 2023",3.8700,4.0200,3.8600,3.9700,3.9700,"3,186,600"
"Nov 16, 2023",3.9800,3.9900,3.7400,3.8600,3.8600,"5,141,700"
"Nov 15, 2023",4.0800,4.0800,4.0000,4.0200,4.0200,"2,230,400"
"Nov 14, 2023",4.0800,4.1200,4.0500,4.1100,4.1100,"2,032,200"
"Nov 13, 2023",4.0700,4.1300,4.0300,4.0700,4.0700,"1,969,400"
"Nov 10, 2023",3.9400,4.0800,3.9200,4.0600,4.0600,"3,090,300"
"Nov 09, 2023",3.8500,3.9700,3.8300,3.8900,3.8900,"3,425,000"
"Nov 08, 2023",3.9500,3.9900,3.7400,3.7900,3.7900,"6,028,300"
"Nov 07, 2023",4.0000,4.0600,3.9500,4.0100,4.0100,"4,674,000"
"Nov 06, 2023",4.2200,4.2300,4.1100,4.1500,4.1500,"2,721,300"
"Nov 03, 2023",4.2500,4.2700,4.1300,4.1900,4.1900,"4,070,500"
"Nov 02, 2023",4.2300,4.2800,4.1400,4.2500,4.2500,"4,390,000"
"Nov 01, 2023",4.2200,4.3300,4.1500,4.2100,4.2100,"5,523,800"
"Oct 31, 2023",4.1300,4.2100,4.0800,4.1200,4.1200,"2,721,300"
"Oct 30, 2023",4.0900,4.1700,4.0600,4.0800,4.0800,"2,132,400"
"Oct 27, 2023",4.1700,4.1800,4.0400,4.1500,4.1500,"2,181,200"
"Oct 26, 2023",4.0900,4.1600,4.0300,4.1500,4.1500,"1,576,200"
"Oct 25, 2023",4.0600,4.1700,4.0200,4.1600,4.1600,"2,471,900"
"Oct 24, 2023",4.1300,4.1500,4.0500,4.0600,4.0600,"1,827,000"
"Oct 23, 2023",4.2000,4.2100,4.1000,4.1200,4.1200,"2,329,300"
"Oct 20, 2023",4.3000,4.3000,4.2100,4.2400,4.2400,"2,340,900"
"Oct 19, 2023",4.1900,4.3500,4.1900,4.2700,4.2700,"4,022,000"
"Oct 18, 2023",4.3000,4.3000,4.1900,4.2400,4.2400,"3,431,800"
"Oct 17, 2023",4.2300,4.3000,4.2100,4.2500,4.2500,"3,179,800"
"Oct 16, 2023",4.3000,4.3100,4.1800,4.2600,4.2600,"2,193,800"
"Oct 13, 2023",4.2000,4.3300,4.1800,4.2900,4.2900,"4,056,300"
"Oct 12, 2023",4.1400,4.1800,4.0800,4.1100,4.1100,"2,213,800"
"Oct 11, 2023",4.0500,4.1100,4.0000,4.0900,4.0900,"2,691,000"
"Oct 10, 2023",4.2100,4.2400,4.0900,4.1000,4.1000,"4,520,500"
"Oct 06, 2023",3.9500,4.0800,3.8800,4.0600,4.0600,"2,644,400"
"Oct 05, 2023",3.9200,4.0200,3.8800,3.9500,3.9500,"2,477,100"
"Oct 04, 2023",4.0800,4.0800,3.9500,3.9800,3.9800,"4,992,700"
"Oct 03, 2023",4.1400,4.2600,4.1000,4.1500,4.1500,"3,607,800"
"Oct 02, 2023",4.3800,4.4000,4.1300,4.1600,4.1600,"4,816,800"
"Sep 29, 2023",4.1200,4.3600,4.1200,4.3500,4.3500,"7,041,200"
"Sep 28, 2023",4.1100,4.1900,4.0700,4.1100,4.1100,"3,086,000"
"Sep 27, 2023",4.0300,4.1600,4.0300,4.1400,4.1400,"4,700,700"
"Sep 26, 2023",3.8800,4.0300,3.8500,3.9800,3.9800,"3,399,300"
"Sep 25, 2023",3.8100,3.9200,3.8100,3.9000,3.9000,"2,275,000"
"Sep 22, 2023",3.8600,3.9000,3.8000,3.8300,3.8300,"1,721,300"
"Sep 21, 2023",3.8700,3.9000,3.8000,3.8000,3.8000,"1,908,500"
"Sep 20, 2023",3.8200,3.9600,3.8200,3.8600,3.8600,"2,084,200"
"Sep 19, 2023",3.9500,3.9600,3.8200,3.8600,3.8600,"2,584,100"
"Sep 18, 2023",4.0400,4.0500,3.8300,3.9100,3.9100,"5,486,900"
"Sep 15, 2023",4.0000,4.0600,3.9700,4.0200,4.0200,"2,541,600"
"Sep 14, 2023",3.9500,4.0400,3.9400,4.0200,4.0200,"4,340,100"
"Sep 13, 2023",3.9300,3.9400,3.8300,3.8800,3.8800,"3,875,200"
