Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",5.49,5.50,5.39,5.41,5.41,"3,279,800"
"Nov 17, 2023",5.27,5.43,5.27,5.40,5.40,"3,916,900"
"Nov 16, 2023",5.25,5.30,5.06,5.21,5.21,"6,220,600"
"Nov 15, 2023",5.42,5.50,5.33,5.34,5.34,"3,780,700"
"Nov 14, 2023",5.53,5.56,5.41,5.47,5.47,"3,713,600"
"Nov 13, 2023",5.59,5.66,5.45,5.47,5.47,"4,894,600"
"Nov 10, 2023",5.46,5.62,5.42,5.59,5.59,"5,420,000"
"Nov 09, 2023",5.39,5.56,5.37,5.39,5.39,"6,734,800"
"Nov 08, 2023",5.49,5.52,5.23,5.30,5.30,"8,549,200"
"Nov 07, 2023",5.66,5.70,5.50,5.50,5.50,"9,292,800"
"Nov 06, 2023",6.13,6.15,5.83,5.88,5.88,"6,938,100"
"Nov 03, 2023",6.32,6.35,5.93,6.06,6.06,"11,629,300"
"Nov 02, 2023",6.10,6.26,6.02,6.23,6.23,"7,398,600"
"Nov 01, 2023",6.09,6.18,5.99,6.06,6.06,"4,455,800"
"Oct 31, 2023",6.01,6.17,5.93,6.00,6.00,"4,920,100"
"Oct 30, 2023",6.02,6.09,5.85,5.98,5.98,"5,109,900"
"Oct 27, 2023",6.05,6.11,5.88,6.03,6.03,"5,391,300"
"Oct 26, 2023",5.93,6.06,5.81,6.01,6.01,"4,421,200"
"Oct 25, 2023",5.96,6.07,5.87,6.01,6.01,"3,395,800"
"Oct 24, 2023",6.05,6.07,5.93,5.96,5.96,"4,099,400"
"Oct 23, 2023",6.11,6.18,6.01,6.03,6.03,"3,787,800"
"Oct 20, 2023",6.31,6.37,6.15,6.20,6.20,"5,468,600"
"Oct 19, 2023",5.98,6.33,5.93,6.31,6.31,"9,183,100"
"Oct 18, 2023",6.04,6.12,6.00,6.04,6.04,"5,750,500"
"Oct 17, 2023",5.88,6.08,5.87,5.97,5.97,"3,833,100"
"Oct 16, 2023",5.95,5.97,5.79,5.91,5.91,"3,977,200"
"Oct 13, 2023",5.84,5.97,5.80,5.94,5.94,"6,255,100"
"Oct 12, 2023",5.75,5.75,5.62,5.67,5.67,"3,316,800"
"Oct 11, 2023",5.61,5.71,5.49,5.67,5.67,"5,312,500"
"Oct 10, 2023",5.66,5.72,5.62,5.66,5.66,"4,873,500"
"Oct 06, 2023",5.33,5.48,5.17,5.41,5.41,"5,487,700"
"Oct 05, 2023",5.18,5.36,5.17,5.32,5.32,"4,524,500"
"Oct 04, 2023",5.52,5.54,5.25,5.26,5.26,"7,920,300"
"Oct 03, 2023",5.56,5.71,5.53,5.65,5.65,"5,223,300"
"Oct 02, 2023",6.00,6.05,5.57,5.62,5.62,"9,644,900"
"Sep 29, 2023",5.92,6.08,5.86,5.99,5.99,"10,142,600"
"Sep 28, 2023",5.84,5.91,5.76,5.83,5.83,"3,083,600"
"Sep 27, 2023",5.80,5.92,5.69,5.85,5.85,"6,236,000"
"Sep 26, 2023",5.62,5.74,5.59,5.65,5.65,"5,395,700"
"Sep 25, 2023",5.41,5.68,5.41,5.64,5.64,"4,085,100"
"Sep 22, 2023",5.50,5.55,5.39,5.44,5.44,"3,607,700"
"Sep 21, 2023",5.62,5.63,5.40,5.44,5.44,"4,545,200"
"Sep 20, 2023",5.62,5.78,5.56,5.57,5.57,"5,435,500"
"Sep 19, 2023",5.88,5.90,5.63,5.66,5.66,"11,655,600"
"Sep 18, 2023",5.91,5.93,5.82,5.86,5.86,"3,770,600"
"Sep 15, 2023",5.90,5.96,5.83,5.89,5.89,"7,344,700"
"Sep 14, 2023",5.93,5.98,5.90,5.94,5.94,"3,827,600"
"Sep 14, 2023",0.023 Dividend
"Sep 13, 2023",5.94,5.95,5.77,5.82,5.80,"4,100,800"
"Sep 12, 2023",5.81,5.94,5.75,5.89,5.87,"5,562,600"
"Sep 11, 2023",5.76,5.84,5.62,5.65,5.63,"4,603,300"
"Sep 08, 2023",5.62,5.79,5.62,5.73,5.71,"4,158,400"
"Sep 07, 2023",5.76,5.80,5.62,5.64,5.62,"5,100,200"
"Sep 06, 2023",5.75,5.89,5.73,5.79,5.77,"5,286,200"
"Sep 05, 2023",5.76,5.83,5.70,5.74,5.72,"5,228,200"
"Sep 01, 2023",5.58,5.71,5.57,5.69,5.67,"4,119,400"
"Aug 31, 2023",5.51,5.53,5.47,5.50,5.48,"3,299,000"
"Aug 30, 2023",5.45,5.52,5.43,5.47,5.45,"2,693,600"
"Aug 29, 2023",5.38,5.43,5.32,5.40,5.38,"2,802,600"
"Aug 28, 2023",5.26,5.38,5.25,5.36,5.34,"2,151,300"
"Aug 25, 2023",5.26,5.29,5.20,5.25,5.23,"2,433,200"
"Aug 24, 2023",5.23,5.30,5.17,5.21,5.19,"2,988,600"
"Aug 23, 2023",5.26,5.35,5.12,5.25,5.23,"4,448,900"
"Aug 22, 2023",5.37,5.43,5.32,5.35,5.33,"1,822,600"
"Aug 21, 2023",5.49,5.53,5.33,5.39,5.37,"3,013,400"
"Aug 18, 2023",5.25,5.43,5.21,5.43,5.41,"3,592,800"
"Aug 17, 2023",5.35,5.44,5.31,5.32,5.30,"3,036,700"
"Aug 16, 2023",5.29,5.44,5.27,5.28,5.26,"2,918,800"
"Aug 15, 2023",5.39,5.41,5.28,5.31,5.29,"3,417,900"
