Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",6.95,6.99,6.88,6.91,6.91,"554,000"
"Nov 17, 2023",6.79,6.95,6.78,6.88,6.88,"608,500"
"Nov 16, 2023",6.84,6.85,6.59,6.70,6.70,"1,421,300"
"Nov 15, 2023",7.01,7.05,6.86,6.88,6.88,"741,800"
"Nov 14, 2023",7.02,7.09,6.96,7.04,7.04,"627,200"
"Nov 13, 2023",7.01,7.09,6.97,6.97,6.97,"316,900"
"Nov 10, 2023",6.91,7.00,6.84,6.98,6.98,"694,700"
"Nov 09, 2023",6.84,6.96,6.80,6.84,6.84,"594,300"
"Nov 08, 2023",6.99,6.99,6.70,6.77,6.77,"1,332,700"
"Nov 07, 2023",7.30,7.35,6.93,6.97,6.97,"2,403,900"
"Nov 06, 2023",7.48,7.48,7.28,7.30,7.30,"693,300"
"Nov 03, 2023",7.51,7.53,7.38,7.43,7.43,"632,700"
"Nov 02, 2023",7.45,7.56,7.35,7.55,7.55,"982,900"
"Nov 01, 2023",7.52,7.52,7.39,7.43,7.43,"489,700"
"Oct 31, 2023",7.43,7.53,7.38,7.42,7.42,"766,600"
"Oct 30, 2023",7.51,7.63,7.36,7.42,7.42,"611,100"
"Oct 30, 2023",0.06 Dividend
"Oct 27, 2023",7.67,7.70,7.54,7.64,7.58,"571,400"
"Oct 26, 2023",7.50,7.63,7.41,7.61,7.55,"502,200"
"Oct 25, 2023",7.65,7.68,7.41,7.60,7.54,"1,590,500"
"Oct 24, 2023",7.77,7.80,7.64,7.69,7.63,"549,300"
"Oct 23, 2023",7.75,7.84,7.70,7.74,7.68,"460,200"
"Oct 20, 2023",7.92,7.93,7.77,7.82,7.76,"697,700"
"Oct 19, 2023",7.70,7.95,7.68,7.87,7.81,"822,800"
"Oct 18, 2023",7.80,7.89,7.77,7.79,7.73,"991,900"
"Oct 17, 2023",7.51,7.79,7.51,7.73,7.67,"1,879,400"
"Oct 16, 2023",7.53,7.57,7.44,7.50,7.44,"681,800"
"Oct 13, 2023",7.50,7.54,7.42,7.51,7.45,"637,100"
"Oct 12, 2023",7.42,7.43,7.30,7.40,7.34,"575,500"
"Oct 11, 2023",7.35,7.47,7.30,7.37,7.31,"419,300"
"Oct 10, 2023",7.45,7.47,7.31,7.42,7.36,"541,100"
"Oct 06, 2023",7.09,7.24,6.96,7.19,7.13,"543,000"
"Oct 05, 2023",6.98,7.13,6.98,7.06,7.00,"652,500"
"Oct 04, 2023",7.04,7.11,6.90,7.04,6.98,"942,600"
"Oct 03, 2023",7.07,7.13,6.99,7.12,7.06,"580,600"
"Oct 02, 2023",7.39,7.40,7.07,7.09,7.03,"881,500"
"Sep 29, 2023",7.56,7.56,7.39,7.40,7.34,"759,700"
"Sep 28, 2023",7.54,7.56,7.36,7.53,7.47,"1,030,300"
"Sep 28, 2023",0.06 Dividend
"Sep 27, 2023",7.49,7.65,7.42,7.60,7.48,"1,046,100"
"Sep 26, 2023",7.37,7.52,7.31,7.34,7.22,"1,092,000"
"Sep 25, 2023",7.24,7.45,7.24,7.40,7.28,"563,700"
"Sep 22, 2023",7.24,7.28,7.18,7.27,7.16,"461,600"
"Sep 21, 2023",7.30,7.33,7.16,7.19,7.08,"506,900"
"Sep 20, 2023",7.33,7.38,7.26,7.28,7.17,"559,000"
"Sep 19, 2023",7.53,7.53,7.29,7.37,7.25,"694,500"
"Sep 18, 2023",7.58,7.59,7.43,7.48,7.36,"857,100"
"Sep 15, 2023",7.53,7.56,7.48,7.52,7.40,"631,200"
"Sep 14, 2023",7.51,7.57,7.47,7.57,7.45,"537,000"
"Sep 13, 2023",7.52,7.57,7.37,7.41,7.29,"523,500"
"Sep 12, 2023",7.28,7.55,7.27,7.49,7.37,"1,288,800"
"Sep 11, 2023",7.36,7.39,7.21,7.21,7.10,"568,800"
"Sep 08, 2023",7.32,7.40,7.30,7.34,7.22,"478,000"
"Sep 07, 2023",7.35,7.42,7.28,7.30,7.19,"381,400"
"Sep 06, 2023",7.42,7.47,7.36,7.40,7.28,"465,200"
"Sep 05, 2023",7.45,7.55,7.38,7.42,7.30,"744,200"
"Sep 01, 2023",7.29,7.45,7.29,7.39,7.27,"1,134,000"
"Aug 31, 2023",7.18,7.28,7.16,7.22,7.11,"1,006,700"
"Aug 30, 2023",7.18,7.19,7.11,7.12,7.01,"876,400"
"Aug 30, 2023",0.06 Dividend
"Aug 29, 2023",7.11,7.21,7.07,7.19,7.02,"773,900"
"Aug 28, 2023",7.03,7.13,7.03,7.11,6.94,"586,100"
"Aug 25, 2023",6.92,7.02,6.88,6.99,6.82,"886,300"
"Aug 24, 2023",6.92,6.97,6.83,6.83,6.67,"779,400"
"Aug 23, 2023",6.98,7.05,6.86,6.98,6.81,"936,900"
"Aug 22, 2023",7.07,7.11,7.04,7.06,6.89,"223,000"
"Aug 21, 2023",7.15,7.22,7.05,7.06,6.89,"590,300"
"Aug 18, 2023",7.08,7.14,7.04,7.12,6.95,"470,300"
"Aug 17, 2023",7.07,7.18,7.07,7.13,6.96,"617,600"
"Aug 16, 2023",7.05,7.16,7.02,7.02,6.85,"486,100"
"Aug 15, 2023",7.09,7.14,7.02,7.06,6.89,"714,900"
"Aug 14, 2023",7.14,7.16,7.07,7.14,6.97,"378,100"
"Aug 11, 2023",7.15,7.26,7.14,7.17,7.00,"598,800"
"Aug 10, 2023",7.22,7.25,7.14,7.16,6.99,"520,900"
"Aug 09, 2023",7.25,7.31,7.22,7.24,7.07,"902,700"
"Aug 08, 2023",7.10,7.24,7.04,7.20,7.03,"878,000"
"Aug 04, 2023",7.18,7.27,7.14,7.16,6.99,"810,100"
"Aug 03, 2023",7.12,7.21,7.07,7.16,6.99,"447,700"
"Aug 02, 2023",7.16,7.16,7.02,7.12,6.95,"411,500"
"Aug 01, 2023",7.12,7.21,7.00,7.17,7.00,"591,400"
"Jul 31, 2023",7.24,7.31,7.16,7.18,7.01,"680,800"
"Jul 28, 2023",7.04,7.23,6.83,7.20,7.03,"918,300"
"Jul 28, 2023",0.06 Dividend
"Jul 27, 2023",7.24,7.28,7.12,7.15,6.92,"1,090,500"
"Jul 26, 2023",7.20,7.24,7.16,7.20,6.97,"453,400"
"Jul 25, 2023",7.20,7.25,7.15,7.21,6.98,"459,500"
"Jul 24, 2023",7.18,7.27,7.15,7.19,6.96,"617,000"
"Jul 21, 2023",7.11,7.16,7.06,7.14,6.91,"316,300"
"Jul 20, 2023",7.12,7.14,7.01,7.09,6.86,"333,200"
"Jul 19, 2023",7.09,7.17,7.04,7.07,6.84,"487,400"
"Jul 18, 2023",6.80,7.06,6.80,7.06,6.83,"729,200"
"Jul 17, 2023",6.89,6.89,6.80,6.81,6.59,"493,500"
"Jul 14, 2023",7.02,7.03,6.85,6.93,6.71,"696,700"
"Jul 13, 2023",6.99,7.05,6.93,7.05,6.82,"711,700"
"Jul 12, 2023",7.00,7.01,6.91,6.99,6.77,"688,200"
"Jul 11, 2023",6.89,6.96,6.83,6.95,6.73,"531,900"
"Jul 10, 2023",6.80,6.87,6.75,6.81,6.59,"602,100"
"Jul 07, 2023",6.56,6.90,6.55,6.82,6.60,"897,600"
"Jul 06, 2023",6.62,6.66,6.51,6.59,6.38,"509,200"
"Jul 05, 2023",6.74,6.75,6.67,6.67,6.46,"245,400"
"Jul 04, 2023",6.60,6.77,6.60,6.71,6.49,"326,000"
"Jun 30, 2023",6.58,6.61,6.51,6.58,6.37,"304,400"
"Jun 29, 2023",6.48,6.57,6.43,6.54,6.33,"299,300"
"Jun 29, 2023",0.06 Dividend
"Jun 28, 2023",6.45,6.53,6.37,6.51,6.24,"405,400"
"Jun 27, 2023",6.50,6.50,6.38,6.43,6.17,"446,400"
"Jun 26, 2023",6.29,6.52,6.29,6.49,6.22,"632,200"
"Jun 23, 2023",6.32,6.36,6.25,6.28,6.02,"1,420,800"
"Jun 22, 2023",6.51,6.51,6.36,6.45,6.19,"974,300"
"Jun 21, 2023",6.57,6.69,6.57,6.62,6.35,"396,100"
"Jun 20, 2023",6.70,6.71,6.52,6.59,6.32,"632,900"
"Jun 19, 2023",6.84,6.84,6.73,6.73,6.45,"255,500"
"Jun 16, 2023",6.85,6.86,6.76,6.84,6.56,"423,800"
"Jun 15, 2023",6.80,6.88,6.75,6.82,6.54,"396,300"
"Jun 14, 2023",6.96,6.97,6.72,6.77,6.49,"620,400"
"Jun 13, 2023",6.85,7.04,6.82,6.91,6.63,"618,900"
"Jun 12, 2023",6.87,6.90,6.73,6.73,6.45,"702,600"
"Jun 09, 2023",6.97,7.05,6.91,6.98,6.69,"518,100"
"Jun 08, 2023",7.06,7.10,6.83,6.95,6.66,"1,015,100"
"Jun 07, 2023",7.00,7.11,6.96,7.07,6.78,"940,000"
"Jun 06, 2023",7.00,7.05,6.92,6.95,6.66,"689,100"
"Jun 05, 2023",7.20,7.25,7.01,7.01,6.72,"514,700"
"Jun 02, 2023",7.00,7.11,6.99,7.06,6.77,"609,700"
"Jun 01, 2023",6.83,7.00,6.78,6.88,6.60,"879,600"
"May 31, 2023",6.79,6.87,6.74,6.83,6.55,"734,600"
"May 30, 2023",7.06,7.06,6.85,6.95,6.66,"557,300"
"May 30, 2023",0.06 Dividend
"May 29, 2023",7.11,7.23,7.09,7.23,6.88,"375,200"
"May 26, 2023",7.06,7.17,6.98,7.10,6.75,"667,700"
"May 25, 2023",7.12,7.16,6.99,7.03,6.69,"681,800"
"May 24, 2023",7.32,7.34,7.18,7.22,6.87,"604,100"
"May 23, 2023",6.90,7.24,6.89,7.24,6.89,"1,070,800"
"May 19, 2023",6.69,6.93,6.67,6.90,6.56,"961,800"
"May 18, 2023",6.54,6.65,6.46,6.65,6.32,"470,500"
"May 17, 2023",6.49,6.56,6.38,6.56,6.24,"871,200"
"May 16, 2023",6.54,6.60,6.36,6.41,6.10,"1,044,700"
"May 15, 2023",6.48,6.63,6.48,6.55,6.23,"627,400"
"May 12, 2023",6.60,6.72,6.39,6.45,6.13,"1,191,500"
"May 11, 2023",6.67,6.73,6.55,6.63,6.31,"678,500"
