Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",7.50,7.69,7.36,7.65,7.65,"46,500"
"Nov 17, 2023",6.94,7.15,6.93,7.14,7.14,"20,800"
"Nov 16, 2023",7.04,7.04,6.92,6.97,6.97,"40,600"
"Nov 15, 2023",6.91,7.07,6.87,7.07,7.07,"36,200"
"Nov 14, 2023",6.46,6.90,6.46,6.87,6.87,"35,800"
"Nov 13, 2023",6.75,6.75,6.46,6.52,6.52,"31,900"
"Nov 10, 2023",6.91,6.91,6.36,6.68,6.68,"97,500"
"Nov 09, 2023",6.84,7.04,6.77,6.82,6.82,"19,100"
"Nov 08, 2023",6.96,7.14,6.81,6.82,6.82,"33,600"
"Nov 07, 2023",6.73,6.98,6.49,6.92,6.92,"90,000"
"Nov 06, 2023",7.00,7.02,6.73,6.73,6.73,"33,600"
"Nov 03, 2023",7.00,7.13,6.90,6.90,6.90,"56,000"
"Nov 02, 2023",6.73,6.99,6.71,6.95,6.95,"87,800"
"Nov 01, 2023",6.95,6.95,6.62,6.65,6.65,"43,800"
"Oct 31, 2023",7.00,7.01,6.86,6.86,6.86,"62,900"
"Oct 30, 2023",7.10,7.31,6.97,6.99,6.99,"122,600"
"Oct 27, 2023",7.21,7.21,7.01,7.06,7.06,"82,400"
"Oct 26, 2023",7.19,7.34,7.07,7.16,7.16,"214,700"
"Oct 25, 2023",6.81,7.15,6.76,7.05,7.05,"165,900"
"Oct 24, 2023",7.59,7.68,6.59,6.75,6.75,"138,800"
"Oct 23, 2023",8.87,8.90,7.04,7.50,7.50,"246,000"
"Oct 20, 2023",9.81,9.81,8.83,8.91,8.91,"174,000"
"Oct 19, 2023",10.34,10.34,10.20,10.23,10.23,"7,000"
"Oct 18, 2023",10.25,10.29,10.19,10.25,10.25,"13,200"
"Oct 17, 2023",10.35,10.39,10.23,10.27,10.27,"15,400"
"Oct 16, 2023",10.50,10.50,10.34,10.35,10.35,"7,600"
"Oct 13, 2023",10.32,10.45,10.27,10.43,10.43,"7,000"
"Oct 12, 2023",10.20,10.26,10.16,10.26,10.26,"9,500"
"Oct 11, 2023",10.34,10.45,10.16,10.23,10.23,"28,400"
"Oct 10, 2023",10.20,10.51,10.17,10.43,10.43,"22,000"
"Oct 06, 2023",10.12,10.19,9.96,10.17,10.17,"17,600"
