Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",91.94,92.56,91.48,91.69,91.69,"4,565,600"
"Nov 17, 2023",88.80,91.55,88.80,91.28,91.28,"6,799,400"
"Nov 16, 2023",88.64,88.79,86.44,87.99,87.99,"5,720,000"
"Nov 15, 2023",90.37,91.47,89.38,89.45,89.45,"7,903,700"
"Nov 14, 2023",90.33,91.24,89.95,90.79,90.79,"6,305,700"
"Nov 13, 2023",89.21,90.12,89.04,89.94,89.94,"2,200,900"
"Nov 10, 2023",88.78,89.27,87.67,89.09,89.09,"3,273,700"
"Nov 09, 2023",87.08,88.93,86.99,87.79,87.79,"3,645,800"
"Nov 08, 2023",87.00,87.43,85.14,86.06,86.06,"7,794,700"
"Nov 07, 2023",89.82,89.98,87.60,87.83,87.83,"7,393,400"
"Nov 06, 2023",92.22,92.93,90.66,91.12,91.12,"2,934,300"
"Nov 03, 2023",92.59,93.44,91.52,91.55,91.55,"4,551,500"
"Nov 02, 2023",90.24,93.44,88.93,93.29,93.29,"5,191,800"
"Nov 01, 2023",88.50,89.98,87.73,89.71,89.71,"4,129,500"
"Oct 31, 2023",88.63,88.85,87.69,88.06,88.06,"1,977,600"
"Oct 30, 2023",87.99,89.08,87.48,88.10,88.10,"2,148,200"
"Oct 27, 2023",88.78,89.47,86.90,88.00,88.00,"2,253,900"
"Oct 26, 2023",87.78,88.85,87.15,88.74,88.74,"3,185,500"
"Oct 25, 2023",87.65,88.76,87.54,88.68,88.68,"2,554,200"
"Oct 24, 2023",89.34,89.40,87.06,87.41,87.41,"3,744,700"
"Oct 23, 2023",89.15,89.93,88.33,88.57,88.57,"3,964,500"
"Oct 20, 2023",90.72,91.33,89.69,89.77,89.77,"3,040,100"
"Oct 19, 2023",91.16,91.65,90.37,91.15,91.15,"3,381,800"
"Oct 18, 2023",92.02,92.40,91.03,91.68,91.68,"3,881,100"
"Oct 17, 2023",91.62,91.98,90.93,91.49,91.49,"3,456,600"
"Oct 16, 2023",91.32,92.00,90.13,91.78,91.78,"3,604,400"
