Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",9.05,9.20,9.03,9.03,9.03,"41,700"
"Nov 17, 2023",8.60,9.08,8.60,9.01,9.01,"77,300"
"Nov 16, 2023",8.78,8.85,8.38,8.53,8.53,"126,800"
"Nov 15, 2023",9.11,9.12,8.72,8.80,8.80,"124,500"
"Nov 14, 2023",8.99,9.47,8.90,9.19,9.19,"84,200"
"Nov 13, 2023",8.74,9.10,8.74,9.00,9.00,"91,600"
"Nov 10, 2023",9.98,10.00,8.10,8.82,8.82,"508,100"
"Nov 09, 2023",11.14,11.35,11.09,11.27,11.27,"38,300"
"Nov 08, 2023",11.26,11.27,10.98,11.11,11.11,"68,200"
"Nov 07, 2023",11.60,11.60,11.27,11.39,11.39,"54,200"
"Nov 06, 2023",12.01,12.01,11.77,11.77,11.77,"41,600"
"Nov 03, 2023",12.13,12.41,11.83,12.00,12.00,"163,300"
"Nov 02, 2023",11.87,12.09,11.85,12.09,12.09,"86,500"
"Nov 01, 2023",11.48,12.03,11.48,11.81,11.81,"48,500"
"Oct 31, 2023",11.31,12.05,11.23,11.76,11.76,"85,900"
"Oct 30, 2023",11.50,11.50,11.05,11.15,11.15,"86,900"
"Oct 27, 2023",10.84,11.68,10.80,11.46,11.46,"92,200"
"Oct 26, 2023",9.59,10.83,9.59,10.83,10.83,"39,200"
"Oct 25, 2023",10.40,10.62,10.38,10.55,10.55,"33,600"
"Oct 24, 2023",10.59,10.70,10.39,10.44,10.44,"47,800"
"Oct 23, 2023",10.44,10.81,10.44,10.54,10.54,"94,000"
"Oct 20, 2023",10.78,10.81,10.68,10.76,10.76,"41,800"
"Oct 19, 2023",10.69,10.82,10.52,10.82,10.82,"24,400"
"Oct 18, 2023",10.60,10.77,10.56,10.74,10.74,"27,200"
"Oct 17, 2023",10.47,10.67,10.47,10.55,10.55,"54,600"
"Oct 16, 2023",10.20,10.51,10.12,10.51,10.51,"43,700"
"Oct 13, 2023",10.10,10.28,10.10,10.28,10.28,"17,000"
"Oct 12, 2023",10.10,10.18,9.95,9.96,9.96,"43,900"
"Oct 11, 2023",9.82,10.05,9.82,10.00,10.00,"63,500"
"Oct 10, 2023",9.60,10.04,9.60,10.03,10.03,"83,200"
"Oct 06, 2023",9.33,9.74,9.33,9.69,9.69,"18,900"
"Oct 05, 2023",9.50,9.51,9.25,9.43,9.43,"22,200"
"Oct 04, 2023",9.52,9.59,9.29,9.36,9.36,"69,700"
"Oct 03, 2023",10.00,10.00,9.70,9.81,9.81,"54,000"
"Oct 02, 2023",10.76,10.76,9.94,9.97,9.97,"224,200"
"Sep 29, 2023",10.66,10.83,10.66,10.75,10.75,"76,400"
"Sep 28, 2023",10.75,10.84,10.59,10.59,10.59,"50,500"
"Sep 27, 2023",10.31,10.70,10.26,10.70,10.70,"50,000"
"Sep 26, 2023",10.63,10.63,10.20,10.32,10.32,"77,500"
"Sep 25, 2023",10.52,10.68,10.26,10.57,10.57,"40,000"
"Sep 22, 2023",10.51,10.54,10.28,10.35,10.35,"60,600"
"Sep 21, 2023",10.42,10.66,10.35,10.45,10.45,"48,900"
"Sep 20, 2023",10.26,10.55,10.25,10.41,10.41,"36,000"
"Sep 19, 2023",10.65,10.65,10.30,10.31,10.31,"20,100"
"Sep 18, 2023",10.65,10.70,10.54,10.63,10.63,"39,200"
"Sep 15, 2023",10.61,10.72,10.50,10.64,10.64,"112,600"
"Sep 14, 2023",10.55,10.60,10.40,10.58,10.58,"40,700"
"Sep 13, 2023",10.46,10.56,10.13,10.47,10.47,"69,400"
"Sep 12, 2023",10.09,10.75,10.08,10.59,10.59,"40,700"
"Sep 11, 2023",10.12,10.20,9.99,10.01,10.01,"62,500"
"Sep 08, 2023",10.50,10.60,10.16,10.16,10.16,"44,500"
"Sep 07, 2023",10.61,10.90,10.46,10.46,10.46,"34,000"
"Sep 06, 2023",10.50,10.98,10.50,10.91,10.91,"50,500"
"Sep 05, 2023",10.57,10.88,10.57,10.68,10.68,"41,400"
"Sep 01, 2023",10.48,10.87,10.40,10.68,10.68,"69,900"
"Aug 31, 2023",10.33,10.39,10.14,10.38,10.38,"227,000"
"Aug 30, 2023",10.04,10.53,10.04,10.35,10.35,"56,700"
"Aug 29, 2023",10.08,10.26,10.01,10.17,10.17,"63,100"
"Aug 28, 2023",10.06,10.16,9.99,10.08,10.08,"40,300"
"Aug 25, 2023",10.03,10.13,9.94,9.95,9.95,"29,600"
"Aug 24, 2023",10.00,10.05,9.82,10.00,10.00,"37,200"
"Aug 23, 2023",10.05,10.14,9.83,10.05,10.05,"40,300"
"Aug 22, 2023",10.22,10.25,10.08,10.08,10.08,"31,900"
"Aug 21, 2023",10.19,10.37,10.17,10.17,10.17,"20,700"
"Aug 18, 2023",10.23,10.23,10.04,10.13,10.13,"89,100"
"Aug 17, 2023",10.40,10.47,10.14,10.25,10.25,"89,600"
"Aug 16, 2023",10.48,10.55,10.36,10.40,10.40,"22,500"
"Aug 15, 2023",10.54,10.58,10.42,10.46,10.46,"28,400"
"Aug 14, 2023",10.76,10.77,10.39,10.48,10.48,"64,300"
"Aug 11, 2023",10.33,10.95,10.33,10.79,10.79,"99,600"
"Aug 10, 2023",10.73,10.73,10.24,10.33,10.33,"54,600"
"Aug 09, 2023",10.61,10.71,10.47,10.69,10.69,"50,300"
"Aug 08, 2023",10.60,10.60,10.40,10.52,10.52,"42,000"
"Aug 04, 2023",10.54,10.88,10.23,10.75,10.75,"41,000"
"Aug 03, 2023",10.32,10.56,10.21,10.35,10.35,"53,700"
"Aug 02, 2023",10.69,10.79,10.25,10.26,10.26,"56,400"
"Aug 01, 2023",10.68,10.76,10.62,10.70,10.70,"46,500"
"Jul 31, 2023",10.61,10.88,10.60,10.71,10.71,"88,600"
"Jul 28, 2023",10.46,10.63,10.43,10.60,10.60,"63,300"
"Jul 27, 2023",10.45,10.56,10.39,10.43,10.43,"43,000"
"Jul 26, 2023",10.58,10.61,10.36,10.55,10.55,"38,100"
"Jul 25, 2023",10.69,10.73,10.57,10.60,10.60,"14,800"
"Jul 24, 2023",10.55,10.80,10.53,10.67,10.67,"66,600"
"Jul 21, 2023",10.47,10.66,10.41,10.57,10.57,"52,100"
"Jul 20, 2023",10.64,10.82,10.40,10.40,10.40,"40,200"
"Jul 19, 2023",10.78,10.83,10.55,10.71,10.71,"29,800"
"Jul 18, 2023",10.78,10.90,10.72,10.77,10.77,"63,700"
