Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",14.69,14.79,14.63,14.72,14.72,"251,600"
"Nov 17, 2023",14.59,14.72,14.54,14.65,14.65,"152,800"
"Nov 16, 2023",14.57,14.60,14.24,14.48,14.48,"344,000"
"Nov 15, 2023",15.04,15.04,14.61,14.65,14.65,"362,400"
"Nov 14, 2023",14.81,15.06,14.80,15.03,15.03,"361,600"
"Nov 13, 2023",14.80,14.90,14.69,14.82,14.82,"261,500"
"Nov 10, 2023",14.63,14.81,14.57,14.77,14.77,"235,700"
"Nov 09, 2023",14.07,14.60,14.05,14.50,14.50,"516,500"
"Nov 08, 2023",14.21,14.31,13.90,13.99,13.99,"432,500"
"Nov 07, 2023",14.65,14.67,14.26,14.31,14.31,"613,600"
"Nov 06, 2023",14.98,15.01,14.75,14.82,14.82,"244,500"
"Nov 03, 2023",14.87,14.95,14.77,14.88,14.88,"250,000"
"Nov 02, 2023",14.50,14.90,14.49,14.87,14.87,"433,800"
"Nov 01, 2023",14.44,14.62,14.35,14.49,14.49,"363,300"
"Oct 31, 2023",14.35,14.44,14.22,14.28,14.28,"585,300"
"Oct 30, 2023",14.64,14.64,14.20,14.27,14.27,"404,200"
"Oct 30, 2023",0.09 Dividend
"Oct 27, 2023",14.58,14.70,14.43,14.58,14.49,"394,700"
"Oct 26, 2023",14.50,14.59,14.39,14.52,14.43,"222,200"
"Oct 25, 2023",14.45,14.58,14.40,14.54,14.45,"167,500"
"Oct 24, 2023",14.65,14.70,14.35,14.45,14.36,"204,200"
"Oct 23, 2023",14.45,14.72,14.40,14.65,14.56,"314,000"
"Oct 20, 2023",14.35,14.73,14.35,14.58,14.49,"541,200"
"Oct 19, 2023",14.52,14.64,14.38,14.39,14.30,"630,700"
"Oct 18, 2023",14.73,14.78,14.50,14.58,14.49,"281,500"
"Oct 17, 2023",14.95,14.98,14.70,14.75,14.66,"218,300"
"Oct 16, 2023",14.69,14.99,14.52,14.96,14.87,"411,600"
"Oct 13, 2023",14.54,14.62,14.36,14.59,14.50,"300,800"
"Oct 12, 2023",14.55,14.55,14.26,14.36,14.27,"226,200"
"Oct 11, 2023",14.30,14.45,14.18,14.38,14.29,"132,100"
"Oct 10, 2023",14.50,14.56,14.30,14.35,14.26,"313,400"
