Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",8.88,9.02,8.65,8.70,8.70,"69,100"
"Nov 17, 2023",8.40,8.91,8.40,8.80,8.80,"50,900"
"Nov 16, 2023",8.42,8.46,8.19,8.32,8.32,"54,000"
"Nov 15, 2023",8.71,8.77,8.44,8.47,8.47,"61,800"
"Nov 14, 2023",8.57,8.84,8.57,8.81,8.81,"508,900"
"Nov 13, 2023",8.51,8.71,8.47,8.52,8.52,"51,200"
"Nov 10, 2023",8.51,8.67,8.36,8.59,8.59,"33,800"
"Nov 09, 2023",8.60,8.86,8.35,8.40,8.40,"164,800"
"Nov 08, 2023",8.69,8.69,8.36,8.41,8.41,"49,300"
"Nov 07, 2023",9.26,9.26,8.63,8.68,8.68,"87,700"
"Nov 06, 2023",9.59,9.59,9.31,9.32,9.32,"79,200"
"Nov 03, 2023",9.66,9.79,9.32,9.47,9.47,"58,400"
"Nov 02, 2023",9.24,9.74,9.10,9.74,9.74,"170,300"
"Nov 01, 2023",9.11,9.42,8.84,9.07,9.07,"228,100"
"Oct 31, 2023",8.34,8.72,8.30,8.54,8.54,"114,300"
"Oct 30, 2023",8.65,8.75,8.26,8.37,8.37,"49,600"
"Oct 27, 2023",8.50,8.62,8.28,8.61,8.61,"65,600"
"Oct 26, 2023",8.50,8.54,8.25,8.37,8.37,"61,700"
"Oct 25, 2023",8.33,8.71,8.33,8.67,8.67,"54,600"
"Oct 24, 2023",8.53,8.53,8.20,8.41,8.41,"47,400"
"Oct 23, 2023",8.96,8.96,8.41,8.44,8.44,"48,100"
"Oct 20, 2023",9.06,9.18,8.90,8.96,8.96,"59,900"
"Oct 19, 2023",9.28,9.29,9.10,9.15,9.15,"39,100"
"Oct 18, 2023",9.49,9.49,9.19,9.24,9.24,"19,900"
"Oct 17, 2023",9.02,9.50,9.02,9.42,9.42,"53,400"
"Oct 16, 2023",9.20,9.27,8.98,9.15,9.15,"28,500"
"Oct 13, 2023",9.35,9.50,9.14,9.23,9.23,"52,700"
"Oct 12, 2023",9.13,9.13,8.84,8.96,8.96,"14,000"
"Oct 11, 2023",9.29,9.29,8.96,9.10,9.10,"30,900"
"Oct 10, 2023",8.98,9.29,8.92,9.25,9.25,"114,300"
"Oct 06, 2023",8.25,8.40,8.08,8.34,8.34,"36,400"
"Oct 05, 2023",8.30,8.41,8.11,8.16,8.16,"63,400"
"Oct 04, 2023",8.80,8.81,8.13,8.27,8.27,"118,400"
"Oct 03, 2023",8.75,8.97,8.62,8.95,8.95,"70,000"
"Oct 02, 2023",9.40,9.40,8.64,8.82,8.82,"112,300"
"Sep 29, 2023",9.53,9.75,9.37,9.42,9.42,"37,500"
"Sep 28, 2023",9.46,9.63,9.39,9.52,9.52,"52,600"
"Sep 27, 2023",8.87,9.51,8.86,9.50,9.50,"104,100"
"Sep 26, 2023",8.84,8.91,8.64,8.64,8.64,"57,300"
"Sep 25, 2023",8.77,8.90,8.70,8.81,8.81,"21,400"
"Sep 22, 2023",8.73,8.97,8.73,8.76,8.76,"25,300"
"Sep 21, 2023",9.04,9.08,8.66,8.71,8.71,"34,000"
"Sep 20, 2023",9.07,9.22,8.97,9.02,9.02,"25,700"
"Sep 19, 2023",9.09,9.43,8.95,9.04,9.04,"32,600"
"Sep 18, 2023",9.05,9.17,8.80,9.03,9.03,"56,300"
"Sep 15, 2023",9.00,9.09,8.88,9.00,9.00,"52,100"
"Sep 14, 2023",8.78,9.06,8.78,9.05,9.05,"84,500"
"Sep 13, 2023",8.71,8.71,8.46,8.56,8.56,"21,400"
"Sep 12, 2023",8.58,8.79,8.58,8.60,8.60,"36,800"
"Sep 11, 2023",8.60,8.66,8.40,8.44,8.44,"49,900"
"Sep 08, 2023",8.61,8.70,8.54,8.59,8.59,"27,300"
"Sep 07, 2023",8.97,8.97,8.66,8.70,8.70,"37,400"
"Sep 06, 2023",9.09,9.11,8.88,8.99,8.99,"36,200"
"Sep 05, 2023",8.90,9.26,8.90,9.00,9.00,"46,600"
"Sep 01, 2023",8.90,9.11,8.82,8.88,8.88,"306,800"
"Aug 31, 2023",8.65,8.93,8.63,8.74,8.74,"38,100"
"Aug 30, 2023",8.45,8.77,8.40,8.63,8.63,"71,600"
"Aug 29, 2023",8.34,8.45,8.28,8.38,8.38,"30,200"
"Aug 28, 2023",8.39,8.56,8.23,8.38,8.38,"50,900"
"Aug 25, 2023",8.38,8.45,8.27,8.29,8.29,"29,500"
"Aug 24, 2023",8.36,8.46,8.27,8.27,8.27,"30,400"
"Aug 23, 2023",8.41,8.54,8.25,8.47,8.47,"56,200"
"Aug 22, 2023",8.60,8.66,8.48,8.58,8.58,"36,200"
"Aug 21, 2023",8.83,8.95,8.58,8.66,8.66,"38,600"
"Aug 18, 2023",8.78,8.91,8.64,8.83,8.83,"10,400"
"Aug 17, 2023",8.73,8.85,8.54,8.81,8.81,"37,000"
"Aug 16, 2023",8.76,8.95,8.50,8.53,8.53,"53,900"
"Aug 15, 2023",8.99,9.00,8.69,8.77,8.77,"38,400"
"Aug 14, 2023",9.15,9.15,8.84,9.01,9.01,"65,300"
"Aug 11, 2023",9.23,9.29,9.17,9.22,9.22,"46,300"
"Aug 10, 2023",9.27,9.39,9.08,9.17,9.17,"22,700"
"Aug 09, 2023",9.27,9.64,9.25,9.29,9.29,"92,900"
"Aug 08, 2023",8.95,9.24,8.72,9.24,9.24,"50,700"
"Aug 04, 2023",8.97,9.26,8.94,9.12,9.12,"58,300"
"Aug 03, 2023",8.78,9.13,8.62,8.89,8.89,"81,100"
"Aug 02, 2023",9.04,9.04,8.38,8.82,8.82,"133,800"
"Aug 01, 2023",9.42,9.44,9.04,9.30,9.30,"50,600"
"Jul 31, 2023",9.18,9.53,9.18,9.37,9.37,"61,900"
"Jul 28, 2023",8.98,9.17,8.75,9.12,9.12,"31,300"
"Jul 27, 2023",8.96,9.26,8.70,8.86,8.86,"51,500"
"Jul 26, 2023",8.65,8.88,8.61,8.83,8.83,"33,400"
"Jul 25, 2023",8.79,8.97,8.68,8.78,8.78,"67,000"
"Jul 24, 2023",8.57,9.08,8.57,8.96,8.96,"52,400"
"Jul 21, 2023",8.36,8.58,8.18,8.55,8.55,"49,800"
"Jul 20, 2023",8.40,8.47,8.21,8.29,8.29,"64,800"
"Jul 19, 2023",8.39,8.59,8.31,8.41,8.41,"131,900"
"Jul 18, 2023",7.75,8.45,7.75,8.30,8.30,"55,400"
"Jul 17, 2023",7.60,7.94,7.45,7.83,7.83,"74,700"
"Jul 14, 2023",8.01,8.01,7.54,7.57,7.57,"60,100"
"Jul 13, 2023",7.48,8.07,7.48,8.04,8.04,"131,100"
"Jul 12, 2023",7.66,7.67,7.41,7.42,7.42,"36,100"
"Jul 11, 2023",7.14,7.64,7.09,7.57,7.57,"77,500"
"Jul 10, 2023",6.98,7.13,6.81,7.13,7.13,"59,400"
"Jul 07, 2023",6.55,7.05,6.55,6.95,6.95,"89,900"
"Jul 06, 2023",6.71,6.74,6.29,6.58,6.58,"62,900"
"Jul 05, 2023",6.82,6.84,6.69,6.78,6.78,"45,400"
"Jul 04, 2023",6.54,6.86,6.54,6.85,6.85,"25,300"
"Jun 30, 2023",6.53,6.58,6.41,6.48,6.48,"47,800"
"Jun 29, 2023",6.25,6.64,6.25,6.49,6.49,"83,600"
"Jun 28, 2023",6.26,6.29,6.13,6.24,6.24,"47,600"
"Jun 27, 2023",6.36,6.37,6.23,6.28,6.28,"38,300"
"Jun 26, 2023",6.41,6.58,6.39,6.39,6.39,"17,800"
