Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",0.7100,0.7200,0.7000,0.7000,0.7000,"473,400"
"Nov 17, 2023",0.7100,0.7400,0.7100,0.7200,0.7200,"492,700"
"Nov 16, 2023",0.7300,0.7400,0.6900,0.7100,0.7100,"1,144,700"
"Nov 15, 2023",0.7700,0.7700,0.7200,0.7300,0.7300,"887,700"
"Nov 14, 2023",0.7800,0.7800,0.7600,0.7700,0.7700,"205,300"
"Nov 14, 2023",0.005 Dividend
"Nov 13, 2023",0.7900,0.8000,0.7700,0.7900,0.7850,"467,400"
"Nov 10, 2023",0.7600,0.7900,0.7600,0.7900,0.7850,"601,500"
"Nov 09, 2023",0.7800,0.7900,0.7700,0.7900,0.7850,"435,000"
"Nov 08, 2023",0.7800,0.7900,0.7600,0.7800,0.7751,"1,102,500"
"Nov 07, 2023",0.8000,0.8000,0.7800,0.8000,0.7949,"738,900"
"Nov 06, 2023",0.8300,0.8300,0.8000,0.8100,0.8049,"683,600"
"Nov 03, 2023",0.8300,0.8300,0.8100,0.8300,0.8247,"667,700"
"Nov 02, 2023",0.8200,0.8300,0.8100,0.8300,0.8247,"849,300"
"Nov 01, 2023",0.8000,0.8200,0.8000,0.8200,0.8148,"141,100"
"Oct 31, 2023",0.8200,0.8200,0.8000,0.8200,0.8148,"866,400"
"Oct 30, 2023",0.8200,0.8300,0.8000,0.8200,0.8148,"828,100"
"Oct 27, 2023",0.8300,0.8300,0.8100,0.8200,0.8148,"203,500"
"Oct 26, 2023",0.8200,0.8300,0.8100,0.8200,0.8148,"543,400"
"Oct 25, 2023",0.8200,0.8300,0.8100,0.8300,0.8247,"444,300"
"Oct 24, 2023",0.8400,0.8400,0.8100,0.8100,0.8049,"454,800"
"Oct 23, 2023",0.8200,0.8300,0.8100,0.8200,0.8148,"706,200"
"Oct 20, 2023",0.8400,0.8400,0.8200,0.8200,0.8148,"567,700"
"Oct 19, 2023",0.8400,0.8500,0.8400,0.8400,0.8347,"564,500"
"Oct 18, 2023",0.8500,0.8600,0.8400,0.8400,0.8347,"361,300"
"Oct 17, 2023",0.8300,0.8600,0.8300,0.8400,0.8347,"571,500"
"Oct 16, 2023",0.8400,0.8500,0.8400,0.8500,0.8446,"282,400"
"Oct 13, 2023",0.8400,0.8500,0.8300,0.8500,0.8446,"447,200"
"Oct 13, 2023",0.005 Dividend
"Oct 12, 2023",0.8600,0.8600,0.8200,0.8300,0.8198,"1,642,900"
"Oct 11, 2023",0.8800,0.8800,0.8400,0.8500,0.8395,"1,106,800"
"Oct 10, 2023",0.8700,0.8900,0.8500,0.8700,0.8593,"1,767,200"
"Oct 06, 2023",0.8500,0.8600,0.8300,0.8600,0.8494,"319,500"
"Oct 05, 2023",0.8300,0.8500,0.8300,0.8400,0.8297,"670,100"
"Oct 04, 2023",0.8300,0.8700,0.8100,0.8700,0.8593,"1,709,200"
"Oct 03, 2023",0.8500,0.8500,0.8300,0.8400,0.8297,"501,200"
"Oct 02, 2023",0.8800,0.8900,0.8500,0.8600,0.8494,"1,132,100"
"Sep 29, 2023",0.9100,0.9100,0.8800,0.8800,0.8692,"1,103,400"
"Sep 28, 2023",0.8600,0.9100,0.8500,0.9000,0.8889,"3,579,400"
"Sep 27, 2023",0.8200,0.8500,0.8100,0.8500,0.8395,"1,661,500"
"Sep 26, 2023",0.8200,0.8400,0.7900,0.8100,0.8000,"1,296,800"
"Sep 25, 2023",0.8300,0.8400,0.8200,0.8200,0.8099,"296,900"
"Sep 22, 2023",0.8300,0.8500,0.8200,0.8400,0.8297,"1,015,700"
"Sep 21, 2023",0.8400,0.8500,0.8200,0.8300,0.8198,"883,000"
"Sep 20, 2023",0.8500,0.8600,0.8400,0.8500,0.8395,"1,060,500"
"Sep 19, 2023",0.8500,0.8600,0.8300,0.8500,0.8395,"993,700"
"Sep 18, 2023",0.8600,0.8600,0.8500,0.8600,0.8494,"304,200"
"Sep 15, 2023",0.8600,0.8700,0.8500,0.8500,0.8395,"858,700"
"Sep 14, 2023",0.8500,0.8700,0.8400,0.8500,0.8395,"945,000"
"Sep 14, 2023",0.005 Dividend
"Sep 13, 2023",0.8700,0.8700,0.8400,0.8500,0.8346,"563,500"
"Sep 12, 2023",0.8400,0.8600,0.8400,0.8600,0.8444,"549,400"
"Sep 11, 2023",0.8500,0.8600,0.8300,0.8400,0.8248,"963,200"
"Sep 08, 2023",0.8700,0.8700,0.8500,0.8500,0.8346,"256,600"
"Sep 07, 2023",0.8700,0.8700,0.8500,0.8500,0.8346,"353,200"
"Sep 06, 2023",0.8900,0.8900,0.8600,0.8600,0.8444,"393,800"
"Sep 05, 2023",0.8700,0.8900,0.8600,0.8900,0.8739,"1,087,200"
"Sep 01, 2023",0.8400,0.8800,0.8400,0.8600,0.8444,"1,198,200"
"Aug 31, 2023",0.8500,0.8500,0.8200,0.8400,0.8248,"1,014,800"
"Aug 30, 2023",0.8300,0.8500,0.8300,0.8300,0.8150,"158,200"
"Aug 29, 2023",0.8400,0.8400,0.8200,0.8400,0.8248,"394,700"
"Aug 28, 2023",0.8000,0.8300,0.8000,0.8300,0.8150,"679,900"
"Aug 25, 2023",0.8100,0.8100,0.7900,0.8100,0.7953,"408,500"
"Aug 24, 2023",0.7900,0.8100,0.7900,0.7900,0.7757,"405,700"
"Aug 23, 2023",0.8100,0.8100,0.7900,0.7900,0.7757,"1,020,600"
"Aug 22, 2023",0.8100,0.8200,0.8000,0.8100,0.7953,"260,900"
"Aug 21, 2023",0.8400,0.8400,0.8100,0.8200,0.8051,"597,500"
"Aug 18, 2023",0.8300,0.8300,0.8200,0.8200,0.8051,"244,800"
"Aug 17, 2023",0.8400,0.8500,0.8300,0.8300,0.8150,"268,600"
"Aug 16, 2023",0.8400,0.8500,0.8200,0.8400,0.8248,"356,900"
"Aug 15, 2023",0.8500,0.8500,0.8300,0.8400,0.8248,"791,000"
"Aug 14, 2023",0.8700,0.8700,0.8500,0.8600,0.8444,"345,800"
"Aug 14, 2023",0.005 Dividend
"Aug 11, 2023",0.8700,0.8900,0.8700,0.8700,0.8493,"468,000"
"Aug 10, 2023",0.8800,0.8900,0.8500,0.8800,0.8591,"990,100"
"Aug 09, 2023",0.8900,0.9000,0.8700,0.8700,0.8493,"1,113,100"
"Aug 08, 2023",0.8800,0.8900,0.8700,0.8800,0.8591,"451,700"
"Aug 04, 2023",0.9000,0.9000,0.8800,0.8900,0.8688,"842,400"
"Aug 03, 2023",0.8400,0.8900,0.8400,0.8900,0.8688,"1,100,200"
"Aug 02, 2023",0.8500,0.8600,0.8300,0.8400,0.8200,"2,576,900"
"Aug 01, 2023",0.8500,0.8700,0.8500,0.8600,0.8396,"1,003,300"
"Jul 31, 2023",0.8700,0.8800,0.8600,0.8700,0.8493,"1,121,400"
"Jul 28, 2023",0.8800,0.9000,0.8600,0.8800,0.8591,"2,244,600"
"Jul 27, 2023",0.9500,0.9600,0.8700,0.8700,0.8493,"8,048,100"
"Jul 26, 2023",1.0200,1.0300,1.0100,1.0200,0.9958,"507,900"
"Jul 25, 2023",1.0200,1.0400,1.0000,1.0400,1.0153,"1,078,400"
"Jul 24, 2023",1.0000,1.0300,1.0000,1.0200,0.9958,"866,800"
"Jul 21, 2023",0.9900,1.0100,0.9900,1.0100,0.9860,"461,200"
"Jul 20, 2023",0.9800,1.0100,0.9800,0.9800,0.9567,"1,771,100"
"Jul 19, 2023",0.9800,0.9900,0.9700,0.9800,0.9567,"590,500"
"Jul 18, 2023",0.9700,0.9900,0.9700,0.9900,0.9665,"903,200"
"Jul 17, 2023",0.9900,0.9900,0.9500,0.9500,0.9274,"474,100"
"Jul 14, 2023",1.0100,1.0100,0.9800,0.9900,0.9665,"312,900"
"Jul 13, 2023",0.9900,1.0200,0.9800,1.0100,0.9860,"1,120,500"
"Jul 13, 2023",0.01 Dividend
"Jul 12, 2023",0.9900,1.0000,0.9700,1.0000,0.9665,"903,900"
"Jul 11, 2023",0.9800,0.9900,0.9700,0.9800,0.9471,"1,529,600"
"Jul 10, 2023",0.9900,0.9900,0.9500,0.9700,0.9375,"1,717,500"
"Jul 07, 2023",0.9600,0.9900,0.9600,0.9900,0.9568,"872,700"
"Jul 06, 2023",0.9600,0.9700,0.9400,0.9700,0.9375,"669,900"
"Jul 05, 2023",0.9700,0.9700,0.9500,0.9700,0.9375,"534,100"
"Jul 04, 2023",0.9600,0.9700,0.9500,0.9600,0.9278,"283,000"
"Jun 30, 2023",0.9700,0.9700,0.9500,0.9600,0.9278,"748,300"
"Jun 29, 2023",0.9400,0.9700,0.9200,0.9700,0.9375,"847,500"
"Jun 28, 2023",0.9400,0.9400,0.9200,0.9400,0.9085,"620,500"
"Jun 27, 2023",0.9400,0.9500,0.9300,0.9300,0.8988,"341,500"
"Jun 26, 2023",0.9500,0.9500,0.9200,0.9500,0.9181,"917,300"
"Jun 23, 2023",0.9300,0.9400,0.9300,0.9300,0.8988,"216,700"
"Jun 22, 2023",0.9400,0.9600,0.9300,0.9400,0.9085,"455,800"
"Jun 21, 2023",0.9500,0.9600,0.9400,0.9600,0.9278,"217,300"
"Jun 20, 2023",0.9700,0.9700,0.9400,0.9500,0.9181,"635,500"
"Jun 19, 2023",0.9600,0.9700,0.9500,0.9500,0.9181,"321,000"
"Jun 16, 2023",0.9800,0.9800,0.9600,0.9600,0.9278,"324,200"
"Jun 15, 2023",0.9600,0.9800,0.9600,0.9800,0.9471,"380,500"
"Jun 14, 2023",0.9800,0.9900,0.9500,0.9800,0.9471,"782,100"
"Jun 14, 2023",0.01 Dividend
"Jun 13, 2023",0.9800,0.9900,0.9600,0.9900,0.9471,"498,300"
"Jun 12, 2023",0.9700,0.9800,0.9500,0.9600,0.9184,"647,500"
"Jun 09, 2023",0.9800,0.9900,0.9700,0.9700,0.9280,"236,400"
"Jun 08, 2023",1.0000,1.0000,0.9600,0.9800,0.9376,"918,800"
"Jun 07, 2023",0.9900,1.0000,0.9800,1.0000,0.9567,"450,300"
"Jun 06, 2023",0.9900,0.9900,0.9700,0.9900,0.9471,"354,700"
"Jun 05, 2023",1.0000,1.0100,0.9800,0.9800,0.9376,"703,500"
"Jun 02, 2023",0.9700,1.0000,0.9600,0.9900,0.9471,"1,339,700"
"Jun 01, 2023",0.9400,0.9700,0.9400,0.9500,0.9089,"574,400"
"May 31, 2023",0.9300,0.9800,0.9300,0.9600,0.9184,"1,125,500"
"May 30, 2023",0.9500,0.9600,0.9300,0.9400,0.8993,"714,300"
"May 29, 2023",0.9700,0.9700,0.9500,0.9600,0.9184,"155,100"
"May 26, 2023",0.9500,0.9800,0.9400,0.9600,0.9184,"716,400"
"May 25, 2023",0.9600,0.9700,0.9500,0.9500,0.9089,"458,000"
"May 24, 2023",1.0000,1.0000,0.9700,0.9700,0.9280,"477,400"
"May 23, 2023",0.9800,1.0100,0.9700,0.9900,0.9471,"572,900"
"May 19, 2023",1.0000,1.0100,0.9700,1.0000,0.9567,"1,124,600"
"May 18, 2023",0.9900,1.0000,0.9800,1.0000,0.9567,"193,100"
"May 17, 2023",0.9800,1.0000,0.9500,1.0000,0.9567,"858,400"
"May 16, 2023",0.9900,0.9900,0.9500,0.9600,0.9184,"779,100"
"May 15, 2023",0.9800,0.9900,0.9700,0.9800,0.9376,"231,700"
"May 12, 2023",0.9900,1.0000,0.9700,0.9700,0.9280,"708,100"
"May 12, 2023",0.01 Dividend
"May 11, 2023",0.9900,1.0100,0.9800,0.9900,0.9376,"956,800"
"May 10, 2023",1.0100,1.0100,0.9800,1.0000,0.9470,"448,900"
"May 09, 2023",0.9800,1.0100,0.9800,1.0100,0.9565,"633,400"
"May 08, 2023",1.0200,1.0200,0.9800,0.9800,0.9281,"1,773,500"
"May 05, 2023",1.0300,1.0300,1.0000,1.0100,0.9565,"811,300"
"May 04, 2023",1.0000,1.0000,0.9700,0.9800,0.9281,"1,584,800"
"May 03, 2023",1.0000,1.0100,0.9900,1.0000,0.9470,"1,168,000"
"May 02, 2023",1.0400,1.0500,0.9800,1.0200,0.9660,"2,601,100"
"May 01, 2023",1.0500,1.0700,1.0400,1.0400,0.9849,"502,300"
