Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",7.33,7.39,7.24,7.29,7.29,"279,700"
"Nov 17, 2023",7.30,7.34,7.23,7.25,7.25,"325,400"
"Nov 16, 2023",7.28,7.28,7.04,7.20,7.20,"576,700"
"Nov 15, 2023",7.53,7.53,7.33,7.34,7.34,"390,000"
"Nov 14, 2023",7.62,7.66,7.41,7.56,7.56,"461,400"
"Nov 13, 2023",7.46,7.61,7.46,7.55,7.55,"1,756,300"
"Nov 10, 2023",7.05,7.48,6.96,7.42,7.42,"1,442,800"
"Nov 09, 2023",7.03,7.13,6.95,6.97,6.97,"695,600"
"Nov 08, 2023",6.98,7.02,6.65,6.98,6.98,"1,316,900"
"Nov 07, 2023",7.19,7.25,7.01,7.02,7.02,"783,100"
"Nov 06, 2023",7.61,7.63,7.25,7.30,7.30,"627,600"
"Nov 03, 2023",7.67,7.73,7.51,7.58,7.58,"335,800"
"Nov 02, 2023",7.50,7.67,7.49,7.65,7.65,"368,900"
"Nov 01, 2023",7.45,7.52,7.38,7.47,7.47,"741,200"
"Oct 31, 2023",7.28,7.58,7.24,7.46,7.46,"1,210,900"
"Oct 30, 2023",7.40,7.45,7.22,7.25,7.25,"393,500"
"Oct 27, 2023",7.29,7.41,7.18,7.38,7.38,"589,100"
"Oct 26, 2023",7.16,7.28,7.08,7.25,7.25,"244,000"
"Oct 25, 2023",7.11,7.25,7.09,7.24,7.24,"368,100"
"Oct 24, 2023",7.20,7.24,7.12,7.12,7.12,"334,200"
"Oct 23, 2023",7.19,7.33,7.15,7.17,7.17,"806,400"
"Oct 20, 2023",7.25,7.29,7.17,7.26,7.26,"551,900"
"Oct 19, 2023",7.23,7.36,7.19,7.29,7.29,"746,000"
"Oct 18, 2023",7.35,7.41,7.26,7.27,7.27,"414,500"
"Oct 17, 2023",7.31,7.39,7.26,7.32,7.32,"289,100"
"Oct 16, 2023",7.26,7.41,7.19,7.37,7.37,"332,000"
"Oct 13, 2023",7.27,7.33,7.22,7.25,7.25,"367,300"
"Oct 12, 2023",7.15,7.22,7.11,7.13,7.13,"339,800"
"Oct 11, 2023",7.11,7.16,6.97,7.12,7.12,"377,600"
"Oct 10, 2023",7.27,7.28,7.13,7.15,7.15,"629,800"
"Oct 06, 2023",6.91,7.09,6.78,7.07,7.07,"317,300"
"Oct 05, 2023",6.86,6.96,6.86,6.88,6.88,"429,000"
"Oct 04, 2023",6.91,6.94,6.76,6.91,6.91,"611,500"
"Oct 03, 2023",6.88,7.01,6.81,7.00,7.00,"387,600"
"Oct 02, 2023",7.17,7.20,6.87,6.92,6.92,"619,500"
"Sep 29, 2023",7.31,7.39,7.16,7.16,7.16,"630,300"
"Sep 28, 2023",7.28,7.37,7.25,7.29,7.29,"462,200"
"Sep 28, 2023",0.1 Dividend
"Sep 27, 2023",7.26,7.43,7.26,7.37,7.27,"593,600"
"Sep 26, 2023",7.20,7.29,7.15,7.19,7.09,"585,100"
"Sep 25, 2023",7.12,7.29,7.09,7.24,7.14,"301,200"
"Sep 22, 2023",7.09,7.18,7.04,7.14,7.04,"451,900"
"Sep 21, 2023",7.20,7.20,7.00,7.03,6.93,"485,400"
"Sep 20, 2023",7.16,7.32,7.16,7.19,7.09,"346,100"
"Sep 19, 2023",7.32,7.33,7.14,7.17,7.07,"600,400"
"Sep 18, 2023",7.33,7.37,7.23,7.28,7.18,"708,600"
"Sep 15, 2023",7.36,7.44,7.27,7.31,7.21,"1,704,100"
"Sep 14, 2023",7.37,7.47,7.34,7.38,7.28,"662,500"
"Sep 13, 2023",7.36,7.37,7.21,7.29,7.19,"1,294,500"
"Sep 12, 2023",7.28,7.47,7.28,7.37,7.27,"1,350,600"
"Sep 11, 2023",7.20,7.35,7.19,7.19,7.09,"420,000"
"Sep 08, 2023",7.17,7.35,7.17,7.20,7.10,"585,400"
"Sep 07, 2023",7.15,7.21,7.08,7.16,7.06,"735,300"
"Sep 06, 2023",7.22,7.28,7.16,7.17,7.07,"255,400"
"Sep 05, 2023",7.35,7.35,7.19,7.23,7.13,"703,100"
"Sep 01, 2023",7.25,7.33,7.20,7.25,7.15,"936,600"
"Aug 31, 2023",7.20,7.23,7.11,7.17,7.07,"342,500"
"Aug 30, 2023",7.13,7.20,7.08,7.17,7.07,"279,600"
"Aug 29, 2023",7.00,7.07,6.96,7.07,6.97,"980,200"
"Aug 28, 2023",6.93,7.04,6.93,7.00,6.91,"256,100"
"Aug 25, 2023",6.89,6.97,6.80,6.91,6.82,"425,600"
"Aug 24, 2023",6.88,6.92,6.80,6.80,6.71,"399,600"
"Aug 23, 2023",6.95,7.03,6.85,6.95,6.86,"762,600"
"Aug 22, 2023",7.07,7.11,6.98,7.03,6.93,"485,200"
"Aug 21, 2023",7.16,7.21,7.04,7.06,6.96,"305,300"
"Aug 18, 2023",7.08,7.17,7.05,7.15,7.05,"543,700"
"Aug 17, 2023",7.25,7.30,7.08,7.11,7.01,"760,700"
"Aug 16, 2023",7.19,7.32,7.13,7.15,7.05,"418,400"
"Aug 15, 2023",7.40,7.40,7.17,7.18,7.08,"776,800"
"Aug 14, 2023",7.46,7.50,7.38,7.46,7.36,"309,500"
