Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",14.00,14.22,13.93,13.97,13.97,"78,600"
"Nov 17, 2023",13.62,13.98,13.62,13.82,13.82,"34,100"
"Nov 16, 2023",13.71,13.76,13.40,13.59,13.59,"47,400"
"Nov 15, 2023",14.10,14.19,13.90,13.98,13.98,"61,700"
"Nov 14, 2023",13.83,14.24,13.83,14.18,14.18,"79,400"
"Nov 13, 2023",13.52,13.71,13.52,13.65,13.65,"37,000"
"Nov 10, 2023",13.76,13.76,13.47,13.64,13.64,"61,300"
"Nov 09, 2023",13.95,14.03,13.75,13.75,13.75,"66,200"
"Nov 08, 2023",13.76,14.01,13.69,13.83,13.83,"115,100"
"Nov 07, 2023",13.92,14.00,13.70,13.95,13.95,"76,300"
"Nov 06, 2023",14.98,14.98,14.48,14.50,14.50,"93,800"
"Nov 03, 2023",14.81,14.97,14.68,14.90,14.90,"48,100"
"Nov 02, 2023",14.50,15.03,14.47,15.00,15.00,"178,700"
"Nov 01, 2023",14.50,14.50,14.25,14.26,14.26,"171,900"
"Oct 31, 2023",14.48,14.68,14.21,14.49,14.49,"279,000"
"Oct 30, 2023",14.22,14.30,13.91,14.01,14.01,"53,500"
"Oct 27, 2023",14.29,14.30,14.15,14.30,14.30,"99,700"
"Oct 26, 2023",14.21,14.30,14.06,14.20,14.20,"67,500"
"Oct 25, 2023",14.16,14.28,14.04,14.27,14.27,"104,800"
"Oct 24, 2023",14.14,14.21,13.96,14.03,14.03,"40,400"
"Oct 23, 2023",14.12,14.22,13.99,14.15,14.15,"41,300"
"Oct 20, 2023",14.30,14.42,14.20,14.20,14.20,"115,000"
"Oct 19, 2023",14.20,14.46,14.11,14.29,14.29,"70,500"
"Oct 18, 2023",14.22,14.36,14.09,14.10,14.10,"65,500"
"Oct 17, 2023",13.93,14.15,13.87,14.09,14.09,"63,000"
"Oct 16, 2023",13.75,14.00,13.69,13.89,13.89,"68,900"
"Oct 13, 2023",13.30,13.64,13.30,13.55,13.55,"67,500"
"Oct 12, 2023",13.17,13.26,13.09,13.09,13.09,"81,400"
"Oct 11, 2023",13.06,13.12,12.75,12.84,12.84,"54,700"
"Oct 10, 2023",13.21,13.21,12.80,12.88,12.88,"161,900"
"Oct 06, 2023",12.20,12.41,12.17,12.40,12.40,"46,700"
"Oct 05, 2023",11.98,12.15,11.94,12.05,12.05,"117,100"
"Oct 04, 2023",12.47,12.47,11.75,11.81,11.81,"210,800"
"Oct 03, 2023",12.63,12.67,12.39,12.64,12.64,"67,100"
"Oct 02, 2023",13.11,13.11,12.56,12.59,12.59,"53,600"
"Sep 29, 2023",13.13,13.13,12.90,12.93,12.93,"58,500"
"Sep 28, 2023",13.06,13.22,13.01,13.11,13.11,"28,900"
"Sep 27, 2023",12.85,13.08,12.80,13.00,13.00,"41,900"
"Sep 26, 2023",12.60,12.78,12.60,12.72,12.72,"50,200"
"Sep 25, 2023",12.60,12.71,12.44,12.70,12.70,"83,000"
"Sep 22, 2023",12.76,12.81,12.59,12.66,12.66,"44,300"
"Sep 21, 2023",12.78,12.82,12.63,12.68,12.68,"43,200"
"Sep 20, 2023",12.97,13.03,12.73,12.73,12.73,"46,900"
"Sep 19, 2023",13.10,13.16,12.84,12.87,12.87,"94,100"
"Sep 18, 2023",13.29,13.30,12.89,12.95,12.95,"60,100"
"Sep 15, 2023",13.30,13.36,13.11,13.25,13.25,"314,000"
"Sep 14, 2023",13.40,13.43,13.26,13.33,13.33,"66,100"
"Sep 13, 2023",13.38,13.38,13.07,13.08,13.08,"32,900"
"Sep 12, 2023",13.16,13.28,13.11,13.27,13.27,"58,200"
"Sep 11, 2023",13.21,13.24,13.04,13.04,13.04,"39,700"
"Sep 08, 2023",12.99,13.18,12.99,13.09,13.09,"43,200"
"Sep 07, 2023",13.24,13.30,12.98,13.02,13.02,"81,700"
"Sep 06, 2023",13.30,13.35,13.03,13.17,13.17,"98,600"
"Sep 05, 2023",13.25,13.40,13.07,13.15,13.15,"110,300"
"Sep 01, 2023",12.98,13.07,12.88,12.94,12.94,"67,400"
"Aug 31, 2023",12.81,12.81,12.56,12.67,12.67,"160,800"
"Aug 30, 2023",12.87,12.96,12.77,12.84,12.84,"80,400"
"Aug 29, 2023",12.73,12.80,12.64,12.79,12.79,"82,700"
"Aug 28, 2023",12.50,12.54,12.30,12.48,12.48,"51,300"
"Aug 25, 2023",12.45,12.45,12.30,12.39,12.39,"67,200"
"Aug 24, 2023",12.31,12.48,12.22,12.22,12.22,"72,700"
"Aug 23, 2023",12.50,12.61,12.37,12.52,12.52,"95,600"
"Aug 22, 2023",12.47,12.51,12.41,12.50,12.50,"76,100"
"Aug 21, 2023",12.43,12.50,12.29,12.34,12.34,"107,400"
"Aug 18, 2023",12.21,12.25,12.15,12.15,12.15,"44,600"
"Aug 17, 2023",12.57,12.60,12.33,12.42,12.42,"93,100"
"Aug 16, 2023",12.50,12.57,12.30,12.33,12.33,"126,900"
"Aug 15, 2023",12.33,12.37,12.24,12.29,12.29,"94,100"
"Aug 14, 2023",12.47,12.57,12.36,12.46,12.46,"87,500"
"Aug 11, 2023",12.48,12.58,12.34,12.39,12.39,"102,500"
"Aug 10, 2023",12.41,12.45,12.16,12.22,12.22,"127,200"
"Aug 09, 2023",12.46,12.51,12.26,12.30,12.30,"235,600"
"Aug 08, 2023",12.10,12.15,12.04,12.07,12.07,"104,400"
"Aug 04, 2023",12.21,12.33,12.10,12.15,12.15,"144,000"
"Aug 03, 2023",11.74,12.05,11.74,12.01,12.01,"103,100"
"Aug 02, 2023",11.77,11.77,11.54,11.65,11.65,"61,300"
"Aug 01, 2023",12.27,12.30,11.81,12.01,12.01,"52,800"
"Jul 31, 2023",12.28,12.44,12.10,12.34,12.34,"119,000"
"Jul 28, 2023",12.01,12.07,11.89,11.94,11.94,"52,600"
"Jul 27, 2023",12.15,12.17,11.91,11.93,11.93,"32,900"
"Jul 26, 2023",12.14,12.20,12.06,12.07,12.07,"57,600"
"Jul 25, 2023",12.16,12.19,12.07,12.13,12.13,"67,200"
"Jul 24, 2023",12.09,12.16,12.02,12.04,12.04,"127,200"
"Jul 21, 2023",12.13,12.17,11.96,11.96,11.96,"38,600"
"Jul 20, 2023",12.09,12.15,11.95,11.98,11.98,"42,200"
"Jul 19, 2023",12.05,12.21,11.90,11.91,11.91,"54,000"
"Jul 18, 2023",11.89,12.00,11.85,11.89,11.89,"99,000"
"Jul 17, 2023",11.73,11.87,11.72,11.77,11.77,"103,800"
"Jul 14, 2023",11.96,11.96,11.73,11.77,11.77,"57,800"
"Jul 13, 2023",11.97,12.02,11.78,12.01,12.01,"130,600"
"Jul 12, 2023",11.60,11.94,11.60,11.84,11.84,"90,600"
"Jul 11, 2023",11.43,11.55,11.35,11.52,11.52,"134,400"
"Jul 10, 2023",11.46,11.51,11.09,11.31,11.31,"179,600"
"Jul 07, 2023",11.10,11.47,11.10,11.46,11.46,"116,400"
"Jul 06, 2023",10.92,11.03,10.87,10.96,10.96,"40,800"
"Jul 05, 2023",11.17,11.19,11.00,11.05,11.05,"28,800"
"Jul 04, 2023",11.03,11.31,11.03,11.25,11.25,"57,900"
"Jun 30, 2023",10.84,10.99,10.81,10.85,10.85,"61,800"
"Jun 29, 2023",10.37,10.47,10.22,10.47,10.47,"44,200"
"Jun 28, 2023",10.15,10.48,10.10,10.47,10.47,"98,800"
"Jun 27, 2023",10.68,10.68,10.41,10.42,10.42,"73,100"
"Jun 26, 2023",10.66,10.86,10.61,10.71,10.71,"66,500"
"Jun 23, 2023",11.33,11.33,10.77,10.79,10.79,"29,900"
"Jun 22, 2023",11.01,11.03,10.92,10.97,10.97,"54,200"
"Jun 21, 2023",11.00,11.13,10.94,11.01,11.01,"85,500"
"Jun 20, 2023",11.21,11.21,10.98,11.07,11.07,"60,000"
"Jun 19, 2023",11.42,11.42,11.25,11.35,11.35,"36,100"
"Jun 16, 2023",11.59,11.64,11.33,11.60,11.60,"151,900"
"Jun 15, 2023",11.42,11.68,11.42,11.56,11.56,"36,500"
"Jun 14, 2023",11.50,11.61,11.36,11.37,11.37,"38,900"
"Jun 13, 2023",11.51,11.70,11.44,11.45,11.45,"59,600"
"Jun 12, 2023",11.44,11.53,11.24,11.34,11.34,"61,600"
"Jun 09, 2023",11.62,11.75,11.50,11.59,11.59,"22,800"
"Jun 08, 2023",11.74,11.80,11.54,11.74,11.74,"36,700"
"Jun 07, 2023",11.63,11.79,11.63,11.78,11.78,"55,600"
"Jun 06, 2023",11.53,11.59,11.46,11.46,11.46,"75,200"
"Jun 05, 2023",11.77,12.22,11.50,11.52,11.52,"88,300"
"Jun 02, 2023",11.73,11.88,11.69,11.84,11.84,"72,600"
"Jun 01, 2023",11.30,11.53,11.25,11.36,11.36,"29,600"
"May 31, 2023",10.99,11.50,10.93,11.42,11.42,"298,800"
"May 30, 2023",11.18,11.27,11.11,11.20,11.20,"71,900"
"May 29, 2023",11.39,11.44,11.15,11.19,11.19,"38,600"
"May 26, 2023",11.63,11.63,11.35,11.54,11.54,"107,900"
"May 25, 2023",11.50,11.65,11.33,11.43,11.43,"100,500"
"May 24, 2023",11.90,11.90,11.68,11.73,11.73,"48,300"
"May 23, 2023",11.79,12.01,11.79,11.99,11.99,"321,700"
"May 19, 2023",11.82,11.84,11.68,11.79,11.79,"82,500"
"May 18, 2023",11.88,11.88,11.68,11.83,11.83,"52,400"
"May 17, 2023",11.62,11.82,11.62,11.75,11.75,"63,400"
"May 16, 2023",11.77,11.79,11.63,11.64,11.64,"80,900"
"May 15, 2023",11.88,12.01,11.80,11.98,11.98,"73,400"
"May 12, 2023",12.02,12.07,11.85,11.87,11.87,"74,000"
"May 11, 2023",12.06,12.08,11.93,12.04,12.04,"60,700"
"May 10, 2023",12.46,12.46,12.18,12.19,12.19,"40,300"
"May 09, 2023",12.26,12.57,12.20,12.57,12.57,"60,200"
"May 08, 2023",12.43,12.58,12.39,12.44,12.44,"68,000"
"May 05, 2023",11.97,12.33,11.95,12.26,12.26,"117,300"
"May 04, 2023",12.12,12.12,11.77,11.92,11.92,"136,800"
"May 03, 2023",12.08,12.54,12.02,12.32,12.32,"163,600"
"May 02, 2023",12.17,12.41,12.06,12.10,12.10,"221,400"
"May 01, 2023",13.01,13.48,12.98,13.12,13.12,"68,000"
"Apr 28, 2023",12.91,13.40,12.87,13.23,13.23,"90,500"
"Apr 27, 2023",12.93,13.06,12.81,12.93,12.93,"95,200"
"Apr 26, 2023",13.51,13.51,13.06,13.09,13.09,"89,000"
"Apr 25, 2023",13.79,13.79,13.42,13.47,13.47,"84,000"
"Apr 24, 2023",13.59,13.97,13.52,13.86,13.86,"86,100"
"Apr 21, 2023",13.66,13.79,13.56,13.79,13.79,"68,100"
"Apr 20, 2023",13.44,13.82,13.43,13.70,13.70,"127,500"
"Apr 19, 2023",13.53,13.57,13.37,13.57,13.57,"118,300"
"Apr 18, 2023",13.86,14.05,13.80,13.90,13.90,"101,000"
"Apr 17, 2023",14.13,14.22,14.02,14.09,14.09,"69,100"
"Apr 14, 2023",13.99,14.03,13.86,13.92,13.92,"106,300"
"Apr 13, 2023",13.94,14.13,13.85,14.13,14.13,"79,900"
"Apr 12, 2023",13.87,14.05,13.81,14.00,14.00,"98,700"
"Apr 11, 2023",13.59,13.94,13.45,13.76,13.76,"123,000"
"Apr 10, 2023",14.04,14.27,14.04,14.22,14.22,"83,800"
"Apr 06, 2023",14.08,14.08,13.76,13.92,13.92,"47,700"
"Apr 05, 2023",13.82,14.16,13.74,14.02,14.02,"159,100"
