Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",4.4100,4.4100,4.2700,4.2900,4.2900,"56,400"
"Nov 17, 2023",4.2700,4.4000,4.2400,4.3900,4.3900,"174,100"
"Nov 16, 2023",4.3800,4.4300,4.1000,4.2300,4.2300,"384,600"
"Nov 15, 2023",4.5200,4.5200,4.3900,4.4200,4.4200,"186,100"
"Nov 14, 2023",4.5700,4.6300,4.5100,4.5400,4.5400,"60,600"
"Nov 13, 2023",4.5800,4.6400,4.5500,4.5700,4.5700,"32,900"
"Nov 10, 2023",4.6700,4.6700,4.4800,4.5200,4.5200,"60,300"
"Nov 09, 2023",4.5200,4.6200,4.5100,4.5500,4.5500,"127,000"
"Nov 08, 2023",4.6000,4.7000,4.5200,4.5400,4.5400,"121,400"
"Nov 07, 2023",4.6400,4.7400,4.5400,4.6400,4.6400,"128,300"
"Nov 06, 2023",5.0100,5.0400,4.7200,4.7800,4.7800,"129,800"
"Nov 03, 2023",5.1100,5.2500,4.9800,5.0200,5.0200,"89,200"
"Nov 02, 2023",4.9200,5.1100,4.9200,5.0700,5.0700,"82,000"
"Nov 01, 2023",5.0000,5.1000,4.9400,4.9400,4.9400,"119,100"
"Oct 31, 2023",4.8700,5.0300,4.8500,4.9800,4.9800,"82,700"
"Oct 30, 2023",4.9700,5.0800,4.8500,4.9000,4.9000,"67,600"
"Oct 27, 2023",5.0500,5.1100,4.9600,5.0000,5.0000,"55,800"
"Oct 26, 2023",4.9100,5.1100,4.9000,5.0900,5.0900,"144,900"
"Oct 25, 2023",4.9900,5.0900,4.8900,4.9700,4.9700,"73,000"
"Oct 24, 2023",5.1000,5.1200,4.9500,4.9800,4.9800,"158,800"
"Oct 23, 2023",5.2600,5.2600,5.0500,5.0800,5.0800,"97,700"
"Oct 20, 2023",5.2100,5.2800,5.1700,5.2600,5.2600,"88,700"
"Oct 19, 2023",5.2400,5.3400,5.2000,5.2700,5.2700,"68,800"
"Oct 18, 2023",5.3500,5.4300,5.2800,5.2800,5.2800,"60,800"
"Oct 17, 2023",5.2700,5.3900,5.2400,5.3000,5.3000,"51,900"
"Oct 16, 2023",5.4100,5.4100,5.2400,5.2400,5.2400,"98,700"
"Oct 13, 2023",5.3900,5.4700,5.2900,5.4100,5.4100,"181,000"
"Oct 12, 2023",5.3800,5.3800,5.2500,5.2900,5.2900,"57,000"
"Oct 11, 2023",5.4400,5.4500,5.2300,5.2900,5.2900,"138,400"
"Oct 10, 2023",5.2100,5.4500,5.2100,5.4300,5.4300,"174,500"
"Oct 06, 2023",4.9500,5.1800,4.8800,5.1800,5.1800,"112,300"
"Oct 05, 2023",4.9800,5.0400,4.8700,4.9500,4.9500,"99,500"
"Oct 04, 2023",5.1100,5.1100,4.9500,5.0700,5.0700,"299,100"
"Oct 03, 2023",5.1200,5.1700,5.0500,5.1400,5.1400,"197,600"
"Oct 02, 2023",5.4200,5.4700,5.1200,5.1400,5.1400,"193,200"
"Sep 29, 2023",5.4700,5.5200,5.4100,5.4400,5.4400,"111,300"
"Sep 28, 2023",5.4800,5.5300,5.4000,5.4100,5.4100,"148,500"
"Sep 27, 2023",5.3900,5.4600,5.3100,5.4600,5.4600,"127,800"
"Sep 26, 2023",5.4000,5.4000,5.2500,5.2800,5.2800,"63,100"
"Sep 25, 2023",5.3200,5.4500,5.3000,5.3500,5.3500,"103,600"
"Sep 22, 2023",5.4300,5.5000,5.3200,5.3300,5.3300,"177,500"
"Sep 21, 2023",5.5300,5.5300,5.2600,5.3500,5.3500,"135,400"
"Sep 20, 2023",5.5500,5.6400,5.4700,5.4700,5.4700,"70,000"
"Sep 19, 2023",5.7500,5.7700,5.4900,5.5400,5.5400,"138,200"
"Sep 18, 2023",5.7200,5.7500,5.6200,5.7200,5.7200,"112,400"
"Sep 15, 2023",5.7000,5.7900,5.6900,5.6900,5.6900,"60,800"
"Sep 14, 2023",5.8000,5.8500,5.7400,5.8100,5.8100,"123,400"
"Sep 13, 2023",5.7900,5.7900,5.6800,5.7700,5.7700,"99,300"
"Sep 12, 2023",5.6100,5.7500,5.6000,5.7200,5.7200,"105,000"
"Sep 11, 2023",5.7100,5.7900,5.5800,5.5900,5.5900,"214,100"
"Sep 08, 2023",5.7200,5.8200,5.6500,5.6500,5.6500,"87,200"
"Sep 07, 2023",5.8400,5.8400,5.7100,5.7500,5.7500,"78,500"
"Sep 06, 2023",5.7600,5.8800,5.7400,5.8500,5.8500,"163,200"
"Sep 05, 2023",5.8000,5.8500,5.7300,5.8200,5.8200,"130,500"
"Sep 01, 2023",5.6900,5.8800,5.6900,5.8200,5.8200,"214,700"
