Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",7.25,7.49,7.24,7.38,7.38,"349,300"
"Nov 17, 2023",7.10,7.27,7.10,7.22,7.22,"415,900"
"Nov 16, 2023",7.17,7.17,6.80,7.12,7.12,"467,500"
"Nov 15, 2023",7.28,7.38,7.15,7.16,7.16,"302,800"
"Nov 14, 2023",7.36,7.45,7.20,7.44,7.44,"455,900"
"Nov 13, 2023",7.38,7.46,7.21,7.36,7.36,"1,172,000"
"Nov 10, 2023",7.32,7.39,7.04,7.38,7.38,"619,400"
"Nov 09, 2023",7.40,7.47,7.26,7.27,7.27,"451,800"
"Nov 08, 2023",7.65,7.71,7.37,7.39,7.39,"299,700"
"Nov 07, 2023",7.79,7.85,7.68,7.73,7.73,"265,100"
"Nov 06, 2023",8.15,8.15,7.80,7.91,7.91,"578,300"
"Nov 03, 2023",8.07,8.16,7.92,8.13,8.13,"588,600"
"Nov 02, 2023",8.00,8.07,7.97,8.06,8.06,"447,900"
"Nov 01, 2023",7.95,7.99,7.87,7.96,7.96,"281,700"
"Oct 31, 2023",7.66,7.89,7.60,7.88,7.88,"506,600"
"Oct 30, 2023",7.40,7.69,7.40,7.55,7.55,"465,500"
"Oct 27, 2023",7.28,7.42,7.12,7.41,7.41,"299,300"
"Oct 26, 2023",7.13,7.25,7.03,7.25,7.25,"237,300"
"Oct 25, 2023",7.07,7.23,7.01,7.22,7.22,"200,700"
"Oct 24, 2023",7.27,7.27,7.06,7.09,7.09,"121,600"
"Oct 23, 2023",7.13,7.28,7.04,7.11,7.11,"338,700"
"Oct 20, 2023",7.19,7.27,7.15,7.19,7.19,"196,500"
"Oct 19, 2023",7.26,7.42,7.26,7.36,7.36,"171,900"
"Oct 18, 2023",7.36,7.49,7.30,7.33,7.33,"214,300"
"Oct 17, 2023",7.21,7.35,7.21,7.33,7.33,"280,000"
"Oct 16, 2023",7.29,7.31,7.19,7.24,7.24,"84,700"
"Oct 13, 2023",7.14,7.29,7.11,7.25,7.25,"472,500"
"Oct 12, 2023",7.12,7.15,7.02,7.09,7.09,"197,100"
"Oct 11, 2023",7.08,7.14,7.04,7.06,7.06,"174,400"
"Oct 10, 2023",7.00,7.15,6.98,7.13,7.13,"591,000"
"Oct 06, 2023",6.73,6.87,6.63,6.86,6.86,"114,800"
"Oct 05, 2023",6.64,6.77,6.64,6.72,6.72,"197,700"
"Oct 04, 2023",6.86,6.87,6.70,6.72,6.72,"263,600"
"Oct 03, 2023",6.90,7.00,6.87,6.94,6.94,"1,028,900"
"Oct 02, 2023",7.24,7.24,6.89,6.95,6.95,"579,300"
"Sep 29, 2023",7.18,7.31,7.15,7.25,7.25,"350,900"
"Sep 28, 2023",7.11,7.23,7.03,7.15,7.15,"245,800"
"Sep 27, 2023",7.25,7.25,7.14,7.18,7.18,"193,900"
"Sep 26, 2023",7.07,7.19,7.04,7.14,7.14,"189,200"
"Sep 25, 2023",6.96,7.14,6.96,7.10,7.10,"166,300"
"Sep 22, 2023",6.91,7.06,6.90,6.98,6.98,"282,500"
"Sep 21, 2023",7.08,7.08,6.86,6.87,6.87,"259,800"
"Sep 20, 2023",7.11,7.23,7.05,7.05,7.05,"146,500"
"Sep 19, 2023",7.35,7.35,7.15,7.19,7.19,"93,200"
"Sep 18, 2023",7.44,7.44,7.23,7.30,7.30,"155,200"
"Sep 15, 2023",7.34,7.47,7.34,7.42,7.42,"402,300"
"Sep 14, 2023",7.36,7.43,7.33,7.39,7.39,"198,100"
"Sep 13, 2023",7.50,7.50,7.22,7.25,7.25,"213,300"
"Sep 12, 2023",7.38,7.49,7.34,7.49,7.49,"297,100"
"Sep 11, 2023",7.31,7.38,7.25,7.32,7.32,"334,000"
"Sep 08, 2023",7.09,7.33,7.09,7.28,7.28,"616,700"
"Sep 07, 2023",7.03,7.10,6.91,7.03,7.03,"226,600"
"Sep 06, 2023",7.15,7.18,7.07,7.07,7.07,"173,900"
"Sep 05, 2023",7.25,7.25,7.13,7.19,7.19,"263,400"
"Sep 01, 2023",7.05,7.34,6.98,7.22,7.22,"736,000"
"Aug 31, 2023",6.95,7.03,6.85,7.02,7.02,"421,500"
"Aug 30, 2023",6.83,6.92,6.83,6.89,6.89,"119,400"
"Aug 29, 2023",6.75,6.86,6.74,6.80,6.80,"145,300"
"Aug 28, 2023",6.80,6.81,6.72,6.75,6.75,"264,600"
"Aug 25, 2023",6.79,6.84,6.70,6.76,6.76,"278,500"
"Aug 24, 2023",6.73,6.80,6.67,6.74,6.74,"172,400"
"Aug 23, 2023",6.70,6.89,6.64,6.81,6.81,"415,500"
"Aug 22, 2023",6.80,6.91,6.78,6.80,6.80,"292,300"
"Aug 21, 2023",6.87,6.93,6.78,6.80,6.80,"257,500"
"Aug 18, 2023",6.65,6.89,6.63,6.85,6.85,"512,000"
"Aug 17, 2023",6.75,6.83,6.71,6.72,6.72,"295,900"
"Aug 16, 2023",6.71,6.76,6.67,6.70,6.70,"175,200"
"Aug 15, 2023",6.85,6.87,6.70,6.72,6.72,"173,800"
"Aug 14, 2023",6.81,6.93,6.77,6.90,6.90,"239,400"
"Aug 11, 2023",6.95,7.01,6.83,6.87,6.87,"318,100"
"Aug 10, 2023",6.95,7.03,6.85,6.93,6.93,"359,100"
"Aug 09, 2023",7.06,7.12,6.90,6.91,6.91,"786,200"
"Aug 08, 2023",6.86,7.05,6.70,7.00,7.00,"709,100"
"Aug 04, 2023",6.71,7.06,6.65,6.93,6.93,"844,700"
"Aug 03, 2023",6.30,6.69,6.21,6.68,6.68,"524,200"
"Aug 02, 2023",6.40,6.44,6.15,6.35,6.35,"496,900"
"Aug 01, 2023",6.37,6.52,6.32,6.43,6.43,"371,900"
"Jul 31, 2023",6.29,6.42,6.26,6.37,6.37,"560,800"
"Jul 28, 2023",6.13,6.26,6.13,6.23,6.23,"733,200"
"Jul 27, 2023",6.30,6.31,6.14,6.14,6.14,"346,200"
"Jul 26, 2023",6.22,6.31,6.22,6.23,6.23,"202,800"
"Jul 25, 2023",6.23,6.29,6.18,6.27,6.27,"1,132,600"
"Jul 24, 2023",6.13,6.31,6.13,6.29,6.29,"525,400"
"Jul 21, 2023",6.19,6.23,6.09,6.11,6.11,"193,300"
"Jul 20, 2023",6.23,6.27,6.09,6.19,6.19,"912,900"
"Jul 19, 2023",6.11,6.24,6.08,6.20,6.20,"584,900"
"Jul 18, 2023",5.98,6.25,5.97,6.10,6.10,"700,200"
"Jul 17, 2023",5.96,6.03,5.91,5.95,5.95,"333,700"
"Jul 14, 2023",6.00,6.03,5.87,6.00,6.00,"628,700"
"Jul 13, 2023",6.12,6.12,5.99,6.01,6.01,"208,400"
"Jul 12, 2023",6.24,6.24,6.06,6.11,6.11,"326,300"
