Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",12.65,12.69,12.42,12.42,12.42,"444,900"
"Nov 17, 2023",12.35,12.65,12.34,12.53,12.53,"337,700"
"Nov 16, 2023",12.68,12.70,12.25,12.38,12.38,"666,500"
"Nov 15, 2023",12.92,13.04,12.68,12.75,12.75,"695,800"
"Nov 14, 2023",12.86,13.19,12.86,13.02,13.02,"391,400"
"Nov 13, 2023",13.00,13.05,12.83,12.84,12.84,"457,400"
"Nov 10, 2023",12.90,13.02,12.72,12.96,12.96,"536,100"
"Nov 09, 2023",12.51,13.00,12.50,12.75,12.75,"812,700"
"Nov 08, 2023",12.63,12.90,12.07,12.31,12.31,"636,700"
"Nov 07, 2023",12.85,12.92,12.61,12.65,12.65,"605,900"
"Nov 06, 2023",13.49,13.59,13.02,13.06,13.06,"457,900"
"Nov 03, 2023",13.66,13.72,13.31,13.45,13.45,"749,400"
"Nov 02, 2023",13.54,13.70,13.44,13.68,13.68,"532,200"
"Nov 01, 2023",13.55,13.65,13.43,13.56,13.56,"410,600"
"Oct 31, 2023",13.30,13.56,13.14,13.45,13.45,"634,100"
"Oct 30, 2023",13.28,13.48,13.12,13.15,13.15,"366,900"
"Oct 27, 2023",13.40,13.45,13.17,13.23,13.23,"800,300"
"Oct 26, 2023",13.10,13.41,12.85,13.32,13.32,"1,594,000"
"Oct 25, 2023",13.17,13.29,13.02,13.19,13.19,"497,300"
"Oct 24, 2023",13.26,13.28,13.12,13.16,13.16,"322,900"
"Oct 23, 2023",13.16,13.44,13.05,13.28,13.28,"380,300"
"Oct 20, 2023",13.35,13.43,13.19,13.21,13.21,"282,300"
"Oct 19, 2023",13.00,13.43,12.88,13.33,13.33,"752,400"
"Oct 18, 2023",13.20,13.30,13.05,13.12,13.12,"645,600"
"Oct 17, 2023",13.09,13.33,12.97,13.11,13.11,"359,300"
"Oct 16, 2023",13.02,13.19,12.81,13.13,13.13,"452,000"
"Oct 13, 2023",13.16,13.19,12.92,12.95,12.95,"689,300"
"Oct 12, 2023",13.10,13.15,12.79,12.90,12.90,"429,700"
"Oct 11, 2023",12.83,13.01,12.65,13.00,13.00,"717,100"
"Oct 10, 2023",13.14,13.21,12.93,12.96,12.96,"882,000"
"Oct 06, 2023",12.57,12.90,12.33,12.74,12.74,"573,100"
"Oct 05, 2023",12.21,12.55,12.21,12.50,12.50,"557,200"
"Oct 04, 2023",12.51,12.59,12.21,12.36,12.36,"571,700"
"Oct 03, 2023",12.45,12.81,12.45,12.77,12.77,"469,600"
"Oct 02, 2023",13.00,13.07,12.48,12.50,12.50,"1,003,200"
"Sep 29, 2023",13.07,13.19,12.96,13.00,13.00,"499,700"
"Sep 28, 2023",13.14,13.20,12.94,13.06,13.06,"301,000"
"Sep 27, 2023",13.16,13.25,12.99,13.16,13.16,"414,100"
"Sep 26, 2023",13.09,13.33,12.91,12.99,12.99,"241,800"
"Sep 25, 2023",12.84,13.22,12.82,13.20,13.20,"424,500"
"Sep 22, 2023",12.90,12.99,12.73,12.87,12.87,"466,400"
"Sep 21, 2023",12.99,13.04,12.75,12.75,12.75,"598,700"
"Sep 20, 2023",13.12,13.20,12.93,12.94,12.94,"303,600"
