Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",10.39,10.57,10.37,10.39,10.39,"134,800"
"Nov 17, 2023",10.23,10.53,10.20,10.36,10.36,"232,700"
"Nov 16, 2023",10.38,10.49,10.01,10.13,10.13,"373,100"
"Nov 15, 2023",10.56,10.77,10.43,10.48,10.48,"144,600"
"Nov 14, 2023",10.69,10.78,10.47,10.65,10.65,"235,800"
"Nov 13, 2023",10.70,10.85,10.61,10.65,10.65,"202,300"
"Nov 10, 2023",10.78,10.85,10.58,10.75,10.75,"293,500"
"Nov 09, 2023",10.76,11.09,10.62,10.63,10.63,"284,700"
"Nov 08, 2023",11.04,11.07,10.52,10.69,10.69,"243,900"
"Nov 07, 2023",11.45,11.45,11.00,11.12,11.12,"292,200"
"Nov 06, 2023",11.99,11.99,11.60,11.71,11.71,"165,600"
"Nov 03, 2023",11.98,12.07,11.79,11.97,11.97,"206,700"
"Nov 02, 2023",11.88,12.05,11.72,12.05,12.05,"143,500"
"Nov 01, 2023",11.90,12.03,11.78,11.92,11.92,"141,900"
"Oct 31, 2023",11.69,11.96,11.59,11.79,11.79,"177,600"
"Oct 30, 2023",11.66,11.81,11.43,11.68,11.68,"277,200"
"Oct 27, 2023",11.63,11.70,11.43,11.59,11.59,"278,300"
"Oct 26, 2023",11.26,11.65,11.15,11.59,11.59,"240,300"
"Oct 25, 2023",11.32,11.54,11.20,11.50,11.50,"246,700"
"Oct 24, 2023",11.51,11.63,11.32,11.44,11.44,"199,400"
"Oct 23, 2023",11.47,11.66,11.36,11.50,11.50,"167,900"
"Oct 20, 2023",11.79,11.87,11.55,11.69,11.69,"396,300"
"Oct 19, 2023",11.59,12.08,11.50,11.85,11.85,"249,200"
"Oct 18, 2023",11.63,11.84,11.56,11.72,11.72,"245,300"
"Oct 17, 2023",11.47,11.71,11.44,11.52,11.52,"198,500"
"Oct 16, 2023",11.50,11.55,11.25,11.55,11.55,"199,200"
"Oct 13, 2023",11.36,11.52,11.31,11.47,11.47,"247,900"
"Oct 12, 2023",11.28,11.33,11.02,11.13,11.13,"165,400"
"Oct 11, 2023",10.97,11.17,10.95,11.12,11.12,"212,700"
"Oct 10, 2023",11.03,11.22,10.97,11.12,11.12,"214,100"
"Oct 06, 2023",10.46,10.62,10.15,10.53,10.53,"254,600"
"Oct 05, 2023",10.04,10.62,10.04,10.46,10.46,"408,300"
"Oct 04, 2023",10.68,10.68,10.14,10.26,10.26,"453,500"
"Oct 03, 2023",10.97,11.16,10.75,10.88,10.88,"261,200"
"Oct 02, 2023",11.27,11.33,10.85,11.02,11.02,"480,400"
"Sep 29, 2023",11.24,11.28,11.09,11.18,11.18,"315,800"
"Sep 28, 2023",11.20,11.29,11.00,11.14,11.14,"151,400"
"Sep 27, 2023",11.27,11.36,11.17,11.20,11.20,"313,200"
"Sep 26, 2023",11.18,11.35,10.98,11.07,11.07,"215,300"
"Sep 25, 2023",10.99,11.33,10.91,11.28,11.28,"353,900"
"Sep 22, 2023",10.51,11.10,10.51,11.01,11.01,"571,500"
"Sep 21, 2023",10.08,10.54,10.08,10.33,10.33,"332,700"
"Sep 20, 2023",10.18,10.34,10.03,10.03,10.03,"95,300"
"Sep 19, 2023",10.51,10.61,10.17,10.21,10.21,"143,200"
"Sep 18, 2023",10.56,10.61,10.39,10.49,10.49,"121,200"
"Sep 15, 2023",10.65,10.66,10.43,10.53,10.53,"182,900"
"Sep 14, 2023",10.51,10.77,10.51,10.71,10.71,"288,100"
"Sep 13, 2023",10.47,10.56,10.34,10.35,10.35,"179,200"
"Sep 12, 2023",10.23,10.62,10.22,10.45,10.45,"250,700"
"Sep 11, 2023",10.30,10.34,10.05,10.10,10.10,"168,900"
"Sep 08, 2023",10.03,10.42,10.03,10.25,10.25,"258,800"
"Sep 07, 2023",10.04,10.15,10.00,10.00,10.00,"165,300"
"Sep 06, 2023",10.01,10.18,9.95,10.03,10.03,"225,500"
"Sep 05, 2023",10.00,10.31,10.00,10.05,10.05,"186,900"
"Sep 01, 2023",9.73,10.00,9.73,9.95,9.95,"339,800"
"Aug 31, 2023",9.59,9.64,9.48,9.56,9.56,"234,200"
"Aug 30, 2023",9.18,9.60,9.15,9.47,9.47,"257,800"
"Aug 29, 2023",8.93,9.14,8.85,9.12,9.12,"135,300"
"Aug 28, 2023",8.75,8.97,8.75,8.93,8.93,"137,100"
"Aug 25, 2023",8.71,8.77,8.60,8.72,8.72,"183,500"
"Aug 24, 2023",8.77,8.77,8.55,8.62,8.62,"140,300"
"Aug 23, 2023",8.96,8.96,8.60,8.80,8.80,"199,800"
"Aug 22, 2023",9.05,9.17,8.99,9.02,9.02,"180,800"
"Aug 21, 2023",9.23,9.30,8.97,9.05,9.05,"193,900"
"Aug 18, 2023",9.05,9.24,9.05,9.19,9.19,"143,700"
"Aug 17, 2023",9.08,9.28,9.08,9.13,9.13,"176,400"
"Aug 16, 2023",9.10,9.34,8.95,8.97,8.97,"161,400"
"Aug 15, 2023",9.26,9.26,9.04,9.07,9.07,"100,600"
"Aug 14, 2023",9.44,9.44,9.31,9.32,9.32,"125,900"
"Aug 11, 2023",9.38,9.55,9.38,9.51,9.51,"101,400"
"Aug 10, 2023",9.66,9.67,9.38,9.39,9.39,"141,800"
"Aug 09, 2023",9.50,9.67,9.49,9.66,9.66,"203,500"
"Aug 08, 2023",9.10,9.41,8.92,9.41,9.41,"224,200"
"Aug 04, 2023",9.30,9.56,9.19,9.36,9.36,"261,600"
"Aug 03, 2023",9.01,9.33,8.98,9.22,9.22,"358,800"
"Aug 02, 2023",9.14,9.19,8.83,9.03,9.03,"249,800"
"Aug 01, 2023",9.37,9.37,9.08,9.18,9.18,"166,400"
"Jul 31, 2023",9.24,9.44,9.17,9.43,9.43,"271,600"
"Jul 28, 2023",8.74,9.13,8.69,9.11,9.11,"238,600"
"Jul 27, 2023",8.89,9.01,8.70,8.70,8.70,"290,300"
"Jul 26, 2023",8.58,8.82,8.58,8.77,8.77,"195,600"
"Jul 25, 2023",8.60,8.83,8.39,8.68,8.68,"344,500"
"Jul 24, 2023",8.58,8.72,8.56,8.65,8.65,"152,700"
"Jul 21, 2023",8.56,8.59,8.45,8.53,8.53,"71,400"
"Jul 20, 2023",8.58,8.58,8.34,8.50,8.50,"139,100"
"Jul 19, 2023",8.44,8.66,8.44,8.52,8.52,"170,100"
"Jul 18, 2023",8.26,8.57,8.26,8.47,8.47,"365,200"
"Jul 17, 2023",8.43,8.44,8.18,8.26,8.26,"178,300"
"Jul 14, 2023",8.58,8.67,8.43,8.48,8.48,"227,000"
"Jul 13, 2023",8.73,8.83,8.57,8.75,8.75,"305,800"
"Jul 12, 2023",8.55,8.77,8.55,8.75,8.75,"397,300"
"Jul 11, 2023",8.20,8.60,8.20,8.53,8.53,"292,000"
"Jul 10, 2023",8.27,8.27,8.08,8.16,8.16,"404,400"
"Jul 07, 2023",7.75,8.32,7.70,8.22,8.22,"302,500"
"Jul 06, 2023",7.86,8.01,7.56,7.71,7.71,"271,100"
"Jul 05, 2023",8.01,8.12,7.90,7.94,7.94,"291,900"
"Jul 04, 2023",7.86,8.10,7.86,8.03,8.03,"123,800"
"Jun 30, 2023",7.73,7.81,7.64,7.75,7.75,"197,200"
"Jun 29, 2023",7.42,7.70,7.42,7.67,7.67,"341,500"
"Jun 28, 2023",7.30,7.50,7.21,7.40,7.40,"219,500"
"Jun 27, 2023",7.23,7.38,7.17,7.26,7.26,"198,400"
"Jun 26, 2023",7.12,7.36,7.12,7.27,7.27,"298,200"
"Jun 23, 2023",7.17,7.18,7.05,7.16,7.16,"353,900"
"Jun 22, 2023",7.50,7.50,7.22,7.26,7.26,"165,700"
"Jun 21, 2023",7.52,7.67,7.52,7.64,7.64,"188,000"
"Jun 20, 2023",7.71,7.71,7.42,7.53,7.53,"364,100"
"Jun 19, 2023",7.70,7.74,7.61,7.74,7.74,"35,900"
"Jun 16, 2023",7.79,7.80,7.59,7.72,7.72,"247,900"
"Jun 15, 2023",7.78,7.90,7.70,7.77,7.77,"167,200"
"Jun 14, 2023",8.09,8.09,7.69,7.71,7.71,"317,300"
"Jun 13, 2023",7.97,8.18,7.88,7.89,7.89,"222,300"
"Jun 12, 2023",7.96,8.06,7.77,7.81,7.81,"324,200"
"Jun 09, 2023",8.18,8.36,8.07,8.09,8.09,"245,700"
"Jun 08, 2023",8.38,8.48,8.12,8.23,8.23,"249,300"
"Jun 07, 2023",8.14,8.47,8.14,8.41,8.41,"264,300"
"Jun 06, 2023",8.07,8.14,7.95,8.11,8.11,"294,600"
"Jun 05, 2023",8.47,8.56,8.19,8.22,8.22,"380,200"
"Jun 02, 2023",8.06,8.38,8.04,8.31,8.31,"422,100"
"Jun 01, 2023",7.52,7.95,7.45,7.89,7.89,"365,500"
"May 31, 2023",7.69,7.69,7.41,7.47,7.47,"477,000"
"May 30, 2023",8.17,8.17,7.76,7.80,7.80,"299,800"
"May 29, 2023",8.18,8.42,8.18,8.42,8.42,"71,600"
"May 26, 2023",8.16,8.21,8.07,8.19,8.19,"302,300"
"May 25, 2023",8.36,8.36,8.01,8.06,8.06,"178,700"
"May 24, 2023",8.42,8.60,8.40,8.52,8.52,"209,300"
"May 23, 2023",8.20,8.45,8.09,8.37,8.37,"258,600"
"May 19, 2023",8.15,8.17,7.99,8.06,8.06,"100,800"
"May 18, 2023",7.91,8.07,7.82,8.06,8.06,"178,100"
"May 17, 2023",7.96,8.04,7.75,7.95,7.95,"264,000"
"May 16, 2023",8.05,8.15,7.84,7.86,7.86,"193,900"
"May 15, 2023",8.17,8.20,8.06,8.13,8.13,"145,100"
"May 12, 2023",8.06,8.29,7.99,8.12,8.12,"125,300"
"May 11, 2023",8.10,8.15,7.91,8.04,8.04,"213,300"
"May 10, 2023",8.39,8.41,8.10,8.22,8.22,"143,100"
"May 09, 2023",8.36,8.42,8.21,8.37,8.37,"234,700"
"May 08, 2023",8.58,8.63,8.43,8.45,8.45,"193,500"
"May 05, 2023",8.47,8.56,8.30,8.43,8.43,"318,900"
"May 04, 2023",8.21,8.50,7.98,8.06,8.06,"342,900"
"May 03, 2023",8.10,8.40,8.06,8.06,8.06,"354,200"
"May 02, 2023",8.66,8.66,8.23,8.26,8.26,"294,000"
"May 01, 2023",8.68,8.88,8.61,8.79,8.79,"205,300"
"Apr 28, 2023",8.56,8.93,8.50,8.81,8.81,"192,800"
"Apr 27, 2023",8.71,8.77,8.53,8.53,8.53,"145,900"
"Apr 26, 2023",9.08,9.08,8.61,8.65,8.65,"235,900"
"Apr 25, 2023",9.26,9.26,9.03,9.08,9.08,"285,700"
"Apr 24, 2023",8.93,9.36,8.93,9.36,9.36,"203,500"
"Apr 21, 2023",9.08,9.16,8.87,8.99,8.99,"252,800"
"Apr 20, 2023",9.18,9.18,8.92,8.97,8.97,"220,300"
"Apr 19, 2023",9.25,9.43,9.18,9.30,9.30,"270,800"
"Apr 18, 2023",9.14,9.55,9.12,9.42,9.42,"389,900"
"Apr 17, 2023",9.15,9.25,8.99,9.05,9.05,"220,900"
"Apr 14, 2023",9.38,9.43,9.07,9.15,9.15,"260,000"
"Apr 13, 2023",9.18,9.42,9.13,9.28,9.28,"148,100"
"Apr 12, 2023",9.47,9.48,9.19,9.19,9.19,"163,900"
"Apr 11, 2023",9.39,9.39,9.21,9.38,9.38,"128,000"
"Apr 10, 2023",9.07,9.49,9.07,9.28,9.28,"374,800"
"Apr 06, 2023",9.34,9.34,9.05,9.07,9.07,"146,800"
"Apr 05, 2023",9.30,9.37,9.00,9.30,9.30,"206,100"
"Apr 04, 2023",9.35,9.41,9.04,9.27,9.27,"318,200"
"Apr 03, 2023",9.08,9.35,9.08,9.31,9.31,"323,600"
"Mar 31, 2023",8.65,8.77,8.59,8.63,8.63,"169,100"
"Mar 30, 2023",8.63,8.69,8.43,8.61,8.61,"319,700"
"Mar 29, 2023",8.82,8.82,8.58,8.67,8.67,"285,700"
"Mar 28, 2023",8.52,8.74,8.45,8.61,8.61,"204,300"
"Mar 27, 2023",8.26,8.56,8.02,8.54,8.54,"337,200"
"Mar 24, 2023",7.94,8.27,7.81,8.13,8.13,"549,600"
"Mar 23, 2023",8.55,8.65,8.06,8.22,8.22,"564,000"
"Mar 22, 2023",8.36,8.72,8.26,8.47,8.47,"347,000"
"Mar 21, 2023",8.21,8.47,8.16,8.39,8.39,"354,400"
"Mar 20, 2023",7.84,8.02,7.77,7.97,7.97,"610,800"
"Mar 17, 2023",8.45,8.51,7.75,7.75,7.75,"1,901,200"
"Mar 16, 2023",8.10,8.33,7.91,8.32,8.32,"553,300"
"Mar 15, 2023",8.57,8.63,7.91,8.22,8.22,"895,800"
"Mar 14, 2023",9.21,9.42,8.87,9.02,9.02,"494,500"
"Mar 13, 2023",9.30,9.67,9.00,9.25,9.25,"400,100"
"Mar 10, 2023",9.92,9.92,9.57,9.69,9.69,"300,900"
"Mar 09, 2023",10.10,10.37,9.93,9.93,9.93,"316,000"
"Mar 08, 2023",10.03,10.19,9.95,10.03,10.03,"309,400"
"Mar 07, 2023",10.25,10.32,9.99,10.06,10.06,"199,200"
"Mar 06, 2023",10.27,10.35,10.11,10.28,10.28,"239,200"
"Mar 03, 2023",9.93,10.40,9.83,10.31,10.31,"368,900"
"Mar 02, 2023",9.87,10.07,9.67,9.98,9.98,"368,900"
"Mar 01, 2023",9.67,9.97,9.59,9.85,9.85,"314,100"
"Feb 28, 2023",9.99,10.10,9.63,9.64,9.64,"430,700"
"Feb 27, 2023",10.10,10.17,9.80,9.89,9.89,"450,500"
"Feb 24, 2023",9.11,10.04,9.05,9.98,9.98,"706,200"
"Feb 23, 2023",8.45,9.30,8.45,9.24,9.24,"776,600"
"Feb 22, 2023",8.12,8.23,7.88,8.13,8.13,"308,800"
"Feb 21, 2023",8.27,8.43,8.10,8.12,8.12,"288,100"
"Feb 17, 2023",8.48,8.48,8.19,8.24,8.24,"426,100"
"Feb 16, 2023",8.81,8.89,8.65,8.65,8.65,"188,500"
"Feb 15, 2023",9.00,9.00,8.56,8.82,8.82,"354,400"
"Feb 14, 2023",8.89,9.15,8.83,9.12,9.12,"186,500"
"Feb 13, 2023",9.04,9.10,8.79,9.01,9.01,"306,700"
"Feb 10, 2023",8.66,9.21,8.63,9.11,9.11,"480,300"
"Feb 09, 2023",8.75,8.88,8.54,8.54,8.54,"227,800"
"Feb 08, 2023",8.91,9.06,8.67,8.73,8.73,"245,500"
"Feb 07, 2023",8.50,8.89,8.36,8.88,8.88,"500,100"
"Feb 06, 2023",8.56,8.57,8.20,8.40,8.40,"287,400"
"Feb 03, 2023",8.48,8.88,8.38,8.49,8.49,"528,800"
"Feb 02, 2023",8.61,8.63,8.23,8.31,8.31,"373,600"
"Feb 01, 2023",8.78,8.87,8.43,8.63,8.63,"572,300"
"Jan 31, 2023",8.62,8.87,8.52,8.82,8.82,"371,000"
"Jan 30, 2023",8.71,8.78,8.59,8.62,8.62,"379,600"
"Jan 27, 2023",8.92,9.05,8.71,8.79,8.79,"259,300"
"Jan 26, 2023",8.77,8.94,8.64,8.88,8.88,"199,700"
"Jan 25, 2023",8.70,8.71,8.45,8.66,8.66,"270,100"
"Jan 24, 2023",9.05,9.10,8.73,8.75,8.75,"182,200"
"Jan 23, 2023",8.90,9.13,8.90,9.01,9.01,"279,200"
"Jan 20, 2023",9.05,9.05,8.80,8.85,8.85,"359,900"
"Jan 19, 2023",8.75,9.05,8.69,9.05,9.05,"222,800"
"Jan 18, 2023",9.01,9.24,8.80,8.81,8.81,"344,300"
"Jan 17, 2023",8.68,8.90,8.67,8.88,8.88,"520,400"
"Jan 16, 2023",8.63,8.75,8.56,8.62,8.62,"134,400"
"Jan 13, 2023",8.55,8.64,8.35,8.62,8.62,"270,100"
"Jan 12, 2023",8.33,8.55,8.26,8.55,8.55,"245,300"
"Jan 11, 2023",8.19,8.28,8.06,8.23,8.23,"238,800"
"Jan 10, 2023",8.23,8.38,7.99,8.10,8.10,"216,300"
"Jan 09, 2023",8.29,8.43,8.17,8.17,8.17,"299,700"
"Jan 06, 2023",7.92,8.14,7.80,8.05,8.05,"777,100"
"Jan 05, 2023",7.82,8.00,7.76,7.82,7.82,"236,600"
"Jan 04, 2023",7.93,8.18,7.76,7.82,7.82,"500,400"
"Jan 03, 2023",8.96,8.96,8.03,8.09,8.09,"467,800"
"Dec 30, 2022",8.79,8.99,8.78,8.98,8.98,"176,200"
"Dec 29, 2022",8.66,8.89,8.60,8.89,8.89,"231,500"
"Dec 28, 2022",9.13,9.13,8.70,8.73,8.73,"390,900"
"Dec 23, 2022",8.84,9.27,8.84,9.21,9.21,"355,100"
"Dec 22, 2022",9.06,9.12,8.61,8.83,8.83,"370,100"
"Dec 21, 2022",8.84,9.07,8.79,9.06,9.06,"424,400"
"Dec 20, 2022",8.63,8.89,8.55,8.74,8.74,"445,900"
"Dec 19, 2022",9.16,9.18,8.54,8.62,8.62,"586,100"
"Dec 16, 2022",9.39,9.39,8.90,9.15,9.15,"1,866,800"
"Dec 15, 2022",9.33,9.64,9.27,9.58,9.58,"367,400"
"Dec 14, 2022",9.42,9.48,9.06,9.42,9.42,"435,100"
"Dec 13, 2022",9.33,9.56,9.15,9.36,9.36,"350,100"
"Dec 12, 2022",8.85,9.28,8.80,9.04,9.04,"222,800"
"Dec 09, 2022",9.00,9.15,8.82,8.83,8.83,"320,900"
"Dec 08, 2022",9.50,9.68,8.97,9.01,9.01,"417,400"
"Dec 07, 2022",9.22,9.49,9.11,9.21,9.21,"737,600"
"Dec 06, 2022",9.43,9.88,9.19,9.19,9.19,"326,300"
"Dec 05, 2022",10.02,10.19,9.42,9.49,9.49,"350,400"
"Dec 02, 2022",9.84,9.96,9.78,9.81,9.81,"161,300"
"Dec 01, 2022",10.11,10.43,9.84,9.90,9.90,"317,500"
"Nov 30, 2022",10.35,10.47,10.16,10.19,10.19,"278,300"
"Nov 29, 2022",10.05,10.29,10.04,10.21,10.21,"219,400"
"Nov 28, 2022",9.84,10.00,9.70,9.83,9.83,"191,300"
"Nov 25, 2022",10.19,10.25,10.01,10.05,10.05,"179,900"
"Nov 24, 2022",10.09,10.18,9.97,10.11,10.11,"62,700"
"Nov 23, 2022",10.03,10.23,10.02,10.08,10.08,"107,000"
"Nov 22, 2022",10.39,10.44,10.10,10.28,10.28,"191,800"
"Nov 21, 2022",10.14,10.21,9.63,10.15,10.15,"339,700"
"Nov 18, 2022",9.97,10.38,9.91,10.34,10.34,"213,100"
"Nov 17, 2022",10.07,10.27,9.89,10.27,10.27,"334,300"
"Nov 16, 2022",10.63,10.63,10.29,10.32,10.32,"249,500"
"Nov 15, 2022",10.77,10.87,10.62,10.71,10.71,"282,700"
"Nov 14, 2022",11.00,11.06,10.61,10.73,10.73,"326,800"
"Nov 11, 2022",10.80,11.27,10.80,11.18,11.18,"317,200"
"Nov 10, 2022",10.75,10.88,10.32,10.44,10.44,"643,400"
"Nov 09, 2022",11.71,11.76,10.41,10.41,10.41,"746,500"
"Nov 08, 2022",12.17,12.34,11.60,11.86,11.86,"1,111,100"
"Nov 07, 2022",13.31,13.94,13.21,13.57,13.57,"347,900"
"Nov 04, 2022",13.01,13.37,12.64,13.19,13.19,"353,500"
"Nov 03, 2022",12.29,12.96,12.29,12.83,12.83,"208,500"
"Nov 02, 2022",12.66,12.78,12.22,12.42,12.42,"198,300"
"Nov 01, 2022",12.75,12.88,12.61,12.62,12.62,"116,800"
"Oct 31, 2022",11.78,12.48,11.78,12.39,12.39,"226,900"
"Oct 28, 2022",12.06,12.30,11.40,12.01,12.01,"459,300"
"Oct 27, 2022",12.40,12.46,11.95,12.07,12.07,"210,300"
"Oct 26, 2022",11.97,12.39,11.82,12.17,12.17,"210,000"
"Oct 25, 2022",11.56,12.05,11.56,11.87,11.87,"175,200"
"Oct 24, 2022",11.59,11.77,11.43,11.73,11.73,"170,500"
"Oct 21, 2022",11.45,11.67,11.32,11.62,11.62,"225,300"
"Oct 20, 2022",11.53,11.88,11.44,11.49,11.49,"157,100"
"Oct 19, 2022",10.93,11.60,10.93,11.45,11.45,"130,000"
"Oct 18, 2022",11.17,11.38,10.85,11.09,11.09,"182,200"
"Oct 17, 2022",11.35,11.74,11.18,11.21,11.21,"181,700"
"Oct 14, 2022",11.47,11.63,11.10,11.31,11.31,"240,900"
