Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",13.30,13.49,13.28,13.30,13.30,"452,200"
"Nov 17, 2023",13.22,13.39,13.03,13.30,13.30,"855,700"
"Nov 16, 2023",13.14,13.30,12.81,13.14,13.14,"1,246,900"
"Nov 15, 2023",13.29,13.50,13.11,13.25,13.25,"642,400"
"Nov 14, 2023",13.37,13.49,13.06,13.34,13.34,"994,600"
"Nov 13, 2023",13.75,13.82,13.36,13.38,13.38,"761,700"
"Nov 10, 2023",14.00,14.00,13.66,13.71,13.71,"827,200"
"Nov 09, 2023",14.15,14.15,13.72,13.89,13.89,"1,163,000"
"Nov 08, 2023",14.19,14.38,13.81,14.06,14.06,"1,195,500"
"Nov 07, 2023",14.46,14.46,14.14,14.30,14.30,"1,521,700"
"Nov 06, 2023",15.10,15.15,14.51,14.68,14.68,"836,600"
"Nov 03, 2023",15.05,15.20,14.90,15.03,15.03,"611,100"
"Nov 02, 2023",14.75,15.11,14.72,15.04,15.04,"940,000"
"Nov 01, 2023",14.66,14.85,14.51,14.69,14.69,"711,000"
"Oct 31, 2023",14.47,14.73,14.37,14.60,14.60,"1,192,300"
"Oct 30, 2023",14.39,14.59,14.27,14.44,14.44,"530,200"
"Oct 30, 2023",0.11 Dividend
"Oct 27, 2023",14.48,14.54,14.29,14.50,14.39,"540,900"
"Oct 26, 2023",14.20,14.39,13.97,14.35,14.24,"683,300"
"Oct 25, 2023",14.27,14.38,14.11,14.30,14.19,"503,900"
"Oct 24, 2023",14.14,14.29,14.09,14.18,14.07,"753,600"
"Oct 23, 2023",14.02,14.26,13.78,14.19,14.08,"852,100"
"Oct 20, 2023",14.40,14.40,14.06,14.07,13.96,"834,200"
"Oct 19, 2023",14.28,14.56,14.20,14.35,14.24,"794,200"
"Oct 18, 2023",14.41,14.48,14.08,14.35,14.24,"872,100"
"Oct 17, 2023",14.27,14.36,14.13,14.36,14.25,"609,400"
"Oct 16, 2023",14.20,14.33,14.06,14.27,14.16,"726,000"
"Oct 13, 2023",14.10,14.22,13.98,14.15,14.04,"741,100"
"Oct 12, 2023",14.00,14.05,13.75,13.90,13.79,"572,700"
