Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",1.4000,1.4200,1.3700,1.3800,1.3800,"25,000"
"Nov 17, 2023",1.3600,1.3900,1.3600,1.3700,1.3700,"22,900"
"Nov 16, 2023",1.4400,1.4400,1.2700,1.3300,1.3300,"83,000"
"Nov 15, 2023",1.4300,1.4400,1.3600,1.4000,1.4000,"31,600"
"Nov 14, 2023",1.4500,1.4600,1.4000,1.4600,1.4600,"24,900"
"Nov 13, 2023",1.3600,1.4400,1.3500,1.4300,1.4300,"65,300"
"Nov 10, 2023",1.2900,1.3800,1.2800,1.3100,1.3100,"106,000"
"Nov 09, 2023",1.2200,1.3600,1.2200,1.2900,1.2900,"121,700"
"Nov 08, 2023",1.2300,1.2300,1.1100,1.1900,1.1900,"75,300"
"Nov 07, 2023",1.2200,1.2200,1.2000,1.2000,1.2000,"11,000"
"Nov 06, 2023",1.2200,1.2400,1.2100,1.2300,1.2300,"26,800"
"Nov 03, 2023",1.2300,1.2300,1.1800,1.2100,1.2100,"56,800"
"Nov 02, 2023",1.2200,1.3000,1.1900,1.2300,1.2300,"87,200"
"Nov 01, 2023",1.1800,1.2700,1.1500,1.2200,1.2200,"200,900"
"Oct 31, 2023",1.3700,1.3700,1.1500,1.1500,1.1500,"473,900"
"Oct 30, 2023",1.4200,1.4400,1.2800,1.3500,1.3500,"77,100"
"Oct 27, 2023",1.4500,1.4500,1.3800,1.3900,1.3900,"36,300"
"Oct 26, 2023",1.4000,1.4000,1.3800,1.3800,1.3800,"4,500"
"Oct 25, 2023",1.4400,1.4400,1.4000,1.4000,1.4000,"36,100"
"Oct 25, 2023",0.03 Dividend
"Oct 24, 2023",1.4100,1.4400,1.4000,1.4400,1.4100,"18,500"
"Oct 23, 2023",1.4300,1.4500,1.4100,1.4100,1.3806,"25,500"
"Oct 20, 2023",1.4500,1.4500,1.4000,1.4200,1.3904,"33,600"
"Oct 19, 2023",1.4600,1.4600,1.4200,1.4400,1.4100,"20,400"
"Oct 18, 2023",1.5200,1.5200,1.4500,1.4500,1.4198,"44,500"
"Oct 17, 2023",1.5500,1.5600,1.5000,1.5300,1.4981,"69,200"
