Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",27.50,28.23,27.39,28.05,28.05,"380,500"
"Nov 17, 2023",26.74,27.63,26.74,27.53,27.53,"256,000"
"Nov 16, 2023",27.30,27.30,26.61,26.92,26.92,"499,500"
"Nov 15, 2023",26.95,27.51,26.74,27.32,27.32,"339,600"
"Nov 14, 2023",27.02,27.22,26.69,27.03,27.03,"598,700"
"Nov 13, 2023",27.65,27.65,27.03,27.48,27.48,"397,100"
"Nov 10, 2023",28.03,28.04,27.19,27.46,27.46,"293,400"
"Nov 09, 2023",27.93,28.14,27.24,27.87,27.87,"707,000"
"Nov 08, 2023",26.05,27.25,26.05,27.21,27.21,"516,100"
"Nov 07, 2023",26.87,27.00,26.27,26.34,26.34,"544,400"
"Nov 06, 2023",27.65,28.06,27.24,27.60,27.60,"428,500"
"Nov 03, 2023",27.45,27.78,27.03,27.42,27.42,"338,200"
"Nov 02, 2023",26.69,27.50,26.40,27.42,27.42,"416,300"
"Nov 01, 2023",26.59,26.84,26.48,26.69,26.69,"408,900"
"Oct 31, 2023",26.34,26.63,25.99,26.58,26.58,"776,900"
"Oct 30, 2023",25.39,26.12,25.11,26.07,26.07,"564,200"
"Oct 27, 2023",25.28,25.50,24.94,25.48,25.48,"346,000"
"Oct 26, 2023",24.59,25.26,24.37,25.23,25.23,"295,900"
"Oct 25, 2023",24.40,25.06,24.32,24.85,24.85,"319,600"
"Oct 24, 2023",25.01,25.29,24.24,24.40,24.40,"446,100"
"Oct 23, 2023",25.02,25.63,24.86,25.08,25.08,"369,200"
"Oct 20, 2023",25.46,25.71,25.20,25.37,25.37,"433,000"
"Oct 19, 2023",25.00,25.62,25.00,25.47,25.47,"472,300"
"Oct 18, 2023",24.83,25.19,24.83,25.13,25.13,"456,300"
"Oct 17, 2023",24.02,24.78,23.96,24.76,24.76,"361,500"
"Oct 16, 2023",24.10,24.26,23.77,24.13,24.13,"284,000"
"Oct 13, 2023",23.84,24.09,23.52,24.09,24.09,"559,200"
"Oct 12, 2023",23.35,23.37,22.66,23.27,23.27,"437,400"
"Oct 11, 2023",23.75,23.87,23.20,23.21,23.21,"448,900"
"Oct 10, 2023",24.21,24.48,23.91,24.07,24.07,"740,900"
"Oct 06, 2023",24.78,24.78,23.57,23.63,23.63,"404,500"
"Oct 05, 2023",24.94,25.15,24.51,24.70,24.70,"306,400"
"Oct 04, 2023",25.20,25.30,24.73,25.03,25.03,"504,500"
"Oct 03, 2023",25.24,25.70,25.24,25.58,25.58,"535,300"
"Oct 02, 2023",25.48,25.74,24.92,25.30,25.30,"586,200"
"Sep 29, 2023",25.45,25.72,25.28,25.49,25.49,"337,300"
"Sep 28, 2023",26.04,26.19,25.07,25.35,25.35,"536,800"
"Sep 27, 2023",25.62,26.09,25.56,25.94,25.94,"543,300"
"Sep 26, 2023",25.36,25.77,24.91,25.32,25.32,"414,600"
