Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",3.3700,3.5000,3.3300,3.3500,3.3500,"194,200"
"Nov 17, 2023",3.5400,3.5700,3.4500,3.4600,3.4600,"191,500"
"Nov 16, 2023",3.6500,3.6600,3.4000,3.5300,3.5300,"398,200"
"Nov 15, 2023",3.7100,3.7100,3.6300,3.6600,3.6600,"255,100"
"Nov 14, 2023",3.7000,3.7100,3.6500,3.7000,3.7000,"251,300"
"Nov 13, 2023",3.7100,3.7400,3.6400,3.6500,3.6500,"186,900"
"Nov 10, 2023",3.6900,3.7700,3.6300,3.7400,3.7400,"372,100"
"Nov 09, 2023",3.6000,3.6700,3.5300,3.6200,3.6200,"802,500"
"Nov 08, 2023",4.0600,4.0600,3.4300,3.5700,3.5700,"1,251,200"
"Nov 07, 2023",4.3000,4.3000,4.1000,4.1200,4.1200,"360,000"
"Nov 06, 2023",4.4900,4.5200,4.2800,4.3400,4.3400,"181,200"
"Nov 03, 2023",4.4900,4.4900,4.4100,4.4400,4.4400,"321,000"
"Nov 02, 2023",4.4300,4.4600,4.3800,4.4600,4.4600,"483,200"
"Nov 01, 2023",4.4400,4.4800,4.3700,4.3900,4.3900,"211,000"
"Oct 31, 2023",4.3800,4.5000,4.3400,4.4600,4.4600,"263,100"
"Oct 30, 2023",4.4500,4.4700,4.3700,4.3800,4.3800,"149,700"
"Oct 27, 2023",4.4600,4.5000,4.3700,4.4600,4.4600,"239,400"
"Oct 26, 2023",4.3600,4.4600,4.3200,4.4600,4.4600,"185,000"
"Oct 25, 2023",4.3600,4.4300,4.3000,4.3800,4.3800,"300,700"
"Oct 24, 2023",4.3600,4.5000,4.3000,4.3500,4.3500,"470,100"
"Oct 23, 2023",4.2500,4.3500,4.1900,4.3000,4.3000,"176,100"
"Oct 20, 2023",4.3300,4.3600,4.2500,4.2600,4.2600,"142,400"
"Oct 19, 2023",4.2000,4.3200,4.1800,4.2600,4.2600,"155,900"
"Oct 18, 2023",4.2700,4.3100,4.2000,4.2100,4.2100,"178,600"
"Oct 17, 2023",4.1500,4.3000,4.1000,4.2600,4.2600,"236,600"
"Oct 16, 2023",4.1700,4.1800,4.0400,4.1700,4.1700,"144,000"
"Oct 13, 2023",4.1100,4.1800,4.0900,4.1400,4.1400,"312,500"
"Oct 12, 2023",4.0400,4.0800,3.9900,4.0500,4.0500,"183,900"
"Oct 11, 2023",4.1100,4.1300,4.0100,4.0300,4.0300,"134,000"
"Oct 10, 2023",4.0100,4.1500,4.0100,4.0900,4.0900,"367,700"
"Oct 06, 2023",3.8100,3.9000,3.7200,3.8800,3.8800,"207,300"
"Oct 05, 2023",3.7300,3.8200,3.6300,3.8100,3.8100,"343,900"
"Oct 04, 2023",3.8700,3.8700,3.7600,3.8100,3.8100,"283,700"
"Oct 03, 2023",3.7700,3.9100,3.7500,3.8800,3.8800,"543,100"
"Oct 02, 2023",4.0200,4.0300,3.8000,3.8000,3.8000,"356,100"
"Sep 29, 2023",4.0500,4.0700,4.0100,4.0500,4.0500,"312,900"
"Sep 28, 2023",4.0600,4.1200,4.0200,4.0400,4.0400,"154,200"
"Sep 27, 2023",4.0600,4.1400,4.0300,4.0500,4.0500,"629,900"
"Sep 26, 2023",3.9500,4.0000,3.9000,3.9300,3.9300,"411,400"
"Sep 25, 2023",4.0200,4.0400,3.9700,3.9900,3.9900,"475,000"
"Sep 22, 2023",4.0700,4.0700,3.9400,4.0300,4.0300,"420,400"
"Sep 21, 2023",4.1100,4.1200,3.9600,3.9800,3.9800,"752,100"
"Sep 20, 2023",4.2000,4.2500,4.1000,4.1200,4.1200,"252,100"
"Sep 19, 2023",4.2500,4.3000,4.1600,4.2600,4.2600,"530,700"
"Sep 18, 2023",4.2300,4.2900,4.1800,4.2600,4.2600,"282,000"
"Sep 15, 2023",4.1300,4.2500,4.0800,4.2100,4.2100,"5,774,500"
"Sep 14, 2023",4.1100,4.1800,4.1100,4.1700,4.1700,"237,600"
"Sep 13, 2023",4.2000,4.2000,4.0700,4.0700,4.0700,"319,800"
"Sep 12, 2023",4.1200,4.2000,4.1100,4.1800,4.1800,"400,500"
"Sep 11, 2023",4.2100,4.2400,4.0600,4.1000,4.1000,"439,300"
"Sep 08, 2023",4.3100,4.3100,4.2000,4.2000,4.2000,"274,400"
"Sep 07, 2023",4.3700,4.3800,4.2200,4.2400,4.2400,"312,100"
"Sep 06, 2023",4.4000,4.4700,4.3700,4.3900,4.3900,"338,400"
"Sep 05, 2023",4.3800,4.4300,4.3100,4.3800,4.3800,"344,100"
"Sep 01, 2023",4.2800,4.4500,4.2800,4.4000,4.4000,"531,700"
"Aug 31, 2023",4.1800,4.2700,4.1700,4.2200,4.2200,"785,300"
"Aug 30, 2023",4.2000,4.2100,4.1800,4.1900,4.1900,"319,100"
"Aug 29, 2023",4.1600,4.2200,4.1300,4.2000,4.2000,"453,000"
"Aug 28, 2023",4.0700,4.2400,4.0700,4.2000,4.2000,"319,700"
"Aug 25, 2023",4.0700,4.1200,4.0300,4.0700,4.0700,"200,200"
"Aug 24, 2023",4.0700,4.1000,4.0000,4.0500,4.0500,"177,900"
"Aug 23, 2023",4.1200,4.1500,4.0500,4.0800,4.0800,"142,400"
"Aug 22, 2023",4.1500,4.1800,4.1000,4.1300,4.1300,"152,800"
"Aug 21, 2023",4.2300,4.2600,4.1100,4.1500,4.1500,"183,400"
"Aug 18, 2023",4.1100,4.2200,4.0600,4.2200,4.2200,"396,300"
"Aug 17, 2023",4.1100,4.1600,4.1000,4.1100,4.1100,"231,700"
"Aug 16, 2023",4.0800,4.1300,4.0600,4.0800,4.0800,"157,400"
"Aug 15, 2023",4.1600,4.1600,4.0400,4.0700,4.0700,"861,900"
"Aug 14, 2023",4.2800,4.2800,4.1100,4.1700,4.1700,"419,600"
"Aug 11, 2023",4.1600,4.2900,4.1600,4.2600,4.2600,"293,700"
"Aug 10, 2023",4.2700,4.2700,4.1600,4.1800,4.1800,"507,700"
"Aug 09, 2023",4.3200,4.3400,4.1900,4.2200,4.2200,"659,000"
"Aug 08, 2023",4.2900,4.3100,4.2000,4.2500,4.2500,"437,000"
"Aug 04, 2023",4.3000,4.4000,4.2300,4.2700,4.2700,"688,900"
"Aug 03, 2023",4.2900,4.3400,4.1800,4.2700,4.2700,"646,000"
"Aug 02, 2023",4.2700,4.3000,4.1700,4.1900,4.1900,"468,500"
"Aug 01, 2023",4.3800,4.3900,4.2700,4.3100,4.3100,"339,000"
"Jul 31, 2023",4.3500,4.4400,4.3400,4.3400,4.3400,"500,500"
"Jul 28, 2023",4.2800,4.3400,4.2700,4.3200,4.3200,"279,600"
"Jul 27, 2023",4.4300,4.4600,4.2600,4.2700,4.2700,"497,100"
"Jul 26, 2023",4.3900,4.4200,4.3500,4.3900,4.3900,"336,300"
"Jul 25, 2023",4.4500,4.4600,4.3600,4.3700,4.3700,"294,000"
"Jul 24, 2023",4.4600,4.4800,4.4300,4.4600,4.4600,"376,700"
"Jul 21, 2023",4.5100,4.5100,4.4400,4.4600,4.4600,"174,600"
"Jul 20, 2023",4.5900,4.5900,4.4300,4.4900,4.4900,"350,100"
"Jul 19, 2023",4.6200,4.6300,4.5100,4.5400,4.5400,"227,800"
