Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",66.53,67.17,66.29,66.86,66.86,"3,992,900"
"Nov 17, 2023",67.21,67.21,66.18,66.34,66.34,"1,638,800"
"Nov 16, 2023",67.35,67.41,65.79,66.64,66.64,"1,761,900"
"Nov 15, 2023",67.64,68.29,66.28,67.76,67.76,"1,995,000"
"Nov 14, 2023",67.71,68.47,67.21,67.64,67.64,"2,602,000"
"Nov 13, 2023",68.80,69.19,67.68,67.88,67.88,"1,027,000"
"Nov 10, 2023",68.54,68.68,67.50,68.41,68.41,"1,408,800"
"Nov 09, 2023",68.73,70.00,67.97,68.05,68.05,"1,388,400"
"Nov 08, 2023",69.60,69.95,67.58,68.32,68.32,"1,510,700"
"Nov 07, 2023",70.43,71.04,69.57,69.77,69.77,"3,587,600"
"Nov 06, 2023",72.98,73.25,71.18,71.27,71.27,"2,416,200"
"Nov 03, 2023",73.19,73.55,71.88,72.88,72.88,"1,361,100"
"Nov 02, 2023",73.76,74.07,72.47,73.30,73.30,"1,499,200"
"Nov 01, 2023",73.68,74.21,73.19,73.57,73.57,"1,155,700"
"Oct 31, 2023",73.08,73.80,72.72,73.33,73.33,"1,352,100"
"Oct 30, 2023",71.99,72.75,71.70,72.56,72.56,"1,190,800"
"Oct 27, 2023",71.84,72.29,71.13,71.72,71.72,"830,400"
"Oct 26, 2023",71.39,72.07,70.51,72.00,72.00,"757,800"
"Oct 25, 2023",71.53,71.98,70.19,71.66,71.66,"1,757,400"
"Oct 24, 2023",72.09,72.91,70.92,71.09,71.09,"3,478,300"
"Oct 23, 2023",71.87,72.51,71.17,72.36,72.36,"3,129,900"
"Oct 23, 2023",1 Dividend
"Oct 20, 2023",73.30,73.76,72.24,72.86,71.86,"2,702,300"
"Oct 19, 2023",71.96,73.34,71.48,73.28,72.27,"6,468,200"
"Oct 18, 2023",73.70,73.77,71.70,72.21,71.22,"5,960,400"
"Oct 17, 2023",71.80,73.20,71.65,73.12,72.12,"9,467,700"
"Oct 16, 2023",70.00,71.78,69.66,71.66,70.68,"3,390,800"
"Oct 13, 2023",69.97,70.20,69.27,69.46,68.51,"1,204,600"
"Oct 12, 2023",69.48,69.63,68.79,69.48,68.53,"959,300"
"Oct 11, 2023",69.55,69.73,68.32,69.13,68.18,"1,068,000"
"Oct 10, 2023",69.26,70.08,68.85,69.78,68.82,"2,088,100"
"Oct 06, 2023",66.29,68.07,65.26,67.70,66.77,"1,324,600"
"Oct 05, 2023",65.31,66.65,65.02,66.02,65.11,"865,100"
"Oct 04, 2023",66.19,66.24,64.94,65.59,64.69,"1,152,400"
"Oct 03, 2023",66.86,67.30,66.30,66.96,66.04,"2,055,800"
"Oct 02, 2023",68.61,68.75,66.28,67.04,66.12,"1,328,300"
"Sep 29, 2023",69.42,69.52,68.21,68.35,67.41,"1,269,800"
"Sep 28, 2023",68.68,70.11,68.46,69.33,68.38,"1,227,300"
"Sep 27, 2023",68.90,69.19,68.46,68.68,67.74,"965,400"
"Sep 26, 2023",68.03,68.42,67.74,68.07,67.14,"2,616,100"
"Sep 25, 2023",66.72,68.91,66.68,68.33,67.39,"2,366,400"
"Sep 22, 2023",67.20,67.70,66.69,66.98,66.06,"1,712,700"
"Sep 21, 2023",68.18,68.20,66.47,66.67,65.75,"1,380,900"
"Sep 20, 2023",68.50,69.35,68.06,68.08,67.15,"877,100"
