Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",18.37,18.37,17.86,17.87,17.87,"606,300"
"Nov 17, 2023",17.75,18.22,17.69,18.04,18.04,"640,600"
"Nov 16, 2023",17.59,17.75,17.12,17.55,17.55,"674,900"
"Nov 15, 2023",18.18,18.36,17.85,17.87,17.87,"632,100"
"Nov 14, 2023",18.26,18.52,18.12,18.34,18.34,"734,900"
"Nov 13, 2023",18.18,18.43,18.12,18.20,18.20,"530,400"
"Nov 10, 2023",17.88,18.18,17.77,18.11,18.11,"623,600"
"Nov 09, 2023",17.83,18.16,17.63,17.67,17.67,"602,200"
"Nov 08, 2023",17.82,18.00,17.45,17.63,17.63,"978,500"
"Nov 07, 2023",18.61,18.64,17.92,18.02,18.02,"1,356,500"
"Nov 06, 2023",19.48,19.49,18.95,19.13,19.13,"865,000"
"Nov 03, 2023",19.79,20.18,19.22,19.23,19.23,"1,208,700"
"Nov 02, 2023",20.30,20.34,19.08,19.83,19.83,"1,590,400"
"Nov 01, 2023",20.17,20.39,19.82,20.14,20.14,"789,800"
"Oct 31, 2023",19.84,20.20,19.64,20.01,20.01,"1,084,600"
"Oct 30, 2023",20.26,20.51,19.54,19.77,19.77,"799,100"
"Oct 27, 2023",20.38,20.44,19.89,20.26,20.26,"640,300"
"Oct 26, 2023",19.90,20.33,19.59,20.26,20.26,"570,000"
"Oct 25, 2023",19.80,20.29,19.57,20.21,20.21,"741,000"
"Oct 24, 2023",20.15,20.25,19.68,19.75,19.75,"879,900"
"Oct 23, 2023",20.64,20.75,20.05,20.09,20.09,"751,500"
"Oct 20, 2023",21.08,21.18,20.76,20.84,20.84,"788,700"
"Oct 19, 2023",20.56,21.30,20.42,21.15,21.15,"948,600"
"Oct 18, 2023",20.97,21.13,20.68,20.81,20.81,"880,800"
"Oct 17, 2023",20.55,20.88,20.48,20.84,20.84,"722,200"
"Oct 16, 2023",20.47,20.57,20.03,20.54,20.54,"778,000"
"Oct 13, 2023",20.10,20.53,19.95,20.39,20.39,"1,381,300"
"Oct 12, 2023",20.00,20.00,19.44,19.87,19.87,"782,000"
"Oct 11, 2023",19.27,19.75,19.18,19.71,19.71,"868,400"
"Oct 10, 2023",19.18,19.66,19.14,19.59,19.59,"1,175,000"
"Oct 06, 2023",17.99,18.38,17.66,18.29,18.29,"800,200"
"Oct 05, 2023",17.47,17.94,17.47,17.94,17.94,"562,500"
"Oct 04, 2023",18.47,18.53,17.49,17.70,17.70,"1,059,200"
"Oct 03, 2023",18.76,18.87,18.46,18.83,18.83,"721,400"
"Oct 02, 2023",19.80,19.81,18.75,18.82,18.82,"830,900"
"Sep 29, 2023",19.94,20.10,19.74,19.87,19.87,"879,900"
"Sep 28, 2023",19.81,20.11,19.76,19.89,19.89,"621,300"
"Sep 28, 2023",0.1 Dividend
"Sep 27, 2023",19.75,20.14,19.68,19.92,19.82,"985,500"
"Sep 26, 2023",19.32,19.62,19.26,19.41,19.31,"647,000"
"Sep 25, 2023",18.90,19.57,18.89,19.51,19.41,"696,600"
"Sep 22, 2023",19.12,19.31,18.75,18.88,18.79,"478,300"
"Sep 21, 2023",19.37,19.46,18.88,18.93,18.83,"675,000"
"Sep 20, 2023",19.50,19.90,19.25,19.27,19.17,"713,500"
"Sep 19, 2023",20.54,20.56,19.63,19.74,19.64,"932,900"
"Sep 18, 2023",20.87,20.92,20.23,20.33,20.23,"682,900"
"Sep 15, 2023",21.02,21.11,20.66,20.73,20.63,"1,098,700"
"Sep 14, 2023",21.40,21.60,21.08,21.10,20.99,"1,005,600"
"Sep 13, 2023",21.34,21.44,20.77,21.06,20.95,"1,042,300"
"Sep 12, 2023",20.62,21.32,20.62,21.25,21.14,"1,009,700"
"Sep 11, 2023",20.50,21.03,20.28,20.31,20.21,"1,025,500"
"Sep 08, 2023",20.16,20.48,19.98,20.24,20.14,"761,100"
"Sep 07, 2023",20.22,20.39,19.93,19.95,19.85,"666,300"
"Sep 06, 2023",20.56,20.88,20.25,20.41,20.31,"792,500"
"Sep 05, 2023",20.70,20.94,20.49,20.59,20.49,"958,900"
"Sep 01, 2023",20.00,20.62,19.95,20.45,20.35,"794,200"
"Aug 31, 2023",19.82,19.84,19.45,19.68,19.58,"811,200"
"Aug 30, 2023",19.62,19.87,19.55,19.58,19.48,"555,500"
"Aug 29, 2023",19.12,19.63,19.05,19.58,19.48,"765,600"
"Aug 28, 2023",18.81,19.23,18.81,19.14,19.04,"467,900"
"Aug 25, 2023",18.57,18.87,18.53,18.73,18.64,"613,300"
"Aug 24, 2023",18.44,18.70,18.24,18.42,18.33,"610,600"
"Aug 23, 2023",18.73,18.88,18.02,18.60,18.51,"1,027,000"
"Aug 22, 2023",19.10,19.42,19.08,19.12,19.02,"292,200"
"Aug 21, 2023",19.43,19.59,19.12,19.19,19.09,"464,100"
