Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",3.4300,3.4900,3.4000,3.4500,3.4500,"269,100"
"Nov 17, 2023",3.4600,3.5200,3.4000,3.4000,3.4000,"192,000"
"Nov 16, 2023",3.4900,3.5500,3.3500,3.4800,3.4800,"520,700"
"Nov 15, 2023",3.7300,3.7700,3.4500,3.4600,3.4600,"771,800"
"Nov 14, 2023",3.6400,3.9000,3.6400,3.7400,3.7400,"853,700"
"Nov 13, 2023",3.9100,4.0500,3.6100,3.6600,3.6600,"1,146,600"
"Nov 10, 2023",3.8400,3.9200,3.7500,3.9000,3.9000,"648,200"
"Nov 09, 2023",3.6900,4.0000,3.6900,3.8400,3.8400,"1,145,800"
"Nov 08, 2023",3.7900,3.8100,3.5000,3.6800,3.6800,"984,700"
"Nov 07, 2023",3.6100,3.8900,3.5200,3.8400,3.8400,"887,100"
"Nov 06, 2023",3.9500,3.9500,3.7100,3.7500,3.7500,"467,300"
"Nov 03, 2023",4.1300,4.1300,3.8500,3.8900,3.8900,"798,900"
"Nov 02, 2023",4.2000,4.2200,4.0700,4.1500,4.1500,"626,800"
"Nov 01, 2023",3.9300,4.2300,3.9200,4.2300,4.2300,"2,202,600"
"Oct 31, 2023",3.6300,4.0100,3.6200,3.9300,3.9300,"1,688,200"
"Oct 30, 2023",3.3400,3.6200,3.3000,3.6200,3.6200,"1,203,700"
"Oct 27, 2023",3.1900,3.3500,3.1800,3.3400,3.3400,"449,800"
"Oct 26, 2023",3.1500,3.2200,3.0500,3.2000,3.2000,"292,400"
"Oct 25, 2023",3.1200,3.2500,3.1200,3.2200,3.2200,"266,000"
"Oct 24, 2023",3.2900,3.2900,3.1000,3.1600,3.1600,"454,900"
"Oct 23, 2023",3.2800,3.3800,3.1800,3.2800,3.2800,"449,600"
"Oct 20, 2023",3.3200,3.3900,3.3100,3.3300,3.3300,"429,600"
"Oct 19, 2023",3.2000,3.3900,3.1300,3.3500,3.3500,"555,200"
"Oct 18, 2023",3.2800,3.3100,3.2000,3.2500,3.2500,"247,800"
"Oct 17, 2023",3.0700,3.2800,3.0700,3.2800,3.2800,"499,300"
"Oct 16, 2023",3.0900,3.0900,2.9500,3.0800,3.0800,"468,100"
"Oct 13, 2023",2.9700,3.0900,2.9700,3.0600,3.0600,"523,700"
"Oct 12, 2023",3.0700,3.0900,2.8800,2.9200,2.9200,"823,700"
"Oct 11, 2023",3.1500,3.1500,3.0300,3.0700,3.0700,"593,900"
"Oct 10, 2023",3.2200,3.3000,3.1400,3.1600,3.1600,"417,900"
"Oct 06, 2023",3.1700,3.2200,3.0300,3.1000,3.1000,"871,400"
"Oct 05, 2023",3.1100,3.3300,3.0300,3.2000,3.2000,"1,273,600"
"Oct 04, 2023",3.4300,3.4400,3.1500,3.1700,3.1700,"1,411,000"
"Oct 03, 2023",3.4500,3.5400,3.4000,3.4900,3.4900,"2,981,800"
"Oct 02, 2023",3.4400,3.5000,3.3400,3.4600,3.4600,"1,132,500"
"Sep 29, 2023",3.3000,3.6200,3.3000,3.4400,3.4400,"1,780,000"
"Sep 28, 2023",3.2300,3.3900,3.2200,3.2500,3.2500,"1,350,200"
"Sep 27, 2023",2.9600,3.2300,2.9600,3.2200,3.2200,"1,094,800"
"Sep 26, 2023",2.9500,3.1400,2.9300,2.9600,2.9600,"1,248,900"
"Sep 25, 2023",2.7600,2.9800,2.7600,2.9800,2.9800,"978,100"
"Sep 22, 2023",2.8500,2.9200,2.7900,2.7900,2.7900,"418,000"
"Sep 21, 2023",2.8800,2.8900,2.7500,2.8800,2.8800,"424,500"
"Sep 20, 2023",2.8500,2.9200,2.7600,2.8800,2.8800,"891,500"
"Sep 19, 2023",2.8500,2.9200,2.7700,2.8900,2.8900,"774,500"
"Sep 18, 2023",2.6300,2.7900,2.6200,2.7900,2.7900,"1,014,700"
"Sep 15, 2023",2.6000,2.6600,2.5300,2.5900,2.5900,"816,000"
"Sep 14, 2023",2.4100,2.5900,2.4100,2.5900,2.5900,"1,276,200"
"Sep 13, 2023",2.1800,2.4000,2.1800,2.3800,2.3800,"944,800"
"Sep 12, 2023",2.1300,2.2100,2.1100,2.1900,2.1900,"500,600"
"Sep 11, 2023",2.2400,2.2800,2.1400,2.1500,2.1500,"568,600"
"Sep 08, 2023",2.2300,2.2900,2.2300,2.2400,2.2400,"349,300"
"Sep 07, 2023",2.2000,2.2700,2.1900,2.2500,2.2500,"510,500"
"Sep 06, 2023",2.3500,2.3800,2.2000,2.2200,2.2200,"733,800"
"Sep 05, 2023",2.2800,2.3200,2.2600,2.2900,2.2900,"730,300"
"Sep 01, 2023",2.2500,2.3000,2.2200,2.2800,2.2800,"661,600"
"Aug 31, 2023",2.2100,2.2500,2.2000,2.2400,2.2400,"181,700"
"Aug 30, 2023",2.0900,2.2200,2.0900,2.1900,2.1900,"363,700"
"Aug 29, 2023",2.1200,2.1200,2.0600,2.0900,2.0900,"315,500"
"Aug 28, 2023",2.1500,2.2000,2.0700,2.0800,2.0800,"350,200"
"Aug 25, 2023",2.2000,2.2200,2.1500,2.1600,2.1600,"142,200"
"Aug 24, 2023",2.2000,2.2200,2.1500,2.1600,2.1600,"306,800"
"Aug 23, 2023",2.1500,2.2500,2.1400,2.2000,2.2000,"255,800"
"Aug 22, 2023",2.2200,2.2600,2.1900,2.2000,2.2000,"243,700"
"Aug 21, 2023",2.2400,2.2800,2.2100,2.2300,2.2300,"219,300"
"Aug 18, 2023",2.1500,2.2700,2.1500,2.2100,2.2100,"213,900"
"Aug 17, 2023",2.1500,2.2700,2.1400,2.1800,2.1800,"375,000"
"Aug 16, 2023",2.2000,2.2400,2.1000,2.1100,2.1100,"608,900"
"Aug 15, 2023",2.3700,2.3700,2.1700,2.2600,2.2600,"643,500"
"Aug 14, 2023",2.5200,2.5200,2.3800,2.3900,2.3900,"357,500"
"Aug 11, 2023",2.5100,2.5400,2.4600,2.5200,2.5200,"349,100"
"Aug 10, 2023",2.3700,2.5400,2.3000,2.5200,2.5200,"746,400"
"Aug 09, 2023",2.3700,2.5500,2.3200,2.3500,2.3500,"1,041,800"
"Aug 08, 2023",2.3400,2.3500,2.2400,2.2700,2.2700,"422,400"
"Aug 04, 2023",2.3800,2.4100,2.3300,2.3800,2.3800,"163,300"
"Aug 03, 2023",2.2600,2.3800,2.2400,2.3800,2.3800,"257,100"
"Aug 02, 2023",2.3100,2.3100,2.2500,2.2500,2.2500,"354,200"
"Aug 01, 2023",2.3300,2.3400,2.2600,2.2800,2.2800,"183,200"
"Jul 31, 2023",2.2900,2.3700,2.2900,2.3500,2.3500,"183,100"
"Jul 28, 2023",2.2500,2.2700,2.1500,2.2500,2.2500,"263,900"
"Jul 27, 2023",2.2700,2.3700,2.1200,2.2000,2.2000,"537,400"
"Jul 26, 2023",2.3000,2.3100,2.2200,2.2600,2.2600,"243,400"
"Jul 25, 2023",2.2800,2.3600,2.2500,2.3300,2.3300,"342,900"
"Jul 24, 2023",2.3000,2.3100,2.2400,2.2600,2.2600,"132,700"
"Jul 21, 2023",2.2200,2.3000,2.1700,2.2900,2.2900,"168,400"
"Jul 20, 2023",2.3000,2.3000,2.1800,2.2000,2.2000,"177,900"
"Jul 19, 2023",2.1500,2.3000,2.1300,2.2900,2.2900,"571,100"
"Jul 18, 2023",2.1100,2.1500,2.1000,2.1100,2.1100,"126,600"
"Jul 17, 2023",2.0800,2.1000,2.0300,2.1000,2.1000,"114,500"
"Jul 14, 2023",2.1300,2.1300,2.0400,2.0700,2.0700,"183,000"
"Jul 13, 2023",2.1300,2.1600,2.0700,2.1600,2.1600,"199,800"
"Jul 12, 2023",2.0000,2.1700,1.9900,2.1600,2.1600,"502,800"
"Jul 11, 2023",1.9500,2.0300,1.9200,1.9600,1.9600,"300,500"
"Jul 10, 2023",1.8800,1.9300,1.8500,1.9000,1.9000,"175,600"
"Jul 07, 2023",1.7000,1.9100,1.5700,1.8500,1.8500,"509,700"
"Jul 06, 2023",1.8700,1.8700,1.7500,1.7800,1.7800,"270,500"
"Jul 05, 2023",1.8700,1.8800,1.8300,1.8600,1.8600,"112,300"
"Jul 04, 2023",1.8500,1.9000,1.8500,1.8900,1.8900,"100,200"
"Jun 30, 2023",1.8100,1.8300,1.7700,1.8200,1.8200,"143,300"
"Jun 29, 2023",1.8100,1.8600,1.7900,1.8100,1.8100,"80,700"
"Jun 28, 2023",1.7800,1.8600,1.7800,1.8300,1.8300,"204,400"
"Jun 27, 2023",1.9000,1.9000,1.8100,1.8300,1.8300,"250,100"
"Jun 26, 2023",1.9000,1.9400,1.8500,1.9000,1.9000,"234,500"
"Jun 23, 2023",1.9200,1.9300,1.8500,1.8500,1.8500,"118,400"
"Jun 22, 2023",1.9300,1.9600,1.8600,1.9300,1.9300,"264,200"
"Jun 21, 2023",1.9000,1.9500,1.8600,1.9500,1.9500,"244,700"
"Jun 20, 2023",1.9000,1.9100,1.8500,1.8800,1.8800,"225,900"
"Jun 19, 2023",1.9400,1.9400,1.8800,1.9100,1.9100,"69,400"
"Jun 16, 2023",1.9500,1.9500,1.8800,1.9400,1.9400,"114,900"
"Jun 15, 2023",1.8800,1.9600,1.8700,1.9100,1.9100,"114,300"
"Jun 14, 2023",2.0000,2.0000,1.8700,1.8800,1.8800,"312,600"
"Jun 13, 2023",1.9000,2.0300,1.9000,1.9700,1.9700,"345,700"
"Jun 12, 2023",1.8700,1.8800,1.8200,1.8400,1.8400,"185,300"
"Jun 09, 2023",1.9100,1.9400,1.8700,1.8900,1.8900,"141,600"
"Jun 08, 2023",2.0200,2.0200,1.8700,1.9000,1.9000,"335,800"
"Jun 07, 2023",1.9500,2.0300,1.9500,2.0100,2.0100,"243,000"
"Jun 06, 2023",1.9400,1.9700,1.8900,1.9400,1.9400,"136,100"
"Jun 05, 2023",2.0400,2.0800,1.9500,1.9600,1.9600,"198,700"
"Jun 02, 2023",1.9500,2.0300,1.9100,2.0000,2.0000,"249,200"
"Jun 01, 2023",1.8700,1.9500,1.8200,1.9400,1.9400,"408,700"
"May 31, 2023",1.8500,1.8900,1.8000,1.8500,1.8500,"204,000"
"May 30, 2023",1.9500,1.9500,1.8500,1.8600,1.8600,"206,200"
"May 29, 2023",1.9400,2.0300,1.9400,1.9800,1.9800,"78,700"
"May 26, 2023",1.9600,2.0000,1.9000,1.9400,1.9400,"270,200"
"May 25, 2023",1.9600,1.9600,1.8200,1.9100,1.9100,"719,400"
"May 24, 2023",2.0400,2.0600,1.9800,1.9800,1.9800,"325,000"
"May 23, 2023",2.0600,2.0800,2.0100,2.0600,2.0600,"242,600"
"May 19, 2023",2.0400,2.0700,1.9700,2.0100,2.0100,"266,300"
"May 18, 2023",2.0500,2.0600,1.9500,2.0200,2.0200,"560,300"
"May 17, 2023",2.0600,2.1100,2.0500,2.0700,2.0700,"346,400"
"May 16, 2023",2.1600,2.1600,2.0300,2.0600,2.0600,"551,000"
"May 15, 2023",2.2000,2.2000,2.1000,2.1600,2.1600,"243,500"
"May 12, 2023",2.2400,2.3200,2.1600,2.1900,2.1900,"488,900"
"May 11, 2023",2.2700,2.2700,2.1400,2.1700,2.1700,"369,200"
"May 10, 2023",2.3000,2.3100,2.2300,2.2300,2.2300,"171,100"
