Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",9.80,9.80,9.65,9.69,9.69,"1,858,400"
"Nov 17, 2023",9.65,9.70,9.56,9.66,9.66,"1,632,400"
"Nov 16, 2023",9.61,9.63,9.30,9.53,9.53,"3,045,400"
"Nov 15, 2023",9.75,9.78,9.61,9.66,9.66,"2,593,200"
"Nov 14, 2023",9.81,9.96,9.72,9.73,9.73,"3,709,300"
"Nov 13, 2023",9.79,9.89,9.71,9.76,9.76,"5,975,300"
"Nov 10, 2023",9.81,9.83,9.70,9.76,9.76,"6,524,500"
"Nov 09, 2023",9.84,9.91,9.67,9.68,9.68,"9,557,000"
"Nov 08, 2023",9.92,10.01,9.68,9.74,9.74,"2,828,600"
"Nov 07, 2023",10.19,10.23,9.91,9.96,9.96,"4,355,600"
"Nov 06, 2023",10.73,10.77,10.37,10.40,10.40,"2,398,400"
"Nov 03, 2023",10.83,10.91,10.66,10.66,10.66,"2,000,800"
"Nov 02, 2023",10.72,10.84,10.61,10.80,10.80,"2,679,300"
"Nov 01, 2023",10.82,10.82,10.65,10.71,10.71,"1,743,800"
"Oct 31, 2023",10.71,10.88,10.59,10.71,10.71,"3,762,200"
"Oct 30, 2023",10.66,10.76,10.56,10.65,10.65,"2,636,500"
"Oct 30, 2023",0.061 Dividend
"Oct 27, 2023",10.75,10.79,10.51,10.71,10.65,"2,827,300"
"Oct 26, 2023",11.02,11.05,10.43,10.71,10.65,"6,154,700"
"Oct 25, 2023",11.07,11.26,11.00,11.24,11.18,"2,668,400"
"Oct 24, 2023",11.13,11.18,10.98,11.05,10.99,"2,080,300"
"Oct 23, 2023",11.12,11.29,11.05,11.09,11.03,"2,007,800"
"Oct 20, 2023",11.26,11.33,11.15,11.22,11.16,"1,866,400"
"Oct 19, 2023",11.20,11.35,11.07,11.30,11.24,"2,860,100"
"Oct 18, 2023",11.31,11.32,11.20,11.22,11.16,"1,628,400"
"Oct 17, 2023",11.15,11.33,11.15,11.23,11.17,"2,378,800"
"Oct 16, 2023",11.15,11.22,11.00,11.20,11.14,"1,596,700"
"Oct 13, 2023",11.11,11.15,10.99,11.09,11.03,"2,334,400"
"Oct 12, 2023",11.13,11.14,10.81,10.92,10.86,"2,297,000"
"Oct 11, 2023",10.90,11.05,10.83,11.03,10.97,"2,009,600"
"Oct 10, 2023",11.23,11.24,10.99,11.00,10.94,"2,092,600"
"Oct 06, 2023",10.86,10.91,10.63,10.83,10.77,"1,408,000"
"Oct 05, 2023",10.60,10.92,10.59,10.76,10.70,"1,355,900"
"Oct 04, 2023",10.85,10.85,10.58,10.68,10.62,"2,537,700"
"Oct 03, 2023",10.92,11.14,10.92,11.03,10.97,"1,401,900"
"Oct 02, 2023",11.48,11.48,10.94,11.00,10.94,"2,467,100"
"Sep 29, 2023",11.66,11.69,11.45,11.47,11.40,"2,533,900"
"Sep 28, 2023",11.70,11.79,11.53,11.64,11.57,"1,453,100"
"Sep 28, 2023",0.048 Dividend
"Sep 27, 2023",11.64,11.83,11.56,11.80,11.69,"2,648,800"
"Sep 26, 2023",11.46,11.58,11.39,11.50,11.39,"1,424,600"
"Sep 25, 2023",11.35,11.57,11.32,11.52,11.41,"1,880,400"
"Sep 22, 2023",11.39,11.45,11.28,11.34,11.23,"1,216,100"
"Sep 21, 2023",11.53,11.55,11.28,11.31,11.20,"1,247,200"
"Sep 20, 2023",11.53,11.72,11.47,11.48,11.37,"1,407,100"
"Sep 19, 2023",11.79,11.84,11.48,11.58,11.47,"2,071,400"
"Sep 18, 2023",11.90,11.91,11.69,11.72,11.61,"1,450,200"
"Sep 15, 2023",11.75,11.87,11.70,11.84,11.72,"3,463,600"
"Sep 14, 2023",11.76,11.80,11.68,11.79,11.68,"2,429,000"
"Sep 13, 2023",11.70,11.71,11.49,11.63,11.52,"2,612,300"
"Sep 12, 2023",11.66,11.77,11.59,11.69,11.58,"1,229,200"
"Sep 11, 2023",11.66,11.72,11.46,11.55,11.44,"1,481,600"
"Sep 08, 2023",11.70,11.74,11.59,11.62,11.51,"2,260,900"
"Sep 07, 2023",11.60,11.69,11.56,11.62,11.51,"1,099,900"
"Sep 06, 2023",11.66,11.70,11.54,11.64,11.53,"2,051,600"
"Sep 05, 2023",11.65,11.84,11.63,11.67,11.56,"2,788,400"
"Sep 01, 2023",11.24,11.59,11.24,11.58,11.47,"3,923,400"
