Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 20, 2023",1.4800,1.5000,1.4800,1.4800,1.4800,"52,100"
"Nov 17, 2023",1.4800,1.5000,1.4700,1.4800,1.4800,"100,400"
"Nov 16, 2023",1.5300,1.5300,1.4400,1.4800,1.4800,"180,300"
"Nov 15, 2023",1.6000,1.6000,1.5500,1.5600,1.5600,"39,800"
"Nov 14, 2023",1.6000,1.6000,1.5600,1.5900,1.5900,"45,500"
"Nov 13, 2023",1.5800,1.5900,1.5300,1.5500,1.5500,"59,800"
"Nov 10, 2023",1.5500,1.5800,1.5000,1.5600,1.5600,"212,900"
"Nov 09, 2023",1.5800,1.5800,1.5300,1.5400,1.5400,"169,200"
"Nov 08, 2023",1.6400,1.6400,1.4800,1.5400,1.5400,"415,700"
"Nov 07, 2023",1.7000,1.7000,1.6400,1.6600,1.6600,"80,800"
"Nov 06, 2023",1.7500,1.7500,1.7200,1.7200,1.7200,"41,500"
"Nov 03, 2023",1.7600,1.7700,1.7200,1.7500,1.7500,"95,500"
"Nov 02, 2023",1.7300,1.7600,1.7300,1.7600,1.7600,"51,100"
"Nov 01, 2023",1.7200,1.7600,1.7200,1.7200,1.7200,"97,700"
"Oct 31, 2023",1.7500,1.7600,1.7100,1.7300,1.7300,"59,800"
"Oct 30, 2023",1.7400,1.7700,1.7200,1.7500,1.7500,"51,000"
"Oct 27, 2023",1.7300,1.7700,1.7100,1.7700,1.7700,"51,000"
"Oct 26, 2023",1.7400,1.7400,1.6900,1.7200,1.7200,"38,200"
"Oct 25, 2023",1.7500,1.7600,1.7200,1.7600,1.7600,"81,700"
"Oct 24, 2023",1.7800,1.7800,1.7200,1.7500,1.7500,"66,100"
"Oct 23, 2023",1.7800,1.7900,1.7500,1.7700,1.7700,"79,100"
"Oct 20, 2023",1.8600,1.8600,1.7800,1.8100,1.8100,"115,700"
"Oct 19, 2023",1.7800,1.8200,1.7800,1.8200,1.8200,"43,100"
"Oct 18, 2023",1.7900,1.8100,1.7800,1.8100,1.8100,"125,700"
"Oct 17, 2023",1.7400,1.7900,1.7400,1.7900,1.7900,"61,200"
"Oct 16, 2023",1.7800,1.7800,1.7200,1.7500,1.7500,"128,200"
"Oct 13, 2023",1.7200,1.7700,1.7000,1.7400,1.7400,"60,500"
"Oct 12, 2023",1.7100,1.7200,1.6800,1.6900,1.6900,"45,900"
"Oct 11, 2023",1.7100,1.7300,1.6800,1.7200,1.7200,"58,400"
"Oct 10, 2023",1.7000,1.7400,1.7000,1.7100,1.7100,"66,100"
"Oct 06, 2023",1.6600,1.6900,1.6400,1.6800,1.6800,"176,000"
"Oct 05, 2023",1.6500,1.6700,1.6400,1.6400,1.6400,"57,200"
"Oct 04, 2023",1.7000,1.7100,1.6600,1.6600,1.6600,"109,400"
"Oct 03, 2023",1.7500,1.7500,1.7100,1.7100,1.7100,"82,200"
"Oct 02, 2023",1.8200,1.8200,1.7400,1.7400,1.7400,"214,900"
"Sep 29, 2023",1.8400,1.8500,1.8100,1.8100,1.8100,"90,700"
"Sep 28, 2023",1.8400,1.8600,1.8100,1.8500,1.8500,"123,600"
"Sep 27, 2023",1.8200,1.8600,1.8200,1.8600,1.8600,"122,400"
"Sep 26, 2023",1.8300,1.8500,1.7900,1.7900,1.7900,"121,400"
"Sep 25, 2023",1.8000,1.8700,1.7900,1.8500,1.8500,"192,500"
"Sep 22, 2023",1.8100,1.8100,1.7800,1.8000,1.8000,"98,800"
"Sep 21, 2023",1.8200,1.8300,1.7900,1.7900,1.7900,"64,800"
"Sep 20, 2023",1.8400,1.8500,1.8100,1.8100,1.8100,"26,200"
"Sep 19, 2023",1.8700,1.8900,1.8300,1.8300,1.8300,"93,300"
"Sep 18, 2023",1.8800,1.9000,1.8600,1.8600,1.8600,"103,400"
"Sep 15, 2023",1.9100,1.9100,1.8800,1.8800,1.8800,"83,000"
"Sep 14, 2023",1.8900,1.9400,1.8800,1.9100,1.9100,"130,200"
"Sep 13, 2023",1.9100,1.9200,1.8800,1.8800,1.8800,"27,900"
"Sep 12, 2023",1.8700,1.9400,1.8700,1.9300,1.9300,"117,000"
"Sep 11, 2023",1.8900,1.9000,1.8400,1.8600,1.8600,"121,800"
