Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",9.87,10.36,9.75,10.24,10.24,"653,400",AAV.TO
"Nov 17, 2023",9.81,10.17,9.77,9.77,9.77,"442,800",AAV.TO
"Nov 16, 2023",9.88,9.95,9.63,9.87,9.87,"526,900",AAV.TO
"Nov 15, 2023",10.24,10.24,9.77,9.86,9.86,"237,500",AAV.TO
"Nov 14, 2023",9.76,10.13,9.76,10.09,10.09,"428,400",AAV.TO
"Nov 13, 2023",9.86,9.91,9.68,9.81,9.81,"652,100",AAV.TO
"Nov 10, 2023",9.7,9.85,9.62,9.85,9.85,"375,700",AAV.TO
"Nov 09, 2023",9.56,9.8,9.56,9.62,9.62,"386,500",AAV.TO
"Nov 08, 2023",9.84,10.13,9.49,9.58,9.58,"623,500",AAV.TO
"Nov 07, 2023",9.83,10.09,9.72,9.95,9.95,"673,800",AAV.TO
"Nov 06, 2023",10.43,10.5,9.95,10.0,10.0,"443,500",AAV.TO
"Nov 03, 2023",10.36,10.47,10.17,10.33,10.33,"785,600",AAV.TO
"Nov 02, 2023",10.3,10.49,10.3,10.34,10.34,"431,400",AAV.TO
"Nov 01, 2023",10.1,10.49,10.04,10.29,10.29,"745,800",AAV.TO
"Oct 31, 2023",9.81,10.12,9.78,10.07,10.07,"727,500",AAV.TO
"Oct 30, 2023",9.82,10.06,9.74,9.76,9.76,"673,100",AAV.TO
"Oct 27, 2023",9.55,10.31,9.46,9.88,9.88,"1,288,500",AAV.TO
"Oct 26, 2023",9.49,9.62,9.32,9.54,9.54,"501,800",AAV.TO
"Oct 25, 2023",9.35,9.58,9.35,9.5,9.5,"282,300",AAV.TO
"Oct 24, 2023",9.49,9.49,9.28,9.35,9.35,"331,000",AAV.TO
"Oct 23, 2023",9.39,9.58,9.34,9.47,9.47,"222,300",AAV.TO
"Oct 20, 2023",9.58,9.62,9.36,9.53,9.53,"230,400",AAV.TO
"Oct 19, 2023",9.52,9.68,9.47,9.65,9.65,"354,600",AAV.TO
"Oct 18, 2023",9.57,9.64,9.48,9.56,9.56,"303,700",AAV.TO
"Oct 17, 2023",9.54,9.73,9.51,9.56,9.56,"355,900",AAV.TO
