Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",6.92,6.94,6.68,6.71,6.71,"2,055,200",BIR.TO
"Nov 17, 2023",6.72,6.94,6.61,6.90,6.90,"1,515,900",BIR.TO
"Nov 16, 2023",7.01,7.01,6.55,6.66,6.66,"4,162,800",BIR.TO
"Nov 15, 2023",7.32,7.32,6.95,7.03,7.03,"4,377,700",BIR.TO
"Nov 14, 2023",7.53,7.55,7.42,7.48,7.48,"981,300",BIR.TO
"Nov 13, 2023",7.55,7.64,7.48,7.51,7.51,"824,600",BIR.TO
"Nov 10, 2023",7.46,7.56,7.41,7.52,7.52,"564,700",BIR.TO
"Nov 09, 2023",7.43,7.54,7.38,7.40,7.40,"677,800",BIR.TO
"Nov 08, 2023",7.53,7.63,7.40,7.41,7.41,"1,240,600",BIR.TO
"Nov 07, 2023",7.71,7.79,7.55,7.55,7.55,"1,449,200",BIR.TO
"Nov 06, 2023",7.95,7.97,7.69,7.83,7.83,"1,441,300",BIR.TO
"Nov 03, 2023",8.09,8.11,7.91,7.95,7.95,"838,200",BIR.TO
"Nov 02, 2023",7.76,8.09,7.76,8.07,8.07,"1,405,800",BIR.TO
"Nov 01, 2023",7.67,7.82,7.61,7.76,7.76,"726,700",BIR.TO
"Oct 31, 2023",7.69,7.74,7.59,7.66,7.66,"1,400,800",BIR.TO
"Oct 30, 2023",7.65,7.73,7.46,7.59,7.59,"988,900",BIR.TO
"Oct 27, 2023",7.71,7.75,7.60,7.69,7.69,"1,139,800",BIR.TO
"Oct 26, 2023",7.53,7.68,7.44,7.64,7.64,"1,295,100",BIR.TO
"Oct 25, 2023",7.57,7.62,7.47,7.59,7.59,"643,600",BIR.TO
"Oct 24, 2023",7.63,7.68,7.53,7.57,7.57,"1,013,800",BIR.TO
"Oct 23, 2023",7.64,7.68,7.53,7.61,7.61,"795,300",BIR.TO
"Oct 20, 2023",7.84,7.86,7.66,7.70,7.70,"973,400",BIR.TO
"Oct 19, 2023",7.84,7.93,7.77,7.85,7.85,"871,000",BIR.TO
"Oct 18, 2023",7.95,7.98,7.79,7.87,7.87,"963,200",BIR.TO
"Oct 17, 2023",7.82,7.95,7.82,7.92,7.92,"777,100",BIR.TO
"Oct 16, 2023",7.89,7.91,7.72,7.90,7.90,"1,115,500",BIR.TO
"Oct 13, 2023",7.90,7.96,7.80,7.85,7.85,"858,700",BIR.TO
"Oct 12, 2023",7.94,7.95,7.68,7.82,7.82,"1,119,100",BIR.TO
"Oct 11, 2023",7.90,7.98,7.78,7.88,7.88,"1,117,700",BIR.TO
"Oct 10, 2023",7.95,7.97,7.79,7.88,7.88,"1,514,300",BIR.TO
"Oct 06, 2023",7.43,7.71,7.33,7.68,7.68,"1,360,700",BIR.TO
"Oct 05, 2023",7.24,7.44,7.17,7.42,7.42,"1,356,900",BIR.TO
"Oct 04, 2023",7.45,7.45,7.20,7.27,7.27,"1,457,400",BIR.TO
"Oct 03, 2023",7.50,7.54,7.41,7.48,7.48,"1,024,800",BIR.TO
"Oct 02, 2023",7.76,7.78,7.45,7.49,7.49,"1,420,300",BIR.TO
"Sep 29, 2023",7.82,7.85,7.72,7.74,7.74,"1,153,400",BIR.TO
"Sep 28, 2023",7.68,7.88,7.67,7.81,7.81,"1,357,200",BIR.TO
"Sep 27, 2023",7.58,7.82,7.57,7.70,7.70,"1,327,600",BIR.TO
"Sep 26, 2023",7.56,7.64,7.41,7.46,7.46,"783,900",BIR.TO
"Sep 25, 2023",7.44,7.66,7.44,7.63,7.63,"2,159,600",BIR.TO
"Sep 22, 2023",7.57,7.65,7.42,7.47,7.47,"1,215,100",BIR.TO
"Sep 21, 2023",7.72,7.79,7.47,7.51,7.51,"1,679,000",BIR.TO
"Sep 20, 2023",7.77,7.84,7.67,7.69,7.69,"1,823,500",BIR.TO
"Sep 19, 2023",8.13,8.19,7.74,7.81,7.81,"3,405,900",BIR.TO
"Sep 18, 2023",8.20,8.20,8.02,8.08,8.08,"1,550,700",BIR.TO
"Sep 15, 2023",8.20,8.26,8.10,8.16,8.16,"1,486,800",BIR.TO
"Sep 14, 2023",8.06,8.17,8.02,8.14,8.14,"1,765,600",BIR.TO
"Sep 13, 2023",8.59,8.59,8.01,8.12,7.92,"4,575,900",BIR.TO
"Sep 12, 2023",8.53,8.58,8.47,8.54,8.33,"1,935,700",BIR.TO
"Sep 11, 2023",8.54,8.58,8.41,8.50,8.29,"824,700",BIR.TO
"Sep 08, 2023",8.46,8.54,8.46,8.50,8.29,"562,500",BIR.TO
"Sep 07, 2023",8.51,8.59,8.32,8.42,8.21,"1,410,600",BIR.TO
"Sep 06, 2023",8.55,8.59,8.44,8.52,8.31,"1,029,400",BIR.TO
"Sep 05, 2023",8.50,8.64,8.46,8.56,8.35,"1,337,500",BIR.TO
"Sep 01, 2023",8.40,8.53,8.39,8.45,8.24,"1,221,700",BIR.TO
"Aug 31, 2023",8.26,8.40,8.24,8.35,8.14,"1,088,600",BIR.TO
"Aug 30, 2023",8.21,8.32,8.21,8.26,8.06,"508,500",BIR.TO
"Aug 29, 2023",8.00,8.22,7.96,8.18,7.98,"853,900",BIR.TO
"Aug 28, 2023",7.89,8.09,7.89,8.00,7.80,"757,800",BIR.TO
"Aug 25, 2023",7.81,7.93,7.78,7.85,7.66,"784,900",BIR.TO
"Aug 24, 2023",7.87,7.87,7.73,7.76,7.57,"729,000",BIR.TO
"Aug 23, 2023",8.20,8.22,7.83,7.91,7.72,"2,273,500",BIR.TO
"Aug 22, 2023",8.24,8.34,8.22,8.26,8.06,"607,700",BIR.TO
"Aug 21, 2023",8.35,8.40,8.22,8.25,8.05,"818,600",BIR.TO
"Aug 18, 2023",8.23,8.31,8.18,8.29,8.09,"428,200",BIR.TO
"Aug 17, 2023",8.20,8.34,8.20,8.29,8.09,"781,600",BIR.TO
"Aug 16, 2023",8.15,8.28,8.08,8.09,7.89,"809,000",BIR.TO
"Aug 15, 2023",8.32,8.32,8.17,8.20,8.00,"636,100",BIR.TO
"Aug 14, 2023",8.35,8.41,8.21,8.40,8.19,"1,087,800",BIR.TO
"Aug 11, 2023",8.26,8.63,8.23,8.39,8.18,"1,535,100",BIR.TO
"Aug 10, 2023",8.50,8.59,8.26,8.27,8.07,"1,194,400",BIR.TO
"Aug 09, 2023",8.50,8.68,8.45,8.57,8.36,"1,633,900",BIR.TO
"Aug 08, 2023",7.98,8.32,7.95,8.28,8.08,"1,716,300",BIR.TO
"Aug 04, 2023",7.98,8.12,7.91,8.02,7.82,"712,800",BIR.TO
"Aug 03, 2023",7.75,8.02,7.70,7.97,7.77,"879,100",BIR.TO
"Aug 02, 2023",7.82,7.86,7.71,7.72,7.53,"1,023,200",BIR.TO
"Aug 01, 2023",7.81,7.90,7.75,7.90,7.71,"406,400",BIR.TO
"Jul 31, 2023",7.86,7.95,7.82,7.88,7.69,"610,500",BIR.TO
"Jul 28, 2023",7.63,7.84,7.61,7.82,7.63,"932,600",BIR.TO
"Jul 27, 2023",7.72,7.73,7.60,7.62,7.43,"708,100",BIR.TO
"Jul 26, 2023",7.62,7.73,7.61,7.68,7.49,"453,100",BIR.TO
"Jul 25, 2023",7.76,7.76,7.60,7.70,7.51,"980,000",BIR.TO
"Jul 24, 2023",7.70,7.80,7.66,7.76,7.57,"1,030,000",BIR.TO
"Jul 21, 2023",7.74,7.78,7.61,7.65,7.46,"580,200",BIR.TO
"Jul 20, 2023",7.70,7.89,7.66,7.72,7.53,"999,600",BIR.TO
"Jul 19, 2023",7.64,7.72,7.60,7.65,7.46,"803,000",BIR.TO
"Jul 18, 2023",7.49,7.65,7.46,7.61,7.42,"1,106,000",BIR.TO
"Jul 17, 2023",7.47,7.53,7.39,7.43,7.25,"1,575,300",BIR.TO
