Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",6.22,6.32,6.16,6.23,6.23,"49,500",BNE.TO
"Nov 17, 2023",6.15,6.29,6.11,6.18,6.18,"42,500",BNE.TO
"Nov 16, 2023",6.21,6.21,5.83,6.13,6.13,"179,100",BNE.TO
"Nov 15, 2023",6.53,6.53,6.20,6.29,6.29,"24,900",BNE.TO
"Nov 14, 2023",6.63,6.79,6.46,6.48,6.48,"41,100",BNE.TO
"Nov 13, 2023",6.61,6.73,6.60,6.65,6.65,"9,600",BNE.TO
"Nov 10, 2023",6.51,6.60,6.46,6.58,6.58,"55,800",BNE.TO
"Nov 09, 2023",6.33,6.67,6.33,6.46,6.46,"51,500",BNE.TO
"Nov 08, 2023",6.55,6.55,6.14,6.30,6.30,"58,700",BNE.TO
"Nov 07, 2023",6.52,6.63,6.43,6.50,6.50,"75,900",BNE.TO
"Nov 06, 2023",7.02,7.10,6.72,6.81,6.81,"71,900",BNE.TO
"Nov 03, 2023",7.25,7.25,6.98,6.99,6.99,"38,300",BNE.TO
"Nov 02, 2023",6.99,7.19,6.99,7.14,7.14,"49,900",BNE.TO
"Nov 01, 2023",6.87,7.10,6.87,7.05,7.05,"53,500",BNE.TO
"Oct 31, 2023",6.86,7.08,6.69,6.86,6.86,"67,500",BNE.TO
"Oct 30, 2023",6.85,7.00,6.77,6.93,6.93,"28,900",BNE.TO
"Oct 27, 2023",6.99,7.01,6.83,6.95,6.95,"47,500",BNE.TO
"Oct 26, 2023",6.86,6.95,6.80,6.90,6.90,"22,100",BNE.TO
"Oct 25, 2023",7.00,7.09,6.93,7.02,7.02,"12,800",BNE.TO
"Oct 24, 2023",7.17,7.17,6.95,7.02,7.02,"17,300",BNE.TO
"Oct 23, 2023",7.18,7.19,7.00,7.10,7.10,"33,400",BNE.TO
"Oct 20, 2023",7.26,7.30,7.08,7.21,7.21,"50,400",BNE.TO
"Oct 19, 2023",7.25,7.34,7.15,7.31,7.31,"74,200",BNE.TO
"Oct 18, 2023",7.32,7.40,7.30,7.33,7.33,"45,100",BNE.TO
"Oct 17, 2023",7.18,7.37,7.17,7.32,7.32,"36,600",BNE.TO
"Oct 16, 2023",7.08,7.16,7.00,7.12,7.12,"63,700",BNE.TO
"Oct 13, 2023",6.95,7.13,6.95,7.13,7.13,"72,900",BNE.TO
"Oct 12, 2023",6.96,6.96,6.86,6.87,6.87,"35,800",BNE.TO
"Oct 11, 2023",7.08,7.08,6.84,7.02,7.02,"22,200",BNE.TO
"Oct 10, 2023",6.86,7.12,6.86,7.08,7.08,"47,200",BNE.TO
"Oct 06, 2023",6.80,6.86,6.56,6.78,6.78,"46,000",BNE.TO
"Oct 05, 2023",6.50,6.75,6.43,6.65,6.65,"67,900",BNE.TO
"Oct 04, 2023",7.06,7.06,6.55,6.62,6.62,"105,600",BNE.TO
"Oct 03, 2023",7.13,7.15,7.00,7.05,7.05,"40,200",BNE.TO
"Oct 02, 2023",7.59,7.59,7.15,7.18,7.18,"97,800",BNE.TO
"Sep 29, 2023",7.69,7.69,7.47,7.47,7.47,"77,700",BNE.TO
"Sep 28, 2023",7.63,7.78,7.53,7.72,7.72,"46,000",BNE.TO
"Sep 27, 2023",7.50,7.70,7.47,7.63,7.63,"136,200",BNE.TO
"Sep 26, 2023",7.52,7.59,7.38,7.41,7.41,"61,500",BNE.TO
"Sep 25, 2023",7.30,7.55,7.28,7.53,7.53,"63,800",BNE.TO
"Sep 22, 2023",7.18,7.52,7.18,7.29,7.29,"47,300",BNE.TO
"Sep 21, 2023",7.26,7.28,7.11,7.11,7.11,"98,300",BNE.TO
"Sep 20, 2023",7.42,7.54,7.24,7.28,7.28,"90,600",BNE.TO
"Sep 19, 2023",7.71,7.71,7.42,7.44,7.44,"76,200",BNE.TO
"Sep 18, 2023",7.69,7.72,7.59,7.62,7.62,"173,800",BNE.TO
"Sep 15, 2023",7.81,7.81,7.59,7.60,7.60,"78,000",BNE.TO
"Sep 14, 2023",7.71,7.76,7.61,7.75,7.75,"57,700",BNE.TO
"Sep 13, 2023",7.66,7.72,7.50,7.58,7.58,"44,400",BNE.TO
"Sep 12, 2023",7.45,7.73,7.42,7.68,7.68,"144,300",BNE.TO
"Sep 11, 2023",7.54,7.61,7.30,7.34,7.34,"44,800",BNE.TO
"Sep 08, 2023",7.50,7.64,7.46,7.50,7.50,"41,400",BNE.TO
"Sep 07, 2023",7.56,7.57,7.41,7.48,7.48,"39,400",BNE.TO
"Sep 06, 2023",7.70,7.71,7.47,7.61,7.61,"65,200",BNE.TO
"Sep 05, 2023",7.66,7.83,7.59,7.65,7.65,"109,700",BNE.TO
"Sep 01, 2023",7.29,7.65,7.29,7.64,7.64,"135,200",BNE.TO
"Aug 31, 2023",7.08,7.29,6.98,7.29,7.29,"80,800",BNE.TO
"Aug 30, 2023",6.96,7.13,6.92,7.09,7.09,"87,300",BNE.TO
"Aug 29, 2023",6.60,6.96,6.57,6.90,6.90,"90,100",BNE.TO
"Aug 28, 2023",6.42,6.59,6.42,6.58,6.58,"33,400",BNE.TO
"Aug 25, 2023",6.28,6.44,6.28,6.43,6.43,"117,000",BNE.TO
"Aug 24, 2023",6.40,6.49,6.26,6.27,6.27,"50,600",BNE.TO
"Aug 23, 2023",6.50,6.64,6.32,6.40,6.40,"143,000",BNE.TO
"Aug 22, 2023",6.80,6.80,6.52,6.53,6.53,"71,700",BNE.TO
"Aug 21, 2023",6.90,6.95,6.77,6.82,6.82,"36,400",BNE.TO
"Aug 18, 2023",6.66,6.89,6.55,6.89,6.89,"45,300",BNE.TO
"Aug 17, 2023",6.72,6.89,6.72,6.82,6.82,"40,900",BNE.TO
"Aug 16, 2023",6.82,6.94,6.64,6.66,6.66,"105,600",BNE.TO
"Aug 15, 2023",6.99,6.99,6.70,6.84,6.84,"125,100",BNE.TO
"Aug 14, 2023",7.32,7.46,7.02,7.09,7.09,"142,800",BNE.TO
"Aug 11, 2023",7.48,7.48,7.12,7.37,7.37,"113,600",BNE.TO
"Aug 10, 2023",7.51,7.62,7.36,7.41,7.41,"79,000",BNE.TO
"Aug 09, 2023",7.32,7.55,7.23,7.43,7.43,"146,300",BNE.TO
"Aug 08, 2023",6.96,7.31,6.84,7.27,7.27,"274,900",BNE.TO
"Aug 04, 2023",7.00,7.20,6.93,7.04,7.04,"79,000",BNE.TO
"Aug 03, 2023",6.83,7.00,6.67,6.97,6.97,"65,600",BNE.TO
"Aug 02, 2023",7.00,7.00,6.67,6.70,6.70,"164,400",BNE.TO
"Aug 01, 2023",6.90,7.08,6.66,6.95,6.95,"167,300",BNE.TO
"Jul 31, 2023",6.32,6.83,6.32,6.80,6.80,"137,700",BNE.TO
"Jul 28, 2023",6.18,6.27,6.04,6.25,6.25,"48,100",BNE.TO
"Jul 27, 2023",6.20,6.26,6.06,6.09,6.09,"91,100",BNE.TO
"Jul 26, 2023",6.17,6.22,6.06,6.13,6.13,"30,000",BNE.TO
"Jul 25, 2023",6.15,6.29,6.15,6.24,6.24,"29,500",BNE.TO
"Jul 24, 2023",6.10,6.20,6.10,6.17,6.17,"23,700",BNE.TO
"Jul 21, 2023",6.09,6.11,6.03,6.04,6.04,"29,600",BNE.TO
"Jul 20, 2023",5.98,6.08,5.98,6.03,6.03,"14,000",BNE.TO
"Jul 19, 2023",6.15,6.15,5.95,6.02,6.02,"48,300",BNE.TO
"Jul 18, 2023",5.89,6.05,5.89,5.96,5.96,"27,600",BNE.TO
"Jul 17, 2023",5.94,5.97,5.83,5.85,5.85,"30,100",BNE.TO
"Jul 14, 2023",6.05,6.05,5.86,5.97,5.97,"63,800",BNE.TO
"Jul 13, 2023",6.09,6.12,5.97,6.07,6.07,"48,200",BNE.TO
"Jul 12, 2023",6.07,6.19,6.01,6.03,6.03,"35,800",BNE.TO
"Jul 11, 2023",5.97,6.14,5.96,6.07,6.07,"82,600",BNE.TO
"Jul 10, 2023",5.91,5.97,5.89,5.96,5.96,"51,400",BNE.TO
"Jul 07, 2023",5.57,5.94,5.57,5.85,5.85,"58,200",BNE.TO
"Jul 06, 2023",5.50,5.61,5.34,5.54,5.54,"59,600",BNE.TO
"Jul 05, 2023",5.85,5.92,5.68,5.72,5.72,"44,100",BNE.TO
"Jul 04, 2023",5.58,5.93,5.58,5.93,5.93,"149,400",BNE.TO
"Jun 30, 2023",5.36,5.60,5.35,5.59,5.59,"48,300",BNE.TO
"Jun 29, 2023",5.15,5.31,5.15,5.31,5.31,"27,600",BNE.TO
"Jun 28, 2023",4.99,5.17,4.95,5.11,5.11,"74,600",BNE.TO
"Jun 27, 2023",5.11,5.12,5.00,5.00,5.00,"30,600",BNE.TO
"Jun 26, 2023",5.03,5.20,5.03,5.11,5.11,"39,600",BNE.TO
"Jun 23, 2023",5.33,5.33,4.96,5.08,5.08,"128,800",BNE.TO
"Jun 22, 2023",5.36,5.36,5.16,5.20,5.20,"39,100",BNE.TO
"Jun 21, 2023",5.34,5.52,5.33,5.50,5.50,"42,800",BNE.TO
"Jun 20, 2023",5.36,5.42,5.21,5.36,5.36,"34,000",BNE.TO
"Jun 19, 2023",5.39,5.45,5.35,5.36,5.36,"26,500",BNE.TO
"Jun 16, 2023",5.36,5.55,5.18,5.46,5.46,"88,900",BNE.TO
"Jun 15, 2023",5.33,5.41,5.24,5.29,5.29,"26,000",BNE.TO
"Jun 14, 2023",5.32,5.37,5.23,5.32,5.32,"26,500",BNE.TO
"Jun 13, 2023",5.42,5.51,5.27,5.29,5.29,"61,200",BNE.TO
"Jun 12, 2023",5.50,5.50,5.32,5.37,5.37,"33,400",BNE.TO
"Jun 09, 2023",5.61,5.61,5.46,5.51,5.51,"23,800",BNE.TO
"Jun 08, 2023",5.73,5.76,5.55,5.62,5.62,"21,800",BNE.TO
"Jun 07, 2023",5.67,5.85,5.67,5.79,5.79,"35,700",BNE.TO
"Jun 06, 2023",5.57,5.64,5.46,5.61,5.61,"33,200",BNE.TO
"Jun 05, 2023",5.82,5.85,5.59,5.60,5.60,"38,000",BNE.TO
"Jun 02, 2023",5.42,5.67,5.35,5.65,5.65,"63,100",BNE.TO
"Jun 01, 2023",5.31,5.32,5.23,5.30,5.30,"52,000",BNE.TO
"May 31, 2023",5.36,5.37,5.19,5.24,5.24,"58,300",BNE.TO
"May 30, 2023",5.76,5.76,5.41,5.44,5.44,"61,200",BNE.TO
"May 29, 2023",5.63,5.85,5.63,5.79,5.79,"20,700",BNE.TO
"May 26, 2023",5.71,5.74,5.66,5.68,5.68,"76,900",BNE.TO
"May 25, 2023",5.91,5.94,5.68,5.70,5.70,"59,600",BNE.TO
"May 24, 2023",6.15,6.16,5.96,5.96,5.96,"55,200",BNE.TO
"May 23, 2023",5.96,6.17,5.96,6.03,6.03,"63,600",BNE.TO
"May 19, 2023",6.11,6.13,5.92,5.96,5.96,"56,400",BNE.TO
"May 18, 2023",5.89,6.04,5.89,6.02,6.02,"29,900",BNE.TO
"May 17, 2023",5.94,6.02,5.82,5.95,5.95,"59,800",BNE.TO
"May 16, 2023",6.05,6.09,5.86,5.86,5.86,"57,800",BNE.TO
"May 15, 2023",5.95,6.08,5.95,6.06,6.06,"56,300",BNE.TO
"May 12, 2023",6.00,6.14,5.85,5.99,5.99,"70,800",BNE.TO
"May 11, 2023",6.07,6.08,5.90,6.05,6.05,"53,500",BNE.TO
"May 10, 2023",6.28,6.28,6.10,6.22,6.22,"37,400",BNE.TO
"May 09, 2023",6.29,6.37,6.19,6.36,6.36,"13,300",BNE.TO
"May 08, 2023",6.49,6.50,6.28,6.31,6.31,"31,600",BNE.TO
"May 05, 2023",6.24,6.56,6.23,6.38,6.38,"43,500",BNE.TO
"May 04, 2023",6.30,6.30,6.05,6.14,6.14,"80,800",BNE.TO
"May 03, 2023",6.31,6.38,6.16,6.26,6.26,"31,300",BNE.TO
"May 02, 2023",6.42,6.44,6.17,6.38,6.38,"64,500",BNE.TO
"May 01, 2023",6.68,6.72,6.58,6.69,6.69,"59,700",BNE.TO
"Apr 28, 2023",6.54,6.74,6.54,6.67,6.67,"31,500",BNE.TO
"Apr 27, 2023",6.63,6.76,6.45,6.46,6.46,"48,100",BNE.TO
"Apr 26, 2023",6.63,6.86,6.55,6.60,6.60,"61,800",BNE.TO
"Apr 25, 2023",6.88,6.88,6.77,6.81,6.81,"31,700",BNE.TO
"Apr 24, 2023",6.86,7.14,6.86,7.00,7.00,"86,000",BNE.TO
"Apr 21, 2023",7.00,7.01,6.85,6.85,6.85,"22,700",BNE.TO
"Apr 20, 2023",7.16,7.16,6.93,6.95,6.95,"70,600",BNE.TO
"Apr 19, 2023",7.15,7.20,7.02,7.19,7.19,"107,100",BNE.TO
"Apr 18, 2023",7.16,7.30,7.13,7.18,7.18,"109,700",BNE.TO
"Apr 17, 2023",7.29,7.29,7.15,7.27,7.27,"62,000",BNE.TO
"Apr 14, 2023",7.37,7.38,7.15,7.17,7.17,"81,100",BNE.TO
"Apr 13, 2023",7.15,7.30,7.15,7.29,7.29,"78,500",BNE.TO
"Apr 12, 2023",7.15,7.21,7.01,7.20,7.20,"50,700",BNE.TO
"Apr 11, 2023",7.12,7.12,6.99,7.09,7.09,"45,600",BNE.TO
"Apr 10, 2023",6.80,7.08,6.80,7.05,7.05,"119,800",BNE.TO
"Apr 06, 2023",6.81,6.91,6.77,6.79,6.79,"62,300",BNE.TO
"Apr 05, 2023",6.82,6.97,6.75,6.89,6.89,"42,100",BNE.TO
"Apr 04, 2023",6.95,6.96,6.64,6.82,6.82,"71,600",BNE.TO
"Apr 03, 2023",6.74,7.05,6.73,6.92,6.92,"168,200",BNE.TO
"Mar 31, 2023",6.45,6.62,6.45,6.60,6.60,"68,200",BNE.TO
"Mar 30, 2023",6.57,6.57,6.38,6.53,6.53,"74,300",BNE.TO
"Mar 29, 2023",6.48,6.56,6.39,6.48,6.48,"64,900",BNE.TO
"Mar 28, 2023",6.19,6.44,6.13,6.39,6.39,"94,400",BNE.TO
"Mar 27, 2023",5.94,6.25,5.85,6.20,6.20,"114,300",BNE.TO
"Mar 24, 2023",5.84,5.99,5.75,5.98,5.98,"52,700",BNE.TO
"Mar 23, 2023",6.19,6.30,5.82,5.93,5.93,"83,000",BNE.TO
"Mar 22, 2023",6.06,6.25,5.97,6.11,6.11,"89,600",BNE.TO
"Mar 21, 2023",6.00,6.18,5.94,6.16,6.16,"104,800",BNE.TO
"Mar 20, 2023",5.52,5.87,5.44,5.87,5.87,"208,700",BNE.TO
"Mar 17, 2023",5.78,5.78,5.43,5.51,5.51,"166,100",BNE.TO
"Mar 16, 2023",5.72,5.85,5.59,5.76,5.76,"147,300",BNE.TO
"Mar 15, 2023",6.10,6.10,5.48,5.74,5.74,"303,300",BNE.TO
"Mar 14, 2023",6.47,6.52,6.16,6.31,6.31,"485,800",BNE.TO
"Mar 13, 2023",6.51,6.54,6.05,6.45,6.45,"177,100",BNE.TO
"Mar 10, 2023",6.85,6.89,6.47,6.51,6.51,"205,200",BNE.TO
"Mar 09, 2023",6.86,6.90,6.53,6.54,6.54,"192,700",BNE.TO
"Mar 08, 2023",6.61,6.77,6.57,6.77,6.77,"120,900",BNE.TO
"Mar 07, 2023",6.77,6.82,6.59,6.65,6.65,"100,600",BNE.TO
"Mar 06, 2023",6.90,6.95,6.75,6.84,6.84,"88,000",BNE.TO
"Mar 03, 2023",6.65,7.05,6.65,6.94,6.94,"211,200",BNE.TO
"Mar 02, 2023",6.67,6.77,6.55,6.75,6.75,"95,200",BNE.TO
"Mar 01, 2023",6.59,6.78,6.59,6.70,6.70,"124,200",BNE.TO
"Feb 28, 2023",6.80,6.81,6.58,6.62,6.62,"169,900",BNE.TO
"Feb 27, 2023",6.52,6.80,6.43,6.67,6.67,"223,300",BNE.TO
"Feb 24, 2023",6.20,6.51,6.17,6.47,6.47,"131,600",BNE.TO
"Feb 23, 2023",5.98,6.39,5.98,6.31,6.31,"172,600",BNE.TO
"Feb 22, 2023",6.12,6.25,5.90,6.00,6.00,"297,900",BNE.TO
"Feb 21, 2023",6.40,6.47,6.14,6.14,6.14,"95,000",BNE.TO
"Feb 17, 2023",6.60,6.60,6.32,6.34,6.34,"132,800",BNE.TO
"Feb 16, 2023",6.89,7.00,6.67,6.67,6.67,"161,800",BNE.TO
"Feb 15, 2023",6.97,6.97,6.73,6.89,6.89,"71,900",BNE.TO
"Feb 14, 2023",6.90,7.10,6.80,7.07,7.07,"97,300",BNE.TO
"Feb 13, 2023",7.00,7.09,6.89,6.96,6.96,"86,400",BNE.TO
"Feb 10, 2023",6.52,7.01,6.51,6.96,6.96,"290,000",BNE.TO
"Feb 09, 2023",6.66,6.71,6.40,6.43,6.43,"214,000",BNE.TO
"Feb 08, 2023",6.70,6.80,6.49,6.60,6.60,"123,800",BNE.TO
"Feb 07, 2023",6.27,6.70,6.22,6.69,6.69,"317,900",BNE.TO
"Feb 06, 2023",6.27,6.28,6.11,6.24,6.24,"146,000",BNE.TO
"Feb 03, 2023",6.23,6.46,6.17,6.24,6.24,"211,500",BNE.TO
"Feb 02, 2023",6.41,6.42,6.13,6.22,6.22,"189,000",BNE.TO
"Feb 01, 2023",6.60,6.65,6.28,6.44,6.44,"113,100",BNE.TO
"Jan 31, 2023",6.40,6.67,6.31,6.65,6.65,"100,200",BNE.TO
"Jan 30, 2023",6.51,6.84,6.50,6.53,6.53,"142,800",BNE.TO
"Jan 27, 2023",6.71,6.90,6.60,6.69,6.69,"139,700",BNE.TO
"Jan 26, 2023",6.63,6.71,6.56,6.68,6.68,"94,200",BNE.TO
"Jan 25, 2023",6.65,6.65,6.37,6.58,6.58,"158,600",BNE.TO
"Jan 24, 2023",6.80,6.80,6.63,6.63,6.63,"75,200",BNE.TO
"Jan 23, 2023",6.75,6.90,6.73,6.85,6.85,"107,300",BNE.TO
"Jan 20, 2023",6.82,6.86,6.67,6.72,6.72,"101,200",BNE.TO
"Jan 19, 2023",6.67,6.93,6.52,6.86,6.86,"63,200",BNE.TO
"Jan 18, 2023",6.79,7.00,6.68,6.70,6.70,"96,400",BNE.TO
"Jan 17, 2023",6.60,6.75,6.57,6.72,6.72,"125,900",BNE.TO
"Jan 16, 2023",6.53,6.80,6.50,6.53,6.53,"122,000",BNE.TO
"Jan 13, 2023",6.49,6.53,6.30,6.53,6.53,"153,200",BNE.TO
"Jan 12, 2023",6.30,6.52,6.29,6.49,6.49,"116,700",BNE.TO
"Jan 11, 2023",6.18,6.27,6.07,6.23,6.23,"163,600",BNE.TO
"Jan 10, 2023",6.20,6.27,6.02,6.10,6.10,"86,100",BNE.TO
"Jan 09, 2023",6.20,6.42,6.12,6.17,6.17,"276,100",BNE.TO
"Jan 06, 2023",5.97,6.18,5.96,6.12,6.12,"154,000",BNE.TO
"Jan 05, 2023",5.90,5.97,5.84,5.87,5.87,"171,800",BNE.TO
"Jan 04, 2023",6.00,6.19,5.87,5.91,5.91,"316,000",BNE.TO
"Jan 03, 2023",6.75,6.75,6.07,6.11,6.11,"237,300",BNE.TO
"Dec 30, 2022",6.66,6.78,6.60,6.76,6.76,"63,400",BNE.TO
"Dec 29, 2022",6.51,6.69,6.43,6.66,6.66,"102,400",BNE.TO
"Dec 28, 2022",7.03,7.03,6.52,6.54,6.54,"117,600",BNE.TO
"Dec 23, 2022",6.48,6.95,6.44,6.93,6.93,"273,000",BNE.TO
"Dec 22, 2022",6.70,6.81,6.32,6.45,6.45,"176,300",BNE.TO
"Dec 21, 2022",6.26,6.70,6.26,6.66,6.66,"260,500",BNE.TO
"Dec 20, 2022",6.22,6.36,6.13,6.18,6.18,"293,000",BNE.TO
"Dec 19, 2022",6.41,6.44,5.98,6.24,6.24,"516,000",BNE.TO
