Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",6.95,6.99,6.88,6.91,6.91,"554,000",CJ.TO
"Nov 17, 2023",6.79,6.95,6.78,6.88,6.88,"608,500",CJ.TO
"Nov 16, 2023",6.84,6.85,6.59,6.7,6.7,"1,421,300",CJ.TO
"Nov 15, 2023",7.01,7.05,6.86,6.88,6.88,"741,800",CJ.TO
"Nov 14, 2023",7.02,7.09,6.96,7.04,7.04,"627,200",CJ.TO
"Nov 13, 2023",7.01,7.09,6.97,6.97,6.97,"316,900",CJ.TO
"Nov 10, 2023",6.91,7.0,6.84,6.98,6.98,"694,700",CJ.TO
"Nov 09, 2023",6.84,6.96,6.8,6.84,6.84,"594,300",CJ.TO
"Nov 08, 2023",6.99,6.99,6.7,6.77,6.77,"1,332,700",CJ.TO
"Nov 07, 2023",7.30,7.35,6.93,6.97,6.97,"2,403,900",CJ.TO
"Nov 06, 2023",7.48,7.48,7.28,7.3,7.3,"693,300",CJ.TO
"Nov 03, 2023",7.51,7.53,7.38,7.43,7.43,"632,700",CJ.TO
"Nov 02, 2023",7.45,7.56,7.35,7.55,7.55,"982,900",CJ.TO
"Nov 01, 2023",7.52,7.52,7.39,7.43,7.43,"489,700",CJ.TO
"Oct 31, 2023",7.43,7.53,7.38,7.42,7.42,"766,600",CJ.TO
"Oct 30, 2023",7.51,7.63,7.36,7.42,7.42,"611,100",CJ.TO
"Oct 27, 2023",7.67,7.7,7.54,7.64,7.58,"571,400",CJ.TO
"Oct 26, 2023",7.50,7.63,7.41,7.61,7.55,"502,200",CJ.TO
"Oct 25, 2023",7.65,7.68,7.41,7.6,7.54,"1,590,500",CJ.TO
"Oct 24, 2023",7.77,7.8,7.64,7.69,7.63,"549,300",CJ.TO
"Oct 23, 2023",7.75,7.84,7.7,7.74,7.68,"460,200",CJ.TO
"Oct 20, 2023",7.92,7.93,7.77,7.82,7.76,"697,700",CJ.TO
"Oct 19, 2023",7.70,7.95,7.68,7.87,7.81,"822,800",CJ.TO
"Oct 18, 2023",7.80,7.89,7.77,7.79,7.73,"991,900",CJ.TO
"Oct 17, 2023",7.51,7.79,7.51,7.73,7.67,"1,879,400",CJ.TO
"Oct 16, 2023",7.53,7.57,7.44,7.5,7.44,"681,800",CJ.TO
"Oct 13, 2023",7.50,7.54,7.42,7.51,7.45,"637,100",CJ.TO
"Oct 12, 2023",7.42,7.43,7.3,7.4,7.34,"575,500",CJ.TO
"Oct 11, 2023",7.35,7.47,7.3,7.37,7.31,"419,300",CJ.TO
"Oct 10, 2023",7.45,7.47,7.31,7.42,7.36,"541,100",CJ.TO
"Oct 06, 2023",7.09,7.24,6.96,7.19,7.13,"543,000",CJ.TO
"Oct 05, 2023",6.98,7.13,6.98,7.06,7.0,"652,500",CJ.TO
"Oct 04, 2023",7.04,7.11,6.9,7.04,6.98,"942,600",CJ.TO
"Oct 03, 2023",7.07,7.13,6.99,7.12,7.06,"580,600",CJ.TO
"Oct 02, 2023",7.39,7.4,7.07,7.09,7.03,"881,500",CJ.TO
"Sep 29, 2023",7.56,7.56,7.39,7.4,7.34,"759,700",CJ.TO
"Sep 28, 2023",7.54,7.56,7.36,7.53,7.47,"1,030,300",CJ.TO
"Sep 27, 2023",7.49,7.65,7.42,7.6,7.48,"1,046,100",CJ.TO
"Sep 26, 2023",7.37,7.52,7.31,7.34,7.22,"1,092,000",CJ.TO
"Sep 25, 2023",7.24,7.45,7.24,7.4,7.28,"563,700",CJ.TO
"Sep 22, 2023",7.24,7.28,7.18,7.27,7.16,"461,600",CJ.TO
"Sep 21, 2023",7.30,7.33,7.16,7.19,7.08,"506,900",CJ.TO
"Sep 20, 2023",7.33,7.38,7.26,7.28,7.17,"559,000",CJ.TO
"Sep 19, 2023",7.53,7.53,7.29,7.37,7.25,"694,500",CJ.TO
"Sep 18, 2023",7.58,7.59,7.43,7.48,7.36,"857,100",CJ.TO
"Sep 15, 2023",7.53,7.56,7.48,7.52,7.4,"631,200",CJ.TO
"Sep 14, 2023",7.51,7.57,7.47,7.57,7.45,"537,000",CJ.TO
"Sep 13, 2023",7.52,7.57,7.37,7.41,7.29,"523,500",CJ.TO
"Sep 12, 2023",7.28,7.55,7.27,7.49,7.37,"1,288,800",CJ.TO
"Sep 11, 2023",7.36,7.39,7.21,7.21,7.1,"568,800",CJ.TO
"Sep 08, 2023",7.32,7.4,7.3,7.34,7.22,"478,000",CJ.TO
"Sep 07, 2023",7.35,7.42,7.28,7.3,7.19,"381,400",CJ.TO
"Sep 06, 2023",7.42,7.47,7.36,7.4,7.28,"465,200",CJ.TO
"Sep 05, 2023",7.45,7.55,7.38,7.42,7.3,"744,200",CJ.TO
"Sep 01, 2023",7.29,7.45,7.29,7.39,7.27,"1,134,000",CJ.TO
"Aug 31, 2023",7.18,7.28,7.16,7.22,7.11,"1,006,700",CJ.TO
"Aug 30, 2023",7.18,7.19,7.11,7.12,7.01,"876,400",CJ.TO
"Aug 29, 2023",7.11,7.21,7.07,7.19,7.02,"773,900",CJ.TO
"Aug 28, 2023",7.03,7.13,7.03,7.11,6.94,"586,100",CJ.TO
"Aug 25, 2023",6.92,7.02,6.88,6.99,6.82,"886,300",CJ.TO
"Aug 24, 2023",6.92,6.97,6.83,6.83,6.67,"779,400",CJ.TO
"Aug 23, 2023",6.98,7.05,6.86,6.98,6.81,"936,900",CJ.TO
"Aug 22, 2023",7.07,7.11,7.04,7.06,6.89,"223,000",CJ.TO
"Aug 21, 2023",7.15,7.22,7.05,7.06,6.89,"590,300",CJ.TO
"Aug 18, 2023",7.08,7.14,7.04,7.12,6.95,"470,300",CJ.TO
"Aug 17, 2023",7.07,7.18,7.07,7.13,6.96,"617,600",CJ.TO
"Aug 16, 2023",7.05,7.16,7.02,7.02,6.85,"486,100",CJ.TO
"Aug 15, 2023",7.09,7.14,7.02,7.06,6.89,"714,900",CJ.TO
"Aug 14, 2023",7.14,7.16,7.07,7.14,6.97,"378,100",CJ.TO
"Aug 11, 2023",7.15,7.26,7.14,7.17,7.0,"598,800",CJ.TO
"Aug 10, 2023",7.22,7.25,7.14,7.16,6.99,"520,900",CJ.TO
"Aug 09, 2023",7.25,7.31,7.22,7.24,7.07,"902,700",CJ.TO
"Aug 08, 2023",7.10,7.24,7.04,7.2,7.03,"878,000",CJ.TO
"Aug 04, 2023",7.18,7.27,7.14,7.16,6.99,"810,100",CJ.TO
"Aug 03, 2023",7.12,7.21,7.07,7.16,6.99,"447,700",CJ.TO
"Aug 02, 2023",7.16,7.16,7.02,7.12,6.95,"411,500",CJ.TO
"Aug 01, 2023",7.12,7.21,7.0,7.17,7.0,"591,400",CJ.TO
"Jul 31, 2023",7.24,7.31,7.16,7.18,7.01,"680,800",CJ.TO
"Jul 28, 2023",7.04,7.23,6.83,7.2,7.03,"918,300",CJ.TO
