Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",9.85,9.87,9.72,9.73,9.73,"2,577,900",CPG.TO
"Nov 17, 2023",9.47,9.77,9.45,9.70,9.70,"6,813,900",CPG.TO
"Nov 16, 2023",9.47,9.52,9.22,9.39,9.39,"7,015,600",CPG.TO
"Nov 15, 2023",9.70,9.76,9.57,9.60,9.60,"7,099,100",CPG.TO
"Nov 14, 2023",9.66,9.75,9.58,9.72,9.72,"4,687,000",CPG.TO
"Nov 13, 2023",9.77,9.79,9.57,9.60,9.58,"7,760,200",CPG.TO
"Nov 10, 2023",9.68,9.84,9.66,9.75,9.73,"6,917,000",CPG.TO
"Nov 09, 2023",9.72,9.85,9.57,9.57,9.55,"6,324,200",CPG.TO
"Nov 08, 2023",9.82,9.92,9.53,9.59,9.57,"6,189,900",CPG.TO
"Nov 07, 2023",10.15,10.15,9.85,9.86,9.84,"14,235,700",CPG.TO
"Nov 06, 2023",11.29,11.35,10.93,10.94,10.92,"2,860,000",CPG.TO
"Nov 03, 2023",11.60,11.67,11.20,11.20,11.18,"3,540,000",CPG.TO
"Nov 02, 2023",11.19,11.63,11.06,11.58,11.56,"3,898,700",CPG.TO
"Nov 01, 2023",11.20,11.29,11.05,11.20,11.18,"2,061,100",CPG.TO
"Oct 31, 2023",11.09,11.27,10.96,11.12,11.10,"3,380,700",CPG.TO
"Oct 30, 2023",11.15,11.24,10.95,11.02,11.00,"2,030,200",CPG.TO
"Oct 27, 2023",11.15,11.17,10.82,11.12,11.10,"2,573,700",CPG.TO
"Oct 26, 2023",10.95,11.12,10.71,11.04,11.02,"4,849,800",CPG.TO
"Oct 25, 2023",10.97,11.14,10.84,11.04,11.02,"2,603,200",CPG.TO
"Oct 24, 2023",11.10,11.16,10.95,10.96,10.94,"2,168,400",CPG.TO
"Oct 23, 2023",11.25,11.36,11.00,11.05,11.03,"3,416,300",CPG.TO
"Oct 20, 2023",11.50,11.56,11.31,11.37,11.35,"1,943,600",CPG.TO
"Oct 19, 2023",11.33,11.62,11.14,11.56,11.54,"2,371,900",CPG.TO
"Oct 18, 2023",11.47,11.48,11.35,11.44,11.42,"2,656,600",CPG.TO
"Oct 17, 2023",11.13,11.42,11.10,11.36,11.34,"2,777,600",CPG.TO
"Oct 16, 2023",11.05,11.18,10.85,11.12,11.10,"2,686,300",CPG.TO
"Oct 13, 2023",11.00,11.07,10.85,11.02,11.00,"5,743,300",CPG.TO
"Oct 12, 2023",10.92,10.97,10.66,10.78,10.76,"2,872,000",CPG.TO
"Oct 11, 2023",10.80,10.92,10.69,10.77,10.75,"2,310,100",CPG.TO
"Oct 10, 2023",10.95,11.07,10.80,10.92,10.90,"3,451,500",CPG.TO
"Oct 06, 2023",10.33,10.56,10.19,10.48,10.46,"1,958,800",CPG.TO
"Oct 05, 2023",10.17,10.41,10.16,10.27,10.25,"2,517,500",CPG.TO
"Oct 04, 2023",10.65,10.70,10.18,10.29,10.27,"3,132,000",CPG.TO
"Oct 03, 2023",10.69,10.84,10.62,10.83,10.81,"3,098,900",CPG.TO
"Oct 02, 2023",11.28,11.32,10.71,10.78,10.76,"3,056,600",CPG.TO
"Sep 29, 2023",11.33,11.34,11.18,11.26,11.24,"2,955,100",CPG.TO
"Sep 28, 2023",11.18,11.38,11.18,11.29,11.27,"3,276,000",CPG.TO
"Sep 27, 2023",11.15,11.30,11.10,11.21,11.19,"2,184,900",CPG.TO
"Sep 26, 2023",10.96,11.10,10.91,10.97,10.95,"1,845,800",CPG.TO
"Sep 25, 2023",10.66,11.05,10.66,11.02,11.00,"2,365,300",CPG.TO
"Sep 22, 2023",10.81,10.86,10.66,10.70,10.68,"2,010,300",CPG.TO
"Sep 21, 2023",10.95,10.99,10.65,10.68,10.66,"3,128,300",CPG.TO
"Sep 20, 2023",11.07,11.20,10.87,10.89,10.87,"2,019,300",CPG.TO
"Sep 19, 2023",11.43,11.44,11.10,11.13,11.11,"3,425,900",CPG.TO
"Sep 18, 2023",11.54,11.55,11.27,11.34,11.32,"3,522,200",CPG.TO
"Sep 15, 2023",11.52,11.53,11.44,11.47,11.45,"5,582,900",CPG.TO
"Sep 14, 2023",11.50,11.56,11.46,11.55,11.53,"2,339,300",CPG.TO
"Sep 13, 2023",11.45,11.47,11.33,11.43,11.31,"4,017,600",CPG.TO
"Sep 12, 2023",11.26,11.44,11.25,11.39,11.27,"3,246,700",CPG.TO
"Sep 11, 2023",11.44,11.48,11.07,11.13,11.01,"2,625,200",CPG.TO
"Sep 08, 2023",11.40,11.50,11.36,11.38,11.26,"1,411,000",CPG.TO
"Sep 07, 2023",11.45,11.58,11.29,11.34,11.22,"2,465,700",CPG.TO
"Sep 06, 2023",11.55,11.70,11.43,11.52,11.40,"3,620,000",CPG.TO
"Sep 05, 2023",11.54,11.68,11.50,11.57,11.44,"2,424,000",CPG.TO
"Sep 01, 2023",11.24,11.47,11.22,11.43,11.31,"2,519,800",CPG.TO
"Aug 31, 2023",11.15,11.18,11.08,11.12,11.00,"2,209,900",CPG.TO
"Aug 30, 2023",11.09,11.14,11.04,11.07,10.95,"1,895,400",CPG.TO
"Aug 29, 2023",10.88,11.05,10.78,11.01,10.89,"2,309,400",CPG.TO
"Aug 28, 2023",10.75,10.95,10.75,10.84,10.72,"2,332,600",CPG.TO
"Aug 25, 2023",10.85,10.89,10.63,10.70,10.58,"2,644,200",CPG.TO
"Aug 24, 2023",10.95,11.11,10.75,10.78,10.66,"3,453,900",CPG.TO
"Aug 23, 2023",11.00,11.13,10.78,11.05,10.93,"2,775,100",CPG.TO
"Aug 22, 2023",11.15,11.26,11.13,11.16,11.04,"1,251,800",CPG.TO
"Aug 21, 2023",11.30,11.38,11.13,11.18,11.06,"1,930,200",CPG.TO
"Aug 18, 2023",11.03,11.24,10.99,11.21,11.09,"2,402,100",CPG.TO
"Aug 17, 2023",11.20,11.31,11.10,11.16,11.04,"3,707,000",CPG.TO
"Aug 16, 2023",11.08,11.27,11.01,11.05,10.93,"3,104,300",CPG.TO
