Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",22.59,22.68,22.14,22.17,22.17,"347,900",ERF.TO
"Nov 17, 2023",22.05,22.50,22.05,22.29,22.29,"406,500",ERF.TO
"Nov 16, 2023",21.80,21.98,21.50,21.86,21.86,"728,400",ERF.TO
"Nov 15, 2023",22.38,22.59,22.00,22.03,22.03,"312,400",ERF.TO
"Nov 14, 2023",22.41,22.61,22.31,22.54,22.54,"441,800",ERF.TO
"Nov 13, 2023",22.43,22.65,22.28,22.35,22.35,"377,400",ERF.TO
"Nov 10, 2023",22.17,22.47,22.13,22.42,22.42,"400,900",ERF.TO
"Nov 09, 2023",22.11,22.45,21.90,21.95,21.95,"506,400",ERF.TO
"Nov 08, 2023",22.19,22.45,21.79,21.96,21.96,"548,400",ERF.TO
"Nov 07, 2023",22.91,22.98,22.32,22.37,22.37,"1,033,200",ERF.TO
"Nov 06, 2023",23.97,24.05,23.27,23.32,23.32,"508,200",ERF.TO
"Nov 03, 2023",24.16,24.74,23.65,23.82,23.82,"792,000",ERF.TO
"Nov 02, 2023",23.38,24.15,23.28,24.15,24.15,"670,100",ERF.TO
"Nov 01, 2023",23.63,23.79,23.37,23.47,23.47,"458,800",ERF.TO
"Oct 31, 2023",23.56,23.78,23.25,23.45,23.45,"459,900",ERF.TO
"Oct 30, 2023",23.64,23.88,23.21,23.37,23.37,"346,700",ERF.TO
"Oct 27, 2023",23.89,23.93,23.31,23.69,23.69,"455,100",ERF.TO
"Oct 26, 2023",23.68,23.93,23.42,23.72,23.72,"308,400",ERF.TO
"Oct 25, 2023",23.65,23.97,23.46,23.86,23.86,"274,300",ERF.TO
"Oct 24, 2023",23.90,23.94,23.52,23.53,23.53,"303,400",ERF.TO
"Oct 23, 2023",24.00,24.23,23.63,23.78,23.78,"461,600",ERF.TO
"Oct 20, 2023",24.52,24.64,24.23,24.23,24.23,"607,400",ERF.TO
"Oct 19, 2023",24.06,24.72,23.87,24.68,24.68,"960,200",ERF.TO
"Oct 18, 2023",24.26,24.37,24.09,24.27,24.27,"582,200",ERF.TO
"Oct 17, 2023",23.88,24.20,23.82,24.18,24.18,"579,600",ERF.TO
"Oct 16, 2023",23.89,23.97,23.52,23.87,23.87,"364,900",ERF.TO
"Oct 13, 2023",23.89,23.95,23.65,23.81,23.81,"455,100",ERF.TO
"Oct 12, 2023",23.54,23.64,23.29,23.40,23.40,"445,800",ERF.TO
"Oct 11, 2023",23.14,23.44,23.03,23.29,23.29,"456,600",ERF.TO
"Oct 10, 2023",23.38,23.55,23.17,23.33,23.33,"557,600",ERF.TO
"Oct 06, 2023",22.24,22.82,22.04,22.49,22.49,"1,532,100",ERF.TO
"Oct 05, 2023",22.17,22.62,22.07,22.14,22.14,"630,600",ERF.TO
"Oct 04, 2023",22.94,23.10,22.16,22.25,22.25,"521,800",ERF.TO
"Oct 03, 2023",22.99,23.39,22.99,23.36,23.36,"414,400",ERF.TO
"Oct 02, 2023",23.89,23.95,23.01,23.07,23.07,"559,700",ERF.TO
"Sep 29, 2023",24.01,24.17,23.83,23.90,23.90,"834,200",ERF.TO
"Sep 28, 2023",23.84,24.19,23.78,23.93,23.93,"467,700",ERF.TO
"Sep 27, 2023",23.64,24.05,23.51,23.83,23.83,"732,100",ERF.TO
"Sep 26, 2023",23.07,23.48,23.05,23.31,23.31,"449,900",ERF.TO
"Sep 25, 2023",22.67,23.21,22.59,23.20,23.20,"397,800",ERF.TO
"Sep 22, 2023",22.63,22.85,22.48,22.70,22.70,"475,300",ERF.TO
"Sep 21, 2023",22.80,22.94,22.27,22.45,22.45,"501,800",ERF.TO
"Sep 20, 2023",23.08,23.29,22.71,22.71,22.71,"621,100",ERF.TO
"Sep 19, 2023",23.84,23.92,23.19,23.28,23.28,"367,900",ERF.TO
"Sep 18, 2023",23.80,23.90,23.38,23.69,23.69,"454,400",ERF.TO
"Sep 15, 2023",23.95,24.20,23.71,23.82,23.82,"1,616,600",ERF.TO
"Sep 14, 2023",24.21,24.32,23.80,24.02,24.02,"663,000",ERF.TO
"Sep 13, 2023",23.77,23.98,23.55,23.93,23.93,"783,700",ERF.TO
"Sep 12, 2023",23.50,24.01,23.41,23.98,23.98,"519,700",ERF.TO
"Sep 11, 2023",23.80,23.94,23.16,23.24,23.24,"791,600",ERF.TO
"Sep 08, 2023",23.89,24.02,23.67,23.75,23.75,"581,700",ERF.TO
"Sep 07, 2023",23.25,23.84,23.11,23.82,23.82,"441,000",ERF.TO
"Sep 06, 2023",23.78,24.05,23.58,23.73,23.73,"221,300",ERF.TO
"Sep 05, 2023",23.84,24.14,23.67,23.78,23.78,"613,500",ERF.TO
"Sep 01, 2023",23.50,23.71,23.42,23.65,23.65,"343,200",ERF.TO
"Aug 31, 2023",23.15,23.37,23.03,23.11,23.11,"775,700",ERF.TO
"Aug 30, 2023",23.12,23.25,22.97,23.09,23.09,"365,900",ERF.TO
"Aug 29, 2023",22.99,23.17,22.79,23.12,23.04,"390,000",ERF.TO
"Aug 28, 2023",22.87,23.14,22.74,22.90,22.82,"339,300",ERF.TO
"Aug 25, 2023",22.73,22.95,22.54,22.80,22.72,"317,900",ERF.TO
"Aug 24, 2023",22.48,22.82,22.44,22.55,22.47,"555,500",ERF.TO
"Aug 23, 2023",22.57,22.85,22.38,22.63,22.55,"507,900",ERF.TO
"Aug 22, 2023",22.72,23.01,22.72,22.80,22.72,"244,600",ERF.TO
"Aug 21, 2023",23.04,23.22,22.75,22.79,22.71,"372,300",ERF.TO
"Aug 18, 2023",22.61,23.04,22.54,22.96,22.88,"616,700",ERF.TO
"Aug 17, 2023",22.72,23.05,22.72,22.80,22.72,"413,300",ERF.TO
"Aug 16, 2023",21.95,22.66,21.95,22.41,22.33,"458,300",ERF.TO
"Aug 15, 2023",22.06,22.44,21.96,22.01,21.93,"393,300",ERF.TO
"Aug 14, 2023",22.54,22.54,22.12,22.23,22.15,"840,900",ERF.TO
"Aug 11, 2023",22.30,22.82,22.25,22.57,22.49,"321,100",ERF.TO
"Aug 10, 2023",22.49,23.12,22.12,22.30,22.22,"921,700",ERF.TO
"Aug 09, 2023",23.00,23.24,22.84,22.98,22.90,"499,600",ERF.TO
"Aug 08, 2023",22.20,22.78,22.08,22.76,22.68,"524,500",ERF.TO
"Aug 04, 2023",22.21,22.52,22.12,22.38,22.30,"376,900",ERF.TO
"Aug 03, 2023",21.95,22.34,21.83,22.14,22.06,"392,000",ERF.TO
"Aug 02, 2023",22.22,22.25,21.56,21.88,21.80,"483,600",ERF.TO
"Aug 01, 2023",21.98,22.24,21.68,22.19,22.11,"333,700",ERF.TO
"Jul 31, 2023",21.90,22.36,21.90,22.06,21.98,"583,100",ERF.TO
"Jul 28, 2023",21.32,21.87,21.15,21.83,21.75,"326,000",ERF.TO
"Jul 27, 2023",21.63,21.64,21.23,21.31,21.24,"295,600",ERF.TO
"Jul 26, 2023",21.37,21.70,21.26,21.51,21.43,"253,600",ERF.TO
"Jul 25, 2023",21.38,21.70,21.37,21.48,21.40,"415,400",ERF.TO
"Jul 24, 2023",21.23,21.52,21.20,21.43,21.35,"458,800",ERF.TO
"Jul 21, 2023",21.01,21.22,20.81,21.14,21.07,"440,300",ERF.TO
"Jul 20, 2023",20.84,20.91,20.41,20.83,20.76,"359,400",ERF.TO
"Jul 19, 2023",20.64,20.99,20.58,20.67,20.60,"471,800",ERF.TO
"Jul 18, 2023",19.76,20.71,19.73,20.62,20.55,"564,900",ERF.TO
"Jul 17, 2023",19.75,20.10,19.58,19.71,19.64,"618,000",ERF.TO
"Jul 14, 2023",20.17,20.18,19.76,19.81,19.74,"411,700",ERF.TO
"Jul 13, 2023",19.89,20.27,19.77,20.21,20.14,"658,600",ERF.TO
"Jul 12, 2023",20.00,20.04,19.77,19.85,19.78,"453,100",ERF.TO
"Jul 11, 2023",19.74,19.92,19.72,19.84,19.77,"249,800",ERF.TO
"Jul 10, 2023",19.54,19.87,19.47,19.66,19.59,"580,500",ERF.TO
"Jul 07, 2023",18.64,19.64,18.64,19.55,19.48,"449,900",ERF.TO
"Jul 06, 2023",19.05,19.05,18.43,18.74,18.67,"507,700",ERF.TO
"Jul 05, 2023",19.44,19.44,19.04,19.06,18.99,"342,400",ERF.TO
"Jul 04, 2023",19.18,19.53,19.17,19.48,19.41,"150,200",ERF.TO
