Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",9.05,9.2,9.03,9.03,9.03,"41,700",FEC.TO
"Nov 17, 2023",8.60,9.08,8.6,9.01,9.01,"77,300",FEC.TO
"Nov 16, 2023",8.78,8.85,8.38,8.53,8.53,"126,800",FEC.TO
"Nov 15, 2023",9.11,9.12,8.72,8.8,8.8,"124,500",FEC.TO
"Nov 14, 2023",8.99,9.47,8.9,9.19,9.19,"84,200",FEC.TO
"Nov 13, 2023",8.74,9.1,8.74,9.0,9.0,"91,600",FEC.TO
"Nov 10, 2023",9.98,10.0,8.1,8.82,8.82,"508,100",FEC.TO
"Nov 09, 2023",11.14,11.35,11.09,11.27,11.27,"38,300",FEC.TO
"Nov 08, 2023",11.26,11.27,10.98,11.11,11.11,"68,200",FEC.TO
"Nov 07, 2023",11.60,11.6,11.27,11.39,11.39,"54,200",FEC.TO
"Nov 06, 2023",12.01,12.01,11.77,11.77,11.77,"41,600",FEC.TO
"Nov 03, 2023",12.13,12.41,11.83,12.0,12.0,"163,300",FEC.TO
"Nov 02, 2023",11.87,12.09,11.85,12.09,12.09,"86,500",FEC.TO
"Nov 01, 2023",11.48,12.03,11.48,11.81,11.81,"48,500",FEC.TO
"Oct 31, 2023",11.31,12.05,11.23,11.76,11.76,"85,900",FEC.TO
"Oct 30, 2023",11.50,11.5,11.05,11.15,11.15,"86,900",FEC.TO
"Oct 27, 2023",10.84,11.68,10.8,11.46,11.46,"92,200",FEC.TO
"Oct 26, 2023",9.59,10.83,9.59,10.83,10.83,"39,200",FEC.TO
"Oct 25, 2023",10.40,10.62,10.38,10.55,10.55,"33,600",FEC.TO
"Oct 24, 2023",10.59,10.7,10.39,10.44,10.44,"47,800",FEC.TO
"Oct 23, 2023",10.44,10.81,10.44,10.54,10.54,"94,000",FEC.TO
"Oct 20, 2023",10.78,10.81,10.68,10.76,10.76,"41,800",FEC.TO
"Oct 19, 2023",10.69,10.82,10.52,10.82,10.82,"24,400",FEC.TO
"Oct 18, 2023",10.60,10.77,10.56,10.74,10.74,"27,200",FEC.TO
"Oct 17, 2023",10.47,10.67,10.47,10.55,10.55,"54,600",FEC.TO
"Oct 16, 2023",10.20,10.51,10.12,10.51,10.51,"43,700",FEC.TO
"Oct 13, 2023",10.10,10.28,10.1,10.28,10.28,"17,000",FEC.TO
"Oct 12, 2023",10.10,10.18,9.95,9.96,9.96,"43,900",FEC.TO
"Oct 11, 2023",9.82,10.05,9.82,10.0,10.0,"63,500",FEC.TO
"Oct 10, 2023",9.60,10.04,9.6,10.03,10.03,"83,200",FEC.TO
"Oct 06, 2023",9.33,9.74,9.33,9.69,9.69,"18,900",FEC.TO
"Oct 05, 2023",9.50,9.51,9.25,9.43,9.43,"22,200",FEC.TO
"Oct 04, 2023",9.52,9.59,9.29,9.36,9.36,"69,700",FEC.TO
"Oct 03, 2023",10.00,10.0,9.7,9.81,9.81,"54,000",FEC.TO
"Oct 02, 2023",10.76,10.76,9.94,9.97,9.97,"224,200",FEC.TO
"Sep 29, 2023",10.66,10.83,10.66,10.75,10.75,"76,400",FEC.TO
"Sep 28, 2023",10.75,10.84,10.59,10.59,10.59,"50,500",FEC.TO
"Sep 27, 2023",10.31,10.7,10.26,10.7,10.7,"50,000",FEC.TO
"Sep 26, 2023",10.63,10.63,10.2,10.32,10.32,"77,500",FEC.TO
"Sep 25, 2023",10.52,10.68,10.26,10.57,10.57,"40,000",FEC.TO
"Sep 22, 2023",10.51,10.54,10.28,10.35,10.35,"60,600",FEC.TO
"Sep 21, 2023",10.42,10.66,10.35,10.45,10.45,"48,900",FEC.TO
"Sep 20, 2023",10.26,10.55,10.25,10.41,10.41,"36,000",FEC.TO
"Sep 19, 2023",10.65,10.65,10.3,10.31,10.31,"20,100",FEC.TO
"Sep 18, 2023",10.65,10.7,10.54,10.63,10.63,"39,200",FEC.TO
"Sep 15, 2023",10.61,10.72,10.5,10.64,10.64,"112,600",FEC.TO
"Sep 14, 2023",10.55,10.6,10.4,10.58,10.58,"40,700",FEC.TO
"Sep 13, 2023",10.46,10.56,10.13,10.47,10.47,"69,400",FEC.TO
"Sep 12, 2023",10.09,10.75,10.08,10.59,10.59,"40,700",FEC.TO
"Sep 11, 2023",10.12,10.2,9.99,10.01,10.01,"62,500",FEC.TO
"Sep 08, 2023",10.50,10.6,10.16,10.16,10.16,"44,500",FEC.TO
"Sep 07, 2023",10.61,10.9,10.46,10.46,10.46,"34,000",FEC.TO
"Sep 06, 2023",10.50,10.98,10.5,10.91,10.91,"50,500",FEC.TO
"Sep 05, 2023",10.57,10.88,10.57,10.68,10.68,"41,400",FEC.TO
"Sep 01, 2023",10.48,10.87,10.4,10.68,10.68,"69,900",FEC.TO
"Aug 31, 2023",10.33,10.39,10.14,10.38,10.38,"227,000",FEC.TO
"Aug 30, 2023",10.04,10.53,10.04,10.35,10.35,"56,700",FEC.TO
"Aug 29, 2023",10.08,10.26,10.01,10.17,10.17,"63,100",FEC.TO
"Aug 28, 2023",10.06,10.16,9.99,10.08,10.08,"40,300",FEC.TO
"Aug 25, 2023",10.03,10.13,9.94,9.95,9.95,"29,600",FEC.TO
"Aug 24, 2023",10.00,10.05,9.82,10.0,10.0,"37,200",FEC.TO
"Aug 23, 2023",10.05,10.14,9.83,10.05,10.05,"40,300",FEC.TO
"Aug 22, 2023",10.22,10.25,10.08,10.08,10.08,"31,900",FEC.TO
"Aug 21, 2023",10.19,10.37,10.17,10.17,10.17,"20,700",FEC.TO
"Aug 18, 2023",10.23,10.23,10.04,10.13,10.13,"89,100",FEC.TO
"Aug 17, 2023",10.40,10.47,10.14,10.25,10.25,"89,600",FEC.TO
"Aug 16, 2023",10.48,10.55,10.36,10.4,10.4,"22,500",FEC.TO
"Aug 15, 2023",10.54,10.58,10.42,10.46,10.46,"28,400",FEC.TO
"Aug 14, 2023",10.76,10.77,10.39,10.48,10.48,"64,300",FEC.TO
"Aug 11, 2023",10.33,10.95,10.33,10.79,10.79,"99,600",FEC.TO
"Aug 10, 2023",10.73,10.73,10.24,10.33,10.33,"54,600",FEC.TO
"Aug 09, 2023",10.61,10.71,10.47,10.69,10.69,"50,300",FEC.TO
"Aug 08, 2023",10.60,10.6,10.4,10.52,10.52,"42,000",FEC.TO
"Aug 04, 2023",10.54,10.88,10.23,10.75,10.75,"41,000",FEC.TO
"Aug 03, 2023",10.32,10.56,10.21,10.35,10.35,"53,700",FEC.TO
"Aug 02, 2023",10.69,10.79,10.25,10.26,10.26,"56,400",FEC.TO
"Aug 01, 2023",10.68,10.76,10.62,10.7,10.7,"46,500",FEC.TO
"Jul 31, 2023",10.61,10.88,10.6,10.71,10.71,"88,600",FEC.TO
"Jul 28, 2023",10.46,10.63,10.43,10.6,10.6,"63,300",FEC.TO
"Jul 27, 2023",10.45,10.56,10.39,10.43,10.43,"43,000",FEC.TO
"Jul 26, 2023",10.58,10.61,10.36,10.55,10.55,"38,100",FEC.TO
"Jul 25, 2023",10.69,10.73,10.57,10.6,10.6,"14,800",FEC.TO
"Jul 24, 2023",10.55,10.8,10.53,10.67,10.67,"66,600",FEC.TO
"Jul 21, 2023",10.47,10.66,10.41,10.57,10.57,"52,100",FEC.TO
"Jul 20, 2023",10.64,10.82,10.4,10.4,10.4,"40,200",FEC.TO
"Jul 19, 2023",10.78,10.83,10.55,10.71,10.71,"29,800",FEC.TO
"Jul 18, 2023",10.78,10.9,10.72,10.77,10.77,"63,700",FEC.TO
"Jul 17, 2023",10.86,10.91,10.68,10.77,10.77,"19,700",FEC.TO
"Jul 14, 2023",11.05,11.13,10.82,10.9,10.9,"30,900",FEC.TO
"Jul 13, 2023",10.97,11.19,10.83,11.15,11.15,"30,900",FEC.TO
"Jul 12, 2023",11.15,11.3,10.98,10.98,10.98,"42,300",FEC.TO
"Jul 11, 2023",11.20,11.34,10.99,11.12,11.12,"30,500",FEC.TO
"Jul 10, 2023",11.14,11.26,11.0,11.13,11.13,"58,700",FEC.TO
"Jul 07, 2023",10.78,11.45,10.78,11.23,11.23,"68,800",FEC.TO
"Jul 06, 2023",11.28,11.28,10.63,10.85,10.85,"32,200",FEC.TO
"Jul 05, 2023",11.33,11.37,11.07,11.11,11.11,"36,500",FEC.TO
"Jul 04, 2023",11.15,11.39,11.01,11.33,11.33,"28,600",FEC.TO
"Jun 30, 2023",11.14,11.17,11.01,11.01,11.01,"33,600",FEC.TO
"Jun 29, 2023",11.50,11.5,11.06,11.15,11.15,"57,900",FEC.TO
"Jun 28, 2023",11.49,11.87,10.55,11.51,11.51,"348,000",FEC.TO
"Jun 27, 2023",10.30,11.49,10.09,11.3,11.3,"217,200",FEC.TO
"Jun 26, 2023",10.58,10.8,10.45,10.45,10.45,"33,100",FEC.TO
"Jun 23, 2023",10.80,11.02,10.31,10.78,10.78,"140,200",FEC.TO
"Jun 22, 2023",11.27,11.44,10.98,10.98,10.98,"101,800",FEC.TO
"Jun 21, 2023",11.55,11.73,11.39,11.59,11.59,"21,500",FEC.TO
"Jun 20, 2023",11.99,12.32,11.52,11.59,11.59,"63,000",FEC.TO
"Jun 19, 2023",12.08,12.08,11.67,11.67,11.67,"34,000",FEC.TO
"Jun 16, 2023",12.01,12.35,11.9,12.35,12.35,"130,100",FEC.TO
"Jun 15, 2023",11.80,12.02,11.8,11.87,11.87,"32,100",FEC.TO
"Jun 14, 2023",12.00,12.05,11.39,11.83,11.83,"40,700",FEC.TO
"Jun 13, 2023",11.71,12.12,11.71,12.0,12.0,"75,100",FEC.TO
"Jun 12, 2023",11.51,11.67,11.43,11.5,11.5,"58,600",FEC.TO
"Jun 09, 2023",11.45,11.67,11.37,11.56,11.56,"13,800",FEC.TO
"Jun 08, 2023",11.73,11.73,11.3,11.51,11.51,"18,000",FEC.TO
"Jun 07, 2023",11.19,11.87,11.19,11.62,11.62,"46,600",FEC.TO
"Jun 06, 2023",11.15,11.38,11.13,11.18,11.18,"50,100",FEC.TO
"Jun 05, 2023",11.66,11.66,11.23,11.37,11.37,"41,500",FEC.TO
"Jun 02, 2023",10.81,11.49,10.81,11.49,11.49,"74,800",FEC.TO
"Jun 01, 2023",10.70,10.85,10.45,10.79,10.79,"26,100",FEC.TO
"May 31, 2023",10.53,10.75,10.42,10.68,10.68,"113,900",FEC.TO
"May 30, 2023",10.64,10.96,10.39,10.7,10.7,"43,400",FEC.TO
"May 29, 2023",11.00,11.04,10.5,10.5,10.5,"29,600",FEC.TO
"May 26, 2023",10.26,10.86,10.23,10.8,10.8,"61,000",FEC.TO
"May 25, 2023",10.87,10.87,10.27,10.35,10.35,"48,200",FEC.TO
"May 24, 2023",10.59,10.59,10.21,10.46,10.46,"19,900",FEC.TO
"May 23, 2023",10.35,10.56,10.31,10.5,10.5,"31,900",FEC.TO
"May 19, 2023",10.53,10.53,10.21,10.34,10.34,"24,600",FEC.TO
"May 18, 2023",10.26,10.4,10.11,10.38,10.38,"47,200",FEC.TO
"May 17, 2023",10.12,10.31,10.0,10.31,10.31,"47,700",FEC.TO
"May 16, 2023",10.18,10.2,10.03,10.08,10.08,"38,900",FEC.TO
"May 15, 2023",10.20,10.23,10.05,10.12,10.12,"46,200",FEC.TO
"May 12, 2023",10.23,10.43,10.12,10.19,10.19,"33,800",FEC.TO
"May 11, 2023",10.73,10.86,10.22,10.22,10.22,"81,000",FEC.TO
"May 10, 2023",11.42,11.43,10.78,10.84,10.84,"74,600",FEC.TO
"May 09, 2023",11.68,12.01,11.34,11.35,11.35,"94,900",FEC.TO
"May 08, 2023",11.48,11.87,11.42,11.84,11.84,"166,500",FEC.TO
"May 05, 2023",11.34,11.57,11.0,11.2,11.2,"122,800",FEC.TO
"May 04, 2023",11.07,11.31,9.99,11.08,11.08,"539,300",FEC.TO
"May 03, 2023",11.81,11.81,11.45,11.62,11.62,"101,900",FEC.TO
"May 02, 2023",12.51,12.51,11.83,11.92,11.92,"54,600",FEC.TO
