Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",8.88,9.02,8.65,8.7,8.7,"69,100",GTE.TO
"Nov 17, 2023",8.40,8.91,8.4,8.8,8.8,"50,900",GTE.TO
"Nov 16, 2023",8.42,8.46,8.19,8.32,8.32,"54,000",GTE.TO
"Nov 15, 2023",8.71,8.77,8.44,8.47,8.47,"61,800",GTE.TO
"Nov 14, 2023",8.57,8.84,8.57,8.81,8.81,"508,900",GTE.TO
"Nov 13, 2023",8.51,8.71,8.47,8.52,8.52,"51,200",GTE.TO
"Nov 10, 2023",8.51,8.67,8.36,8.59,8.59,"33,800",GTE.TO
"Nov 09, 2023",8.60,8.86,8.35,8.4,8.4,"164,800",GTE.TO
"Nov 08, 2023",8.69,8.69,8.36,8.41,8.41,"49,300",GTE.TO
"Nov 07, 2023",9.26,9.26,8.63,8.68,8.68,"87,700",GTE.TO
"Nov 06, 2023",9.59,9.59,9.31,9.32,9.32,"79,200",GTE.TO
"Nov 03, 2023",9.66,9.79,9.32,9.47,9.47,"58,400",GTE.TO
"Nov 02, 2023",9.24,9.74,9.1,9.74,9.74,"170,300",GTE.TO
"Nov 01, 2023",9.11,9.42,8.84,9.07,9.07,"228,100",GTE.TO
"Oct 31, 2023",8.34,8.72,8.3,8.54,8.54,"114,300",GTE.TO
"Oct 30, 2023",8.65,8.75,8.26,8.37,8.37,"49,600",GTE.TO
"Oct 27, 2023",8.50,8.62,8.28,8.61,8.61,"65,600",GTE.TO
"Oct 26, 2023",8.50,8.54,8.25,8.37,8.37,"61,700",GTE.TO
"Oct 25, 2023",8.33,8.71,8.33,8.67,8.67,"54,600",GTE.TO
"Oct 24, 2023",8.53,8.53,8.2,8.41,8.41,"47,400",GTE.TO
"Oct 23, 2023",8.96,8.96,8.41,8.44,8.44,"48,100",GTE.TO
"Oct 20, 2023",9.06,9.18,8.9,8.96,8.96,"59,900",GTE.TO
"Oct 19, 2023",9.28,9.29,9.1,9.15,9.15,"39,100",GTE.TO
"Oct 18, 2023",9.49,9.49,9.19,9.24,9.24,"19,900",GTE.TO
"Oct 17, 2023",9.02,9.5,9.02,9.42,9.42,"53,400",GTE.TO
"Oct 16, 2023",9.20,9.27,8.98,9.15,9.15,"28,500",GTE.TO
"Oct 13, 2023",9.35,9.5,9.14,9.23,9.23,"52,700",GTE.TO
"Oct 12, 2023",9.13,9.13,8.84,8.96,8.96,"14,000",GTE.TO
"Oct 11, 2023",9.29,9.29,8.96,9.1,9.1,"30,900",GTE.TO
"Oct 10, 2023",8.98,9.29,8.92,9.25,9.25,"114,300",GTE.TO
"Oct 06, 2023",8.25,8.4,8.08,8.34,8.34,"36,400",GTE.TO
"Oct 05, 2023",8.30,8.41,8.11,8.16,8.16,"63,400",GTE.TO
"Oct 04, 2023",8.80,8.81,8.13,8.27,8.27,"118,400",GTE.TO
"Oct 03, 2023",8.75,8.97,8.62,8.95,8.95,"70,000",GTE.TO
"Oct 02, 2023",9.40,9.4,8.64,8.82,8.82,"112,300",GTE.TO
"Sep 29, 2023",9.53,9.75,9.37,9.42,9.42,"37,500",GTE.TO
