Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",0.7100,0.72,0.7,0.7,0.7,"473,400",GXE.TO
"Nov 17, 2023",0.7100,0.74,0.71,0.72,0.72,"492,700",GXE.TO
"Nov 16, 2023",0.7300,0.74,0.69,0.71,0.71,"1,144,700",GXE.TO
"Nov 15, 2023",0.7700,0.77,0.72,0.73,0.73,"887,700",GXE.TO
"Nov 14, 2023",0.7800,0.78,0.76,0.77,0.77,"205,300",GXE.TO
"Nov 13, 2023",0.7900,0.8,0.77,0.79,0.785,"467,400",GXE.TO
"Nov 10, 2023",0.7600,0.79,0.76,0.79,0.785,"601,500",GXE.TO
"Nov 09, 2023",0.7800,0.79,0.77,0.79,0.785,"435,000",GXE.TO
"Nov 08, 2023",0.7800,0.79,0.76,0.78,0.7751,"1,102,500",GXE.TO
"Nov 07, 2023",0.8000,0.8,0.78,0.8,0.7949,"738,900",GXE.TO
"Nov 06, 2023",0.8300,0.83,0.8,0.81,0.8049,"683,600",GXE.TO
"Nov 03, 2023",0.8300,0.83,0.81,0.83,0.8247,"667,700",GXE.TO
"Nov 02, 2023",0.8200,0.83,0.81,0.83,0.8247,"849,300",GXE.TO
"Nov 01, 2023",0.8000,0.82,0.8,0.82,0.8148,"141,100",GXE.TO
"Oct 31, 2023",0.8200,0.82,0.8,0.82,0.8148,"866,400",GXE.TO
"Oct 30, 2023",0.8200,0.83,0.8,0.82,0.8148,"828,100",GXE.TO
"Oct 27, 2023",0.8300,0.83,0.81,0.82,0.8148,"203,500",GXE.TO
"Oct 26, 2023",0.8200,0.83,0.81,0.82,0.8148,"543,400",GXE.TO
"Oct 25, 2023",0.8200,0.83,0.81,0.83,0.8247,"444,300",GXE.TO
"Oct 24, 2023",0.8400,0.84,0.81,0.81,0.8049,"454,800",GXE.TO
"Oct 23, 2023",0.8200,0.83,0.81,0.82,0.8148,"706,200",GXE.TO
"Oct 20, 2023",0.8400,0.84,0.82,0.82,0.8148,"567,700",GXE.TO
"Oct 19, 2023",0.8400,0.85,0.84,0.84,0.8347,"564,500",GXE.TO
"Oct 18, 2023",0.8500,0.86,0.84,0.84,0.8347,"361,300",GXE.TO
"Oct 17, 2023",0.8300,0.86,0.83,0.84,0.8347,"571,500",GXE.TO
"Oct 16, 2023",0.8400,0.85,0.84,0.85,0.8446,"282,400",GXE.TO
"Oct 13, 2023",0.8400,0.85,0.83,0.85,0.8446,"447,200",GXE.TO
"Oct 12, 2023",0.8600,0.86,0.82,0.83,0.8198,"1,642,900",GXE.TO
"Oct 11, 2023",0.8800,0.88,0.84,0.85,0.8395,"1,106,800",GXE.TO
"Oct 10, 2023",0.8700,0.89,0.85,0.87,0.8593,"1,767,200",GXE.TO
"Oct 06, 2023",0.8500,0.86,0.83,0.86,0.8494,"319,500",GXE.TO
"Oct 05, 2023",0.8300,0.85,0.83,0.84,0.8297,"670,100",GXE.TO
