Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",14.0,14.22,13.93,13.97,13.97,"78,600",IPCO.TO
"Nov 17, 2023",13.62,13.98,13.62,13.82,13.82,"34,100",IPCO.TO
"Nov 16, 2023",13.71,13.76,13.4,13.59,13.59,"47,400",IPCO.TO
"Nov 15, 2023",14.1,14.19,13.9,13.98,13.98,"61,700",IPCO.TO
"Nov 14, 2023",13.83,14.24,13.83,14.18,14.18,"79,400",IPCO.TO
"Nov 13, 2023",13.52,13.71,13.52,13.65,13.65,"37,000",IPCO.TO
"Nov 10, 2023",13.76,13.76,13.47,13.64,13.64,"61,300",IPCO.TO
"Nov 09, 2023",13.95,14.03,13.75,13.75,13.75,"66,200",IPCO.TO
"Nov 08, 2023",13.76,14.01,13.69,13.83,13.83,"115,100",IPCO.TO
"Nov 07, 2023",13.92,14.0,13.7,13.95,13.95,"76,300",IPCO.TO
"Nov 06, 2023",14.98,14.98,14.48,14.5,14.5,"93,800",IPCO.TO
"Nov 03, 2023",14.81,14.97,14.68,14.9,14.9,"48,100",IPCO.TO
"Nov 02, 2023",14.5,15.03,14.47,15.0,15.0,"178,700",IPCO.TO
"Nov 01, 2023",14.5,14.5,14.25,14.26,14.26,"171,900",IPCO.TO
"Oct 31, 2023",14.48,14.68,14.21,14.49,14.49,"279,000",IPCO.TO
"Oct 30, 2023",14.22,14.3,13.91,14.01,14.01,"53,500",IPCO.TO
"Oct 27, 2023",14.29,14.3,14.15,14.3,14.3,"99,700",IPCO.TO
"Oct 26, 2023",14.21,14.3,14.06,14.2,14.2,"67,500",IPCO.TO
"Oct 25, 2023",14.16,14.28,14.04,14.27,14.27,"104,800",IPCO.TO
"Oct 24, 2023",14.14,14.21,13.96,14.03,14.03,"40,400",IPCO.TO
"Oct 23, 2023",14.12,14.22,13.99,14.15,14.15,"41,300",IPCO.TO
"Oct 20, 2023",14.3,14.42,14.2,14.2,14.2,"115,000",IPCO.TO
"Oct 19, 2023",14.2,14.46,14.11,14.29,14.29,"70,500",IPCO.TO
"Oct 18, 2023",14.22,14.36,14.09,14.1,14.1,"65,500",IPCO.TO
"Oct 17, 2023",13.93,14.15,13.87,14.09,14.09,"63,000",IPCO.TO
"Oct 16, 2023",13.75,14.0,13.69,13.89,13.89,"68,900",IPCO.TO
"Oct 13, 2023",13.3,13.64,13.3,13.55,13.55,"67,500",IPCO.TO
"Oct 12, 2023",13.17,13.26,13.09,13.09,13.09,"81,400",IPCO.TO
"Oct 11, 2023",13.06,13.12,12.75,12.84,12.84,"54,700",IPCO.TO
"Oct 10, 2023",13.21,13.21,12.8,12.88,12.88,"161,900",IPCO.TO
"Oct 06, 2023",12.2,12.41,12.17,12.4,12.4,"46,700",IPCO.TO
"Oct 05, 2023",11.98,12.15,11.94,12.05,12.05,"117,100",IPCO.TO
"Oct 04, 2023",12.47,12.47,11.75,11.81,11.81,"210,800",IPCO.TO
"Oct 03, 2023",12.63,12.67,12.39,12.64,12.64,"67,100",IPCO.TO
"Oct 02, 2023",13.11,13.11,12.56,12.59,12.59,"53,600",IPCO.TO
"Sep 29, 2023",13.13,13.13,12.9,12.93,12.93,"58,500",IPCO.TO
"Sep 28, 2023",13.06,13.22,13.01,13.11,13.11,"28,900",IPCO.TO
"Sep 27, 2023",12.85,13.08,12.8,13.0,13.0,"41,900",IPCO.TO
"Sep 26, 2023",12.6,12.78,12.6,12.72,12.72,"50,200",IPCO.TO
"Sep 25, 2023",12.6,12.71,12.44,12.7,12.7,"83,000",IPCO.TO
"Sep 22, 2023",12.76,12.81,12.59,12.66,12.66,"44,300",IPCO.TO
"Sep 21, 2023",12.78,12.82,12.63,12.68,12.68,"43,200",IPCO.TO
"Sep 20, 2023",12.97,13.03,12.73,12.73,12.73,"46,900",IPCO.TO
