Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",4.4100,4.41,4.27,4.29,4.29,"56,400",JOY.TO
"Nov 17, 2023",4.2700,4.4,4.24,4.39,4.39,"174,100",JOY.TO
"Nov 16, 2023",4.3800,4.43,4.1,4.23,4.23,"384,600",JOY.TO
"Nov 15, 2023",4.5200,4.52,4.39,4.42,4.42,"186,100",JOY.TO
"Nov 14, 2023",4.5700,4.63,4.51,4.54,4.54,"60,600",JOY.TO
"Nov 13, 2023",4.5800,4.64,4.55,4.57,4.57,"32,900",JOY.TO
"Nov 10, 2023",4.6700,4.67,4.48,4.52,4.52,"60,300",JOY.TO
"Nov 09, 2023",4.5200,4.62,4.51,4.55,4.55,"127,000",JOY.TO
"Nov 08, 2023",4.6000,4.7,4.52,4.54,4.54,"121,400",JOY.TO
"Nov 07, 2023",4.6400,4.74,4.54,4.64,4.64,"128,300",JOY.TO
"Nov 06, 2023",5.0100,5.04,4.72,4.78,4.78,"129,800",JOY.TO
"Nov 03, 2023",5.1100,5.25,4.98,5.02,5.02,"89,200",JOY.TO
"Nov 02, 2023",4.9200,5.11,4.92,5.07,5.07,"82,000",JOY.TO
"Nov 01, 2023",5.0000,5.1,4.94,4.94,4.94,"119,100",JOY.TO
"Oct 31, 2023",4.8700,5.03,4.85,4.98,4.98,"82,700",JOY.TO
"Oct 30, 2023",4.9700,5.08,4.85,4.9,4.9,"67,600",JOY.TO
"Oct 27, 2023",5.0500,5.11,4.96,5.0,5.0,"55,800",JOY.TO
"Oct 26, 2023",4.9100,5.11,4.9,5.09,5.09,"144,900",JOY.TO
"Oct 25, 2023",4.9900,5.09,4.89,4.97,4.97,"73,000",JOY.TO
"Oct 24, 2023",5.1000,5.12,4.95,4.98,4.98,"158,800",JOY.TO
"Oct 23, 2023",5.2600,5.26,5.05,5.08,5.08,"97,700",JOY.TO
"Oct 20, 2023",5.2100,5.28,5.17,5.26,5.26,"88,700",JOY.TO
"Oct 19, 2023",5.2400,5.34,5.2,5.27,5.27,"68,800",JOY.TO
"Oct 18, 2023",5.3500,5.43,5.28,5.28,5.28,"60,800",JOY.TO
"Oct 17, 2023",5.2700,5.39,5.24,5.3,5.3,"51,900",JOY.TO
"Oct 16, 2023",5.4100,5.41,5.24,5.24,5.24,"98,700",JOY.TO
"Oct 13, 2023",5.3900,5.47,5.29,5.41,5.41,"181,000",JOY.TO
"Oct 12, 2023",5.3800,5.38,5.25,5.29,5.29,"57,000",JOY.TO
"Oct 11, 2023",5.4400,5.45,5.23,5.29,5.29,"138,400",JOY.TO
"Oct 10, 2023",5.2100,5.45,5.21,5.43,5.43,"174,500",JOY.TO
