Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",7.25,7.49,7.24,7.38,7.38,"349,300",KEL.TO
"Nov 17, 2023",7.1,7.27,7.1,7.22,7.22,"415,900",KEL.TO
"Nov 16, 2023",7.17,7.17,6.8,7.12,7.12,"467,500",KEL.TO
"Nov 15, 2023",7.28,7.38,7.15,7.16,7.16,"302,800",KEL.TO
"Nov 14, 2023",7.36,7.45,7.2,7.44,7.44,"455,900",KEL.TO
"Nov 13, 2023",7.38,7.46,7.21,7.36,7.36,"1,172,000",KEL.TO
"Nov 10, 2023",7.32,7.39,7.04,7.38,7.38,"619,400",KEL.TO
"Nov 09, 2023",7.4,7.47,7.26,7.27,7.27,"451,800",KEL.TO
"Nov 08, 2023",7.65,7.71,7.37,7.39,7.39,"299,700",KEL.TO
"Nov 07, 2023",7.79,7.85,7.68,7.73,7.73,"265,100",KEL.TO
"Nov 06, 2023",8.15,8.15,7.8,7.91,7.91,"578,300",KEL.TO
"Nov 03, 2023",8.07,8.16,7.92,8.13,8.13,"588,600",KEL.TO
"Nov 02, 2023",8.0,8.07,7.97,8.06,8.06,"447,900",KEL.TO
"Nov 01, 2023",7.95,7.99,7.87,7.96,7.96,"281,700",KEL.TO
"Oct 31, 2023",7.66,7.89,7.6,7.88,7.88,"506,600",KEL.TO
"Oct 30, 2023",7.4,7.69,7.4,7.55,7.55,"465,500",KEL.TO
"Oct 27, 2023",7.28,7.42,7.12,7.41,7.41,"299,300",KEL.TO
"Oct 26, 2023",7.13,7.25,7.03,7.25,7.25,"237,300",KEL.TO
"Oct 25, 2023",7.07,7.23,7.01,7.22,7.22,"200,700",KEL.TO
"Oct 24, 2023",7.27,7.27,7.06,7.09,7.09,"121,600",KEL.TO
"Oct 23, 2023",7.13,7.28,7.04,7.11,7.11,"338,700",KEL.TO
"Oct 20, 2023",7.19,7.27,7.15,7.19,7.19,"196,500",KEL.TO
"Oct 19, 2023",7.26,7.42,7.26,7.36,7.36,"171,900",KEL.TO
"Oct 18, 2023",7.36,7.49,7.3,7.33,7.33,"214,300",KEL.TO
"Oct 17, 2023",7.21,7.35,7.21,7.33,7.33,"280,000",KEL.TO
"Oct 16, 2023",7.29,7.31,7.19,7.24,7.24,"84,700",KEL.TO
"Oct 13, 2023",7.14,7.29,7.11,7.25,7.25,"472,500",KEL.TO
"Oct 12, 2023",7.12,7.15,7.02,7.09,7.09,"197,100",KEL.TO
"Oct 11, 2023",7.08,7.14,7.04,7.06,7.06,"174,400",KEL.TO
"Oct 10, 2023",7.0,7.15,6.98,7.13,7.13,"591,000",KEL.TO
"Oct 06, 2023",6.73,6.87,6.63,6.86,6.86,"114,800",KEL.TO
"Oct 05, 2023",6.64,6.77,6.64,6.72,6.72,"197,700",KEL.TO
"Oct 04, 2023",6.86,6.87,6.7,6.72,6.72,"263,600",KEL.TO
"Oct 03, 2023",6.9,7.0,6.87,6.94,6.94,"1,028,900",KEL.TO
"Oct 02, 2023",7.24,7.24,6.89,6.95,6.95,"579,300",KEL.TO
"Sep 29, 2023",7.18,7.31,7.15,7.25,7.25,"350,900",KEL.TO
"Sep 28, 2023",7.11,7.23,7.03,7.15,7.15,"245,800",KEL.TO
"Sep 27, 2023",7.25,7.25,7.14,7.18,7.18,"193,900",KEL.TO
"Sep 26, 2023",7.07,7.19,7.04,7.14,7.14,"189,200",KEL.TO
"Sep 25, 2023",6.96,7.14,6.96,7.1,7.1,"166,300",KEL.TO
"Sep 22, 2023",6.91,7.06,6.9,6.98,6.98,"282,500",KEL.TO
"Sep 21, 2023",7.08,7.08,6.86,6.87,6.87,"259,800",KEL.TO
"Sep 20, 2023",7.11,7.23,7.05,7.05,7.05,"146,500",KEL.TO
"Sep 19, 2023",7.35,7.35,7.15,7.19,7.19,"93,200",KEL.TO
"Sep 18, 2023",7.44,7.44,7.23,7.3,7.3,"155,200",KEL.TO
"Sep 15, 2023",7.34,7.47,7.34,7.42,7.42,"402,300",KEL.TO
"Sep 14, 2023",7.36,7.43,7.33,7.39,7.39,"198,100",KEL.TO
"Sep 13, 2023",7.5,7.5,7.22,7.25,7.25,"213,300",KEL.TO
"Sep 12, 2023",7.38,7.49,7.34,7.49,7.49,"297,100",KEL.TO
"Sep 11, 2023",7.31,7.38,7.25,7.32,7.32,"334,000",KEL.TO
"Sep 08, 2023",7.09,7.33,7.09,7.28,7.28,"616,700",KEL.TO
"Sep 07, 2023",7.03,7.1,6.91,7.03,7.03,"226,600",KEL.TO
"Sep 06, 2023",7.15,7.18,7.07,7.07,7.07,"173,900",KEL.TO
"Sep 05, 2023",7.25,7.25,7.13,7.19,7.19,"263,400",KEL.TO
"Sep 01, 2023",7.05,7.34,6.98,7.22,7.22,"736,000",KEL.TO
"Aug 31, 2023",6.95,7.03,6.85,7.02,7.02,"421,500",KEL.TO
"Aug 30, 2023",6.83,6.92,6.83,6.89,6.89,"119,400",KEL.TO
"Aug 29, 2023",6.75,6.86,6.74,6.8,6.8,"145,300",KEL.TO
"Aug 28, 2023",6.8,6.81,6.72,6.75,6.75,"264,600",KEL.TO
"Aug 25, 2023",6.79,6.84,6.7,6.76,6.76,"278,500",KEL.TO
"Aug 24, 2023",6.73,6.8,6.67,6.74,6.74,"172,400",KEL.TO
"Aug 23, 2023",6.7,6.89,6.64,6.81,6.81,"415,500",KEL.TO
"Aug 22, 2023",6.8,6.91,6.78,6.8,6.8,"292,300",KEL.TO
"Aug 21, 2023",6.87,6.93,6.78,6.8,6.8,"257,500",KEL.TO
"Aug 18, 2023",6.65,6.89,6.63,6.85,6.85,"512,000",KEL.TO
"Aug 17, 2023",6.75,6.83,6.71,6.72,6.72,"295,900",KEL.TO
"Aug 16, 2023",6.71,6.76,6.67,6.7,6.7,"175,200",KEL.TO
"Aug 15, 2023",6.85,6.87,6.7,6.72,6.72,"173,800",KEL.TO
"Aug 14, 2023",6.81,6.93,6.77,6.9,6.9,"239,400",KEL.TO
"Aug 11, 2023",6.95,7.01,6.83,6.87,6.87,"318,100",KEL.TO
"Aug 10, 2023",6.95,7.03,6.85,6.93,6.93,"359,100",KEL.TO
"Aug 09, 2023",7.06,7.12,6.9,6.91,6.91,"786,200",KEL.TO
"Aug 08, 2023",6.86,7.05,6.7,7.0,7.0,"709,100",KEL.TO
"Aug 04, 2023",6.71,7.06,6.65,6.93,6.93,"844,700",KEL.TO
"Aug 03, 2023",6.3,6.69,6.21,6.68,6.68,"524,200",KEL.TO
"Aug 02, 2023",6.4,6.44,6.15,6.35,6.35,"496,900",KEL.TO
"Aug 01, 2023",6.37,6.52,6.32,6.43,6.43,"371,900",KEL.TO
"Jul 31, 2023",6.29,6.42,6.26,6.37,6.37,"560,800",KEL.TO
"Jul 28, 2023",6.13,6.26,6.13,6.23,6.23,"733,200",KEL.TO
"Jul 27, 2023",6.3,6.31,6.14,6.14,6.14,"346,200",KEL.TO
"Jul 26, 2023",6.22,6.31,6.22,6.23,6.23,"202,800",KEL.TO
"Jul 25, 2023",6.23,6.29,6.18,6.27,6.27,"1,132,600",KEL.TO
"Jul 24, 2023",6.13,6.31,6.13,6.29,6.29,"525,400",KEL.TO
"Jul 21, 2023",6.19,6.23,6.09,6.11,6.11,"193,300",KEL.TO
"Jul 20, 2023",6.23,6.27,6.09,6.19,6.19,"912,900",KEL.TO
"Jul 19, 2023",6.11,6.24,6.08,6.2,6.2,"584,900",KEL.TO
"Jul 18, 2023",5.98,6.25,5.97,6.1,6.1,"700,200",KEL.TO
"Jul 17, 2023",5.96,6.03,5.91,5.95,5.95,"333,700",KEL.TO
"Jul 14, 2023",6.0,6.03,5.87,6.0,6.0,"628,700",KEL.TO
"Jul 13, 2023",6.12,6.12,5.99,6.01,6.01,"208,400",KEL.TO
"Jul 12, 2023",6.24,6.24,6.06,6.11,6.11,"326,300",KEL.TO
"Jul 11, 2023",6.21,6.24,6.16,6.17,6.17,"322,000",KEL.TO
"Jul 10, 2023",6.18,6.32,6.14,6.18,6.18,"1,274,700",KEL.TO
"Jul 07, 2023",5.83,6.18,5.83,6.18,6.18,"940,500",KEL.TO
