Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",1.5000,1.5100,1.4700,1.4900,1.4900,"328,900",PNE.TO
"Nov 17, 2023",1.4900,1.5000,1.4700,1.4700,1.4700,"84,600",PNE.TO
"Nov 16, 2023",1.5000,1.5000,1.4600,1.4900,1.4900,"473,000",PNE.TO
"Nov 15, 2023",1.5400,1.5500,1.5000,1.5100,1.5100,"119,800",PNE.TO
"Nov 14, 2023",1.5700,1.5900,1.5300,1.5400,1.5400,"107,900",PNE.TO
"Nov 13, 2023",1.5300,1.5700,1.5300,1.5600,1.5490,"123,500",PNE.TO
"Nov 10, 2023",1.5200,1.5500,1.5200,1.5400,1.5291,"51,600",PNE.TO
"Nov 09, 2023",1.5600,1.5600,1.5200,1.5300,1.5192,"107,100",PNE.TO
"Nov 08, 2023",1.5500,1.5700,1.5000,1.5400,1.5291,"431,400",PNE.TO
"Nov 07, 2023",1.5700,1.5900,1.5500,1.5600,1.5490,"190,200",PNE.TO
"Nov 06, 2023",1.6400,1.6400,1.5900,1.6000,1.5887,"155,400",PNE.TO
"Nov 03, 2023",1.6600,1.6700,1.6100,1.6300,1.6185,"480,100",PNE.TO
"Nov 02, 2023",1.6000,1.6800,1.6000,1.6500,1.6384,"964,100",PNE.TO
"Nov 01, 2023",1.5400,1.6100,1.5400,1.6000,1.5887,"905,100",PNE.TO
"Oct 31, 2023",1.4600,1.5400,1.4600,1.5400,1.5291,"802,100",PNE.TO
"Oct 30, 2023",1.4100,1.4600,1.4100,1.4400,1.4298,"164,600",PNE.TO
"Oct 27, 2023",1.4200,1.4400,1.4200,1.4400,1.4298,"494,900",PNE.TO
"Oct 26, 2023",1.4100,1.4200,1.4000,1.4000,1.3901,"134,800",PNE.TO
"Oct 25, 2023",1.4400,1.4400,1.4100,1.4100,1.4001,"156,900",PNE.TO
"Oct 24, 2023",1.4300,1.4500,1.4200,1.4300,1.4199,"169,000",PNE.TO
"Oct 23, 2023",1.4800,1.4900,1.4300,1.4400,1.4298,"174,200",PNE.TO
"Oct 20, 2023",1.5000,1.5000,1.4800,1.4800,1.4696,"107,700",PNE.TO
"Oct 19, 2023",1.5000,1.5200,1.5000,1.5100,1.4994,"108,900",PNE.TO
"Oct 18, 2023",1.5300,1.5300,1.5000,1.5000,1.4894,"100,300",PNE.TO
"Oct 17, 2023",1.5100,1.5300,1.5100,1.5100,1.4994,"103,900",PNE.TO
"Oct 16, 2023",1.4900,1.5200,1.4700,1.5000,1.4894,"185,000",PNE.TO
"Oct 13, 2023",1.4900,1.5000,1.4700,1.4800,1.4696,"319,600",PNE.TO
"Oct 12, 2023",1.4900,1.4900,1.4700,1.4900,1.4686,"135,600",PNE.TO
"Oct 11, 2023",1.4900,1.4900,1.4600,1.4800,1.4587,"282,100",PNE.TO
"Oct 10, 2023",1.4600,1.5000,1.4500,1.4900,1.4686,"663,800",PNE.TO
"Oct 06, 2023",1.4000,1.4500,1.4000,1.4400,1.4193,"60,600",PNE.TO
"Oct 05, 2023",1.3800,1.4400,1.3800,1.4300,1.4094,"183,000",PNE.TO
"Oct 04, 2023",1.4000,1.4000,1.3800,1.3800,1.3602,"189,200",PNE.TO
"Oct 03, 2023",1.4000,1.4000,1.3800,1.3900,1.3700,"256,000",PNE.TO
"Oct 02, 2023",1.4100,1.4200,1.3800,1.4100,1.3897,"188,300",PNE.TO
"Sep 29, 2023",1.4600,1.4600,1.4100,1.4400,1.4193,"209,100",PNE.TO
"Sep 28, 2023",1.4500,1.4600,1.4400,1.4500,1.4291,"299,300",PNE.TO
"Sep 27, 2023",1.4600,1.4600,1.4500,1.4500,1.4291,"158,900",PNE.TO
"Sep 26, 2023",1.4500,1.4600,1.4500,1.4600,1.4390,"68,400",PNE.TO
"Sep 25, 2023",1.4500,1.4600,1.4500,1.4500,1.4291,"128,700",PNE.TO
"Sep 22, 2023",1.4500,1.4700,1.4400,1.4500,1.4291,"160,300",PNE.TO
"Sep 21, 2023",1.4500,1.4500,1.4100,1.4300,1.4094,"340,300",PNE.TO
"Sep 20, 2023",1.4400,1.4600,1.4400,1.4500,1.4291,"182,300",PNE.TO
"Sep 19, 2023",1.4300,1.4400,1.4100,1.4400,1.4193,"360,700",PNE.TO
