Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",28.00,28.21,27.66,27.75,27.75,"218,800",POU.TO
"Nov 17, 2023",27.40,27.94,27.18,27.65,27.65,"157,300",POU.TO
"Nov 16, 2023",27.40,27.54,26.58,27.05,27.05,"292,800",POU.TO
"Nov 15, 2023",27.89,28.15,27.56,27.59,27.59,"168,600",POU.TO
"Nov 14, 2023",28.32,28.58,27.96,28.11,28.11,"241,700",POU.TO
"Nov 13, 2023",28.69,28.89,28.12,28.22,28.09,"203,400",POU.TO
"Nov 10, 2023",28.65,28.83,28.51,28.80,28.67,"191,200",POU.TO
"Nov 09, 2023",28.56,29.39,28.36,28.41,28.28,"290,600",POU.TO
"Nov 08, 2023",29.15,29.40,28.19,28.35,28.22,"407,300",POU.TO
"Nov 07, 2023",30.96,31.10,29.29,29.34,29.21,"431,700",POU.TO
"Nov 06, 2023",31.64,31.77,30.80,31.26,31.12,"315,900",POU.TO
"Nov 03, 2023",33.19,33.19,31.35,31.43,31.29,"544,300",POU.TO
"Nov 02, 2023",33.29,33.47,31.95,33.01,32.86,"591,200",POU.TO
"Nov 01, 2023",33.34,33.63,33.11,33.56,33.41,"185,600",POU.TO
"Oct 31, 2023",33.50,33.80,33.14,33.33,33.18,"266,500",POU.TO
"Oct 30, 2023",33.40,33.65,33.04,33.14,32.99,"107,700",POU.TO
"Oct 27, 2023",33.00,33.27,32.55,33.27,33.12,"171,600",POU.TO
"Oct 26, 2023",32.60,33.11,32.36,32.86,32.71,"283,700",POU.TO
"Oct 25, 2023",32.67,33.00,32.17,32.72,32.58,"191,100",POU.TO
"Oct 24, 2023",32.62,32.76,32.27,32.66,32.52,"155,300",POU.TO
"Oct 23, 2023",32.00,32.75,31.93,32.53,32.39,"161,600",POU.TO
"Oct 20, 2023",32.48,32.54,32.27,32.34,32.20,"111,000",POU.TO
"Oct 19, 2023",31.99,32.56,31.89,32.52,32.38,"205,700",POU.TO
"Oct 18, 2023",31.03,32.36,31.03,32.30,32.16,"305,000",POU.TO
"Oct 17, 2023",30.31,30.92,30.11,30.91,30.77,"244,100",POU.TO
"Oct 16, 2023",30.34,30.39,29.73,30.19,30.06,"282,300",POU.TO
"Oct 13, 2023",30.52,30.52,30.00,30.15,30.02,"444,600",POU.TO
"Oct 12, 2023",30.45,30.53,29.72,29.93,29.67,"210,600",POU.TO
"Oct 11, 2023",30.59,30.89,29.98,30.19,29.93,"227,900",POU.TO
"Oct 10, 2023",30.71,31.02,30.48,30.81,30.55,"316,300",POU.TO
"Oct 06, 2023",29.80,30.18,29.25,30.03,29.77,"171,600",POU.TO
"Oct 05, 2023",29.70,30.38,29.40,29.76,29.50,"204,800",POU.TO
"Oct 04, 2023",31.08,31.35,29.87,29.95,29.69,"375,200",POU.TO
"Oct 03, 2023",30.70,31.52,30.70,31.49,31.22,"185,600",POU.TO
"Oct 02, 2023",32.32,32.32,30.63,30.88,30.61,"450,200",POU.TO
"Sep 29, 2023",32.60,32.78,32.22,32.25,31.97,"185,900",POU.TO
"Sep 28, 2023",32.50,32.92,32.35,32.56,32.28,"191,400",POU.TO
"Sep 27, 2023",32.55,32.82,32.37,32.43,32.15,"173,100",POU.TO
"Sep 26, 2023",31.90,32.48,31.90,32.16,31.88,"154,200",POU.TO
"Sep 25, 2023",31.76,32.36,31.74,32.13,31.85,"208,100",POU.TO
"Sep 22, 2023",32.04,32.25,31.76,31.85,31.58,"154,800",POU.TO
"Sep 21, 2023",32.43,32.45,31.70,31.83,31.56,"222,400",POU.TO
"Sep 20, 2023",32.29,32.75,32.05,32.42,32.14,"218,800",POU.TO
"Sep 19, 2023",33.10,33.33,32.40,32.51,32.23,"173,500",POU.TO
"Sep 18, 2023",33.50,33.50,32.76,32.97,32.69,"193,900",POU.TO
"Sep 15, 2023",33.40,33.80,33.39,33.50,33.21,"258,000",POU.TO
"Sep 14, 2023",33.01,33.59,33.01,33.52,33.23,"121,200",POU.TO
"Sep 13, 2023",33.49,33.49,32.51,32.75,32.34,"224,400",POU.TO
"Sep 12, 2023",33.13,33.58,33.07,33.32,32.91,"115,900",POU.TO
"Sep 11, 2023",33.38,33.70,32.88,32.94,32.53,"110,200",POU.TO
"Sep 08, 2023",33.13,33.63,33.13,33.26,32.85,"261,900",POU.TO
"Sep 07, 2023",32.87,33.41,32.87,33.01,32.60,"299,400",POU.TO
"Sep 06, 2023",32.53,32.95,32.53,32.84,32.43,"124,200",POU.TO
"Sep 05, 2023",32.31,32.84,32.31,32.64,32.24,"195,300",POU.TO
"Sep 01, 2023",31.68,32.41,31.68,32.21,31.81,"157,200",POU.TO
"Aug 31, 2023",31.30,31.41,31.09,31.30,30.91,"153,700",POU.TO
"Aug 30, 2023",31.07,31.32,30.97,31.00,30.62,"101,800",POU.TO
"Aug 29, 2023",30.73,31.08,30.59,30.93,30.55,"169,300",POU.TO
"Aug 28, 2023",30.65,31.04,30.53,30.63,30.25,"82,500",POU.TO
"Aug 25, 2023",30.39,30.86,30.37,30.57,30.19,"155,900",POU.TO
"Aug 24, 2023",30.99,31.13,30.29,30.37,29.99,"190,500",POU.TO
"Aug 23, 2023",31.48,31.52,31.02,31.13,30.74,"250,000",POU.TO
"Aug 22, 2023",31.83,32.14,31.62,31.70,31.31,"156,500",POU.TO
"Aug 21, 2023",31.99,32.32,31.65,31.76,31.37,"196,300",POU.TO
"Aug 18, 2023",31.98,32.13,31.74,31.87,31.48,"206,700",POU.TO
"Aug 17, 2023",32.25,32.42,32.01,32.12,31.72,"158,700",POU.TO
"Aug 16, 2023",32.20,32.73,31.91,31.97,31.57,"187,000",POU.TO
"Aug 15, 2023",32.52,32.52,32.04,32.20,31.80,"221,400",POU.TO
"Aug 14, 2023",32.68,32.97,32.37,32.76,32.35,"86,000",POU.TO
"Aug 11, 2023",32.62,33.05,32.55,32.87,32.34,"202,800",POU.TO
"Aug 10, 2023",32.74,32.76,32.43,32.62,32.09,"197,200",POU.TO
"Aug 09, 2023",32.49,33.02,32.47,32.64,32.11,"296,500",POU.TO
"Aug 08, 2023",32.13,32.37,31.87,32.20,31.68,"185,000",POU.TO
"Aug 04, 2023",31.97,32.61,31.58,32.42,31.90,"202,200",POU.TO
"Aug 03, 2023",31.50,31.99,31.13,31.72,31.21,"201,200",POU.TO
"Aug 02, 2023",31.71,31.96,30.76,31.25,30.75,"284,600",POU.TO
"Aug 01, 2023",31.13,31.88,30.73,31.87,31.36,"247,900",POU.TO
"Jul 31, 2023",30.91,31.53,30.91,31.17,30.67,"343,100",POU.TO
"Jul 28, 2023",29.25,30.96,29.11,30.92,30.42,"447,400",POU.TO
"Jul 27, 2023",29.56,29.78,29.13,29.25,28.78,"175,500",POU.TO
