Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",1.4000,1.4200,1.3700,1.3800,1.3800,"25,000",PRQ.TO
"Nov 17, 2023",1.3600,1.3900,1.3600,1.3700,1.3700,"22,900",PRQ.TO
"Nov 16, 2023",1.4400,1.4400,1.2700,1.3300,1.3300,"83,000",PRQ.TO
"Nov 15, 2023",1.4300,1.4400,1.3600,1.4000,1.4000,"31,600",PRQ.TO
"Nov 14, 2023",1.4500,1.4600,1.4000,1.4600,1.4600,"24,900",PRQ.TO
"Nov 13, 2023",1.3600,1.4400,1.3500,1.4300,1.4300,"65,300",PRQ.TO
"Nov 10, 2023",1.2900,1.3800,1.2800,1.3100,1.3100,"106,000",PRQ.TO
"Nov 09, 2023",1.2200,1.3600,1.2200,1.2900,1.2900,"121,700",PRQ.TO
"Nov 08, 2023",1.2300,1.2300,1.1100,1.1900,1.1900,"75,300",PRQ.TO
"Nov 07, 2023",1.2200,1.2200,1.2000,1.2000,1.2000,"11,000",PRQ.TO
"Nov 06, 2023",1.2200,1.2400,1.2100,1.2300,1.2300,"26,800",PRQ.TO
"Nov 03, 2023",1.2300,1.2300,1.1800,1.2100,1.2100,"56,800",PRQ.TO
"Nov 02, 2023",1.2200,1.3000,1.1900,1.2300,1.2300,"87,200",PRQ.TO
"Nov 01, 2023",1.1800,1.2700,1.1500,1.2200,1.2200,"200,900",PRQ.TO
"Oct 31, 2023",1.3700,1.3700,1.1500,1.1500,1.1500,"473,900",PRQ.TO
"Oct 30, 2023",1.4200,1.4400,1.2800,1.3500,1.3500,"77,100",PRQ.TO
"Oct 27, 2023",1.4500,1.4500,1.3800,1.3900,1.3900,"36,300",PRQ.TO
"Oct 26, 2023",1.4000,1.4000,1.3800,1.3800,1.3800,"4,500",PRQ.TO
"Oct 25, 2023",1.4400,1.4400,1.4000,1.4000,1.4000,"36,100",PRQ.TO
"Oct 24, 2023",1.4100,1.4400,1.4000,1.4400,1.4100,"18,500",PRQ.TO
"Oct 23, 2023",1.4300,1.4500,1.4100,1.4100,1.3806,"25,500",PRQ.TO
"Oct 20, 2023",1.4500,1.4500,1.4000,1.4200,1.3904,"33,600",PRQ.TO
"Oct 19, 2023",1.4600,1.4600,1.4200,1.4400,1.4100,"20,400",PRQ.TO
"Oct 18, 2023",1.5200,1.5200,1.4500,1.4500,1.4198,"44,500",PRQ.TO
"Oct 17, 2023",1.5500,1.5600,1.5000,1.5300,1.4981,"69,200",PRQ.TO
"Oct 16, 2023",1.5800,1.6000,1.5600,1.5700,1.5373,"24,600",PRQ.TO
"Oct 13, 2023",1.5900,1.6100,1.5700,1.5900,1.5569,"33,900",PRQ.TO
"Oct 12, 2023",1.5400,1.6300,1.5200,1.5600,1.5275,"42,700",PRQ.TO
"Oct 11, 2023",1.5200,1.6500,1.5200,1.5700,1.5373,"82,800",PRQ.TO
"Oct 10, 2023",1.4000,1.4600,1.4000,1.4500,1.4198,"12,100",PRQ.TO
"Oct 06, 2023",1.3600,1.4100,1.3500,1.3800,1.3513,"65,100",PRQ.TO
"Oct 05, 2023",1.3400,1.3500,1.3200,1.3300,1.3023,"29,700",PRQ.TO
"Oct 04, 2023",1.4100,1.4100,1.3200,1.3300,1.3023,"12,300",PRQ.TO
"Oct 03, 2023",1.4300,1.4300,1.3200,1.3650,1.3366,"75,200",PRQ.TO
"Oct 02, 2023",1.4700,1.4900,1.4350,1.4400,1.4100,"28,500",PRQ.TO
"Sep 29, 2023",1.4300,1.4400,1.4300,1.4300,1.4002,"3,600",PRQ.TO
"Sep 28, 2023",1.4300,1.4700,1.4100,1.4100,1.3806,"86,000",PRQ.TO
"Sep 27, 2023",1.3900,1.4400,1.3600,1.3900,1.3610,"38,900",PRQ.TO
"Sep 26, 2023",1.4300,1.4300,1.3200,1.3700,1.3415,"28,400",PRQ.TO
"Sep 25, 2023",1.3500,1.4200,1.3200,1.4200,1.3904,"27,500",PRQ.TO
"Sep 22, 2023",1.3800,1.4000,1.3600,1.3600,1.3317,"36,300",PRQ.TO
"Sep 21, 2023",1.3700,1.3900,1.3600,1.3600,1.3317,"18,500",PRQ.TO
"Sep 20, 2023",1.4500,1.4500,1.3900,1.3900,1.3610,"31,700",PRQ.TO
"Sep 19, 2023",1.4900,1.4900,1.3900,1.4300,1.4002,"132,700",PRQ.TO
"Sep 18, 2023",1.4900,1.5000,1.4800,1.4900,1.4590,"14,300",PRQ.TO
