Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",23.77,23.81,23.49,23.73,23.73,"234,500",PSK.TO
"Nov 17, 2023",23.79,24.02,23.61,23.66,23.66,"169,500",PSK.TO
"Nov 16, 2023",24.21,24.21,23.54,23.77,23.77,"461,300",PSK.TO
"Nov 15, 2023",24.62,24.62,24.18,24.22,24.22,"135,400",PSK.TO
"Nov 14, 2023",24.45,24.57,24.13,24.41,24.41,"197,500",PSK.TO
"Nov 13, 2023",24.22,24.56,24.21,24.41,24.41,"175,900",PSK.TO
"Nov 10, 2023",24.26,24.46,24.05,24.27,24.27,"205,300",PSK.TO
"Nov 09, 2023",24.31,24.74,24.1,24.12,24.12,"302,700",PSK.TO
"Nov 08, 2023",24.27,24.43,24.1,24.25,24.25,"337,800",PSK.TO
"Nov 07, 2023",24.41,24.65,24.14,24.43,24.43,"687,900",PSK.TO
"Nov 06, 2023",24.76,24.76,24.44,24.73,24.73,"326,800",PSK.TO
"Nov 03, 2023",24.96,25.12,24.54,24.75,24.75,"240,900",PSK.TO
"Nov 02, 2023",24.61,25.31,24.61,25.01,25.01,"337,900",PSK.TO
"Nov 01, 2023",24.46,24.81,24.31,24.76,24.76,"310,600",PSK.TO
"Oct 31, 2023",24.17,24.35,24.02,24.35,24.35,"615,500",PSK.TO
"Oct 30, 2023",24.04,24.32,23.89,24.09,24.09,"196,700",PSK.TO
"Oct 27, 2023",24.35,24.44,24.03,24.1,24.1,"281,300",PSK.TO
"Oct 26, 2023",24.67,24.78,24.29,24.31,24.31,"437,800",PSK.TO
"Oct 25, 2023",24.97,25.14,24.47,24.91,24.91,"455,100",PSK.TO
"Oct 24, 2023",24.47,24.94,23.99,24.45,24.45,"516,600",PSK.TO
"Oct 23, 2023",24.12,24.46,23.93,24.43,24.43,"319,200",PSK.TO
"Oct 20, 2023",24.29,24.41,24.08,24.2,24.2,"429,000",PSK.TO
"Oct 19, 2023",24.60,24.75,24.32,24.37,24.37,"192,600",PSK.TO
"Oct 18, 2023",25.14,25.14,24.55,24.6,24.6,"181,200",PSK.TO
"Oct 17, 2023",25.06,25.12,24.87,25.02,25.02,"307,200",PSK.TO
"Oct 16, 2023",25.26,25.28,24.97,25.1,25.1,"326,400",PSK.TO
"Oct 13, 2023",25.19,25.21,24.98,25.12,25.12,"163,700",PSK.TO
"Oct 12, 2023",25.14,25.15,24.81,24.88,24.88,"179,200",PSK.TO
"Oct 11, 2023",24.95,25.06,24.58,25.01,25.01,"195,700",PSK.TO
"Oct 10, 2023",25.09,25.13,24.88,24.96,24.96,"488,700",PSK.TO
"Oct 06, 2023",24.19,24.54,24.03,24.43,24.43,"304,200",PSK.TO
"Oct 05, 2023",24.08,24.61,23.99,24.16,24.16,"338,700",PSK.TO
"Oct 04, 2023",24.04,24.31,23.74,24.13,24.13,"289,400",PSK.TO
"Oct 03, 2023",24.51,24.51,24.03,24.29,24.29,"303,100",PSK.TO
"Oct 02, 2023",24.80,24.91,24.22,24.61,24.61,"376,900",PSK.TO
"Sep 29, 2023",25.17,25.38,24.77,24.96,24.96,"569,000",PSK.TO
"Sep 28, 2023",25.10,25.4,24.79,25.08,25.08,"228,900",PSK.TO
"Sep 27, 2023",25.34,25.36,25.11,25.26,25.02,"426,100",PSK.TO
"Sep 26, 2023",25.48,25.73,25.09,25.16,24.92,"310,200",PSK.TO
"Sep 25, 2023",25.14,25.47,25.11,25.45,25.21,"407,300",PSK.TO
"Sep 22, 2023",25.16,25.19,24.94,25.15,24.91,"263,000",PSK.TO
"Sep 21, 2023",25.17,25.37,24.95,24.96,24.72,"369,200",PSK.TO
"Sep 20, 2023",25.11,25.44,25.11,25.15,24.91,"374,800",PSK.TO
"Sep 19, 2023",25.74,25.86,25.16,25.24,25.0,"263,600",PSK.TO
"Sep 18, 2023",25.47,25.73,25.34,25.61,25.37,"356,900",PSK.TO
"Sep 15, 2023",25.02,25.45,24.97,25.36,25.12,"857,800",PSK.TO
"Sep 14, 2023",25.32,25.32,24.65,25.13,24.89,"369,900",PSK.TO
"Sep 13, 2023",25.43,25.52,24.5,25.11,24.87,"487,800",PSK.TO
"Sep 12, 2023",25.23,25.45,25.15,25.34,25.1,"874,600",PSK.TO
"Sep 11, 2023",25.80,25.8,25.13,25.2,24.96,"200,900",PSK.TO
"Sep 08, 2023",25.77,25.85,25.6,25.7,25.46,"167,700",PSK.TO
"Sep 07, 2023",26.04,26.29,25.67,25.68,25.44,"404,500",PSK.TO
"Sep 06, 2023",25.79,25.89,25.25,25.52,25.28,"397,500",PSK.TO
