Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",3.3700,3.5,3.33,3.35,3.35,"194,200",SDE.TO
"Nov 17, 2023",3.5400,3.57,3.45,3.46,3.46,"191,500",SDE.TO
"Nov 16, 2023",3.6500,3.66,3.4,3.53,3.53,"398,200",SDE.TO
"Nov 15, 2023",3.7100,3.71,3.63,3.66,3.66,"255,100",SDE.TO
"Nov 14, 2023",3.7000,3.71,3.65,3.7,3.7,"251,300",SDE.TO
"Nov 13, 2023",3.7100,3.74,3.64,3.65,3.65,"186,900",SDE.TO
"Nov 10, 2023",3.6900,3.77,3.63,3.74,3.74,"372,100",SDE.TO
"Nov 09, 2023",3.6000,3.67,3.53,3.62,3.62,"802,500",SDE.TO
"Nov 08, 2023",4.0600,4.06,3.43,3.57,3.57,"1,251,200",SDE.TO
"Nov 07, 2023",4.3000,4.3,4.1,4.12,4.12,"360,000",SDE.TO
"Nov 06, 2023",4.4900,4.52,4.28,4.34,4.34,"181,200",SDE.TO
"Nov 03, 2023",4.4900,4.49,4.41,4.44,4.44,"321,000",SDE.TO
"Nov 02, 2023",4.4300,4.46,4.38,4.46,4.46,"483,200",SDE.TO
"Nov 01, 2023",4.4400,4.48,4.37,4.39,4.39,"211,000",SDE.TO
"Oct 31, 2023",4.3800,4.5,4.34,4.46,4.46,"263,100",SDE.TO
"Oct 30, 2023",4.4500,4.47,4.37,4.38,4.38,"149,700",SDE.TO
"Oct 27, 2023",4.4600,4.5,4.37,4.46,4.46,"239,400",SDE.TO
"Oct 26, 2023",4.3600,4.46,4.32,4.46,4.46,"185,000",SDE.TO
"Oct 25, 2023",4.3600,4.43,4.3,4.38,4.38,"300,700",SDE.TO
"Oct 24, 2023",4.3600,4.5,4.3,4.35,4.35,"470,100",SDE.TO
"Oct 23, 2023",4.2500,4.35,4.19,4.3,4.3,"176,100",SDE.TO
"Oct 20, 2023",4.3300,4.36,4.25,4.26,4.26,"142,400",SDE.TO
"Oct 19, 2023",4.2000,4.32,4.18,4.26,4.26,"155,900",SDE.TO
"Oct 18, 2023",4.2700,4.31,4.2,4.21,4.21,"178,600",SDE.TO
"Oct 17, 2023",4.1500,4.3,4.1,4.26,4.26,"236,600",SDE.TO
"Oct 16, 2023",4.1700,4.18,4.04,4.17,4.17,"144,000",SDE.TO
"Oct 13, 2023",4.1100,4.18,4.09,4.14,4.14,"312,500",SDE.TO
"Oct 12, 2023",4.0400,4.08,3.99,4.05,4.05,"183,900",SDE.TO
"Oct 11, 2023",4.1100,4.13,4.01,4.03,4.03,"134,000",SDE.TO
"Oct 10, 2023",4.0100,4.15,4.01,4.09,4.09,"367,700",SDE.TO
"Oct 06, 2023",3.8100,3.9,3.72,3.88,3.88,"207,300",SDE.TO
"Oct 05, 2023",3.7300,3.82,3.63,3.81,3.81,"343,900",SDE.TO
"Oct 04, 2023",3.8700,3.87,3.76,3.81,3.81,"283,700",SDE.TO
"Oct 03, 2023",3.7700,3.91,3.75,3.88,3.88,"543,100",SDE.TO
"Oct 02, 2023",4.0200,4.03,3.8,3.8,3.8,"356,100",SDE.TO
"Sep 29, 2023",4.0500,4.07,4.01,4.05,4.05,"312,900",SDE.TO
"Sep 28, 2023",4.0600,4.12,4.02,4.04,4.04,"154,200",SDE.TO
"Sep 27, 2023",4.0600,4.14,4.03,4.05,4.05,"629,900",SDE.TO
"Sep 26, 2023",3.9500,4.0,3.9,3.93,3.93,"411,400",SDE.TO
"Sep 25, 2023",4.0200,4.04,3.97,3.99,3.99,"475,000",SDE.TO
"Sep 22, 2023",4.0700,4.07,3.94,4.03,4.03,"420,400",SDE.TO
"Sep 21, 2023",4.1100,4.12,3.96,3.98,3.98,"752,100",SDE.TO
"Sep 20, 2023",4.2000,4.25,4.1,4.12,4.12,"252,100",SDE.TO
"Sep 19, 2023",4.2500,4.3,4.16,4.26,4.26,"530,700",SDE.TO
"Sep 18, 2023",4.2300,4.29,4.18,4.26,4.26,"282,000",SDE.TO
"Sep 15, 2023",4.1300,4.25,4.08,4.21,4.21,"5,774,500",SDE.TO
"Sep 14, 2023",4.1100,4.18,4.11,4.17,4.17,"237,600",SDE.TO
"Sep 13, 2023",4.2000,4.2,4.07,4.07,4.07,"319,800",SDE.TO
"Sep 12, 2023",4.1200,4.2,4.11,4.18,4.18,"400,500",SDE.TO
"Sep 11, 2023",4.2100,4.24,4.06,4.1,4.1,"439,300",SDE.TO
"Sep 08, 2023",4.3100,4.31,4.2,4.2,4.2,"274,400",SDE.TO
"Sep 07, 2023",4.3700,4.38,4.22,4.24,4.24,"312,100",SDE.TO
"Sep 06, 2023",4.4000,4.47,4.37,4.39,4.39,"338,400",SDE.TO
"Sep 05, 2023",4.3800,4.43,4.31,4.38,4.38,"344,100",SDE.TO
"Sep 01, 2023",4.2800,4.45,4.28,4.4,4.4,"531,700",SDE.TO
"Aug 31, 2023",4.1800,4.27,4.17,4.22,4.22,"785,300",SDE.TO
"Aug 30, 2023",4.2000,4.21,4.18,4.19,4.19,"319,100",SDE.TO
"Aug 29, 2023",4.1600,4.22,4.13,4.2,4.2,"453,000",SDE.TO
"Aug 28, 2023",4.0700,4.24,4.07,4.2,4.2,"319,700",SDE.TO
"Aug 25, 2023",4.0700,4.12,4.03,4.07,4.07,"200,200",SDE.TO
"Aug 24, 2023",4.0700,4.1,4.0,4.05,4.05,"177,900",SDE.TO
"Aug 23, 2023",4.1200,4.15,4.05,4.08,4.08,"142,400",SDE.TO
"Aug 22, 2023",4.1500,4.18,4.1,4.13,4.13,"152,800",SDE.TO
"Aug 21, 2023",4.2300,4.26,4.11,4.15,4.15,"183,400",SDE.TO
"Aug 18, 2023",4.1100,4.22,4.06,4.22,4.22,"396,300",SDE.TO
"Aug 17, 2023",4.1100,4.16,4.1,4.11,4.11,"231,700",SDE.TO
"Aug 16, 2023",4.0800,4.13,4.06,4.08,4.08,"157,400",SDE.TO
"Aug 15, 2023",4.1600,4.16,4.04,4.07,4.07,"861,900",SDE.TO
"Aug 14, 2023",4.2800,4.28,4.11,4.17,4.17,"419,600",SDE.TO
"Aug 11, 2023",4.1600,4.29,4.16,4.26,4.26,"293,700",SDE.TO
"Aug 10, 2023",4.2700,4.27,4.16,4.18,4.18,"507,700",SDE.TO
"Aug 09, 2023",4.3200,4.34,4.19,4.22,4.22,"659,000",SDE.TO
"Aug 08, 2023",4.2900,4.31,4.2,4.25,4.25,"437,000",SDE.TO
"Aug 04, 2023",4.3000,4.4,4.23,4.27,4.27,"688,900",SDE.TO
"Aug 03, 2023",4.2900,4.34,4.18,4.27,4.27,"646,000",SDE.TO
"Aug 02, 2023",4.2700,4.3,4.17,4.19,4.19,"468,500",SDE.TO
"Aug 01, 2023",4.3800,4.39,4.27,4.31,4.31,"339,000",SDE.TO
"Jul 31, 2023",4.3500,4.44,4.34,4.34,4.34,"500,500",SDE.TO
"Jul 28, 2023",4.2800,4.34,4.27,4.32,4.32,"279,600",SDE.TO
"Jul 27, 2023",4.4300,4.46,4.26,4.27,4.27,"497,100",SDE.TO
