Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",8.44,8.44,8.27,8.29,8.29,"424,900",SGY.TO
"Nov 17, 2023",8.22,8.42,8.20,8.30,8.30,"361,100",SGY.TO
"Nov 16, 2023",8.40,8.43,8.07,8.20,8.20,"837,900",SGY.TO
"Nov 15, 2023",8.65,8.72,8.50,8.50,8.50,"332,800",SGY.TO
"Nov 14, 2023",8.73,8.83,8.67,8.75,8.75,"186,100",SGY.TO
"Nov 13, 2023",8.79,8.91,8.74,8.78,8.78,"184,500",SGY.TO
"Nov 10, 2023",8.61,8.75,8.55,8.72,8.72,"291,800",SGY.TO
"Nov 09, 2023",8.62,8.81,8.51,8.51,8.51,"654,300",SGY.TO
"Nov 08, 2023",8.68,8.75,8.37,8.45,8.45,"704,300",SGY.TO
"Nov 07, 2023",9.06,9.10,8.70,8.70,8.70,"1,068,700",SGY.TO
"Nov 06, 2023",9.49,9.49,9.14,9.27,9.27,"668,600",SGY.TO
"Nov 03, 2023",9.71,9.77,9.38,9.38,9.38,"851,300",SGY.TO
"Nov 02, 2023",9.59,9.75,9.48,9.75,9.75,"623,500",SGY.TO
"Nov 01, 2023",9.64,9.69,9.51,9.52,9.52,"487,400",SGY.TO
"Oct 31, 2023",9.51,9.75,9.46,9.52,9.52,"776,900",SGY.TO
"Oct 30, 2023",9.62,9.66,9.32,9.49,9.49,"389,400",SGY.TO
"Oct 27, 2023",9.53,9.70,9.35,9.62,9.58,"779,900",SGY.TO
"Oct 26, 2023",9.21,9.53,9.10,9.48,9.44,"919,500",SGY.TO
"Oct 25, 2023",9.19,9.40,9.13,9.33,9.29,"485,100",SGY.TO
"Oct 24, 2023",9.20,9.23,9.05,9.19,9.15,"469,800",SGY.TO
"Oct 23, 2023",9.14,9.39,9.11,9.18,9.14,"607,900",SGY.TO
"Oct 20, 2023",9.31,9.36,9.18,9.27,9.23,"712,100",SGY.TO
"Oct 19, 2023",9.09,9.30,8.93,9.29,9.25,"605,400",SGY.TO
"Oct 18, 2023",9.21,9.30,9.11,9.18,9.14,"394,500",SGY.TO
"Oct 17, 2023",9.01,9.26,9.01,9.18,9.14,"397,100",SGY.TO
"Oct 16, 2023",9.20,9.20,9.03,9.07,9.03,"357,400",SGY.TO
"Oct 13, 2023",9.02,9.20,9.01,9.13,9.09,"416,100",SGY.TO
"Oct 12, 2023",8.90,8.93,8.73,8.88,8.84,"360,900",SGY.TO
"Oct 11, 2023",8.79,8.86,8.62,8.80,8.76,"438,200",SGY.TO
"Oct 10, 2023",8.99,8.99,8.78,8.86,8.82,"493,800",SGY.TO
"Oct 06, 2023",8.39,8.66,8.23,8.61,8.57,"395,400",SGY.TO
"Oct 05, 2023",8.25,8.48,8.19,8.33,8.30,"446,500",SGY.TO
"Oct 04, 2023",8.59,8.59,8.26,8.30,8.27,"569,200",SGY.TO
"Oct 03, 2023",8.69,8.73,8.53,8.69,8.65,"879,200",SGY.TO
"Oct 02, 2023",9.27,9.27,8.73,8.76,8.72,"690,500",SGY.TO
"Sep 29, 2023",9.53,9.54,9.26,9.26,9.22,"845,900",SGY.TO
"Sep 28, 2023",9.51,9.64,9.46,9.53,9.49,"574,600",SGY.TO
"Sep 27, 2023",9.54,9.65,9.43,9.57,9.49,"560,100",SGY.TO
"Sep 26, 2023",9.33,9.44,9.29,9.34,9.26,"296,900",SGY.TO
"Sep 25, 2023",9.11,9.39,9.10,9.39,9.31,"340,700",SGY.TO
"Sep 22, 2023",9.19,9.23,9.06,9.15,9.07,"348,800",SGY.TO
"Sep 21, 2023",9.22,9.28,9.05,9.05,8.97,"354,700",SGY.TO
"Sep 20, 2023",9.23,9.41,9.15,9.23,9.15,"402,900",SGY.TO
"Sep 19, 2023",9.45,9.50,9.27,9.30,9.22,"286,100",SGY.TO
"Sep 18, 2023",9.53,9.58,9.35,9.37,9.29,"367,900",SGY.TO
"Sep 15, 2023",9.48,9.57,9.41,9.45,9.37,"375,400",SGY.TO
