Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",0.8700,0.8800,0.8600,0.8800,0.8800,"59,500",TXP.TO
"Nov 17, 2023",0.9000,0.9100,0.8700,0.8800,0.8800,"146,700",TXP.TO
"Nov 16, 2023",0.9000,0.9000,0.8700,0.9000,0.9000,"100,400",TXP.TO
"Nov 15, 2023",0.9500,0.9500,0.9000,0.9000,0.9000,"147,000",TXP.TO
"Nov 14, 2023",0.9700,0.9700,0.9300,0.9500,0.9500,"38,500",TXP.TO
"Nov 13, 2023",0.9600,0.9900,0.9500,0.9800,0.9800,"17,500",TXP.TO
"Nov 10, 2023",0.9700,0.9700,0.9200,0.9400,0.9400,"55,600",TXP.TO
"Nov 09, 2023",1.0000,1.0000,0.9700,0.9800,0.9800,"45,900",TXP.TO
"Nov 08, 2023",1.0100,1.0300,0.9900,1.0000,1.0000,"24,100",TXP.TO
"Nov 07, 2023",1.0400,1.0400,0.9900,1.0300,1.0300,"38,500",TXP.TO
"Nov 06, 2023",1.0600,1.0600,1.0200,1.0400,1.0400,"29,700",TXP.TO
"Nov 03, 2023",0.9900,1.0600,0.9600,1.0600,1.0600,"166,300",TXP.TO
"Nov 02, 2023",0.9400,1.0300,0.9400,0.9700,0.9700,"191,300",TXP.TO
"Nov 01, 2023",0.9100,0.9300,0.9100,0.9300,0.9300,"24,000",TXP.TO
"Oct 31, 2023",0.9200,0.9200,0.9100,0.9200,0.9200,"32,900",TXP.TO
"Oct 30, 2023",0.9300,0.9500,0.9300,0.9400,0.9400,"38,700",TXP.TO
"Oct 27, 2023",0.9300,0.9400,0.9100,0.9200,0.9200,"37,200",TXP.TO
"Oct 26, 2023",0.9800,0.9800,0.9300,0.9300,0.9300,"92,600",TXP.TO
"Oct 25, 2023",0.9000,0.9500,0.9000,0.9500,0.9500,"143,800",TXP.TO
"Oct 24, 2023",0.9100,0.9200,0.8900,0.9200,0.9200,"47,500",TXP.TO
"Oct 23, 2023",0.9400,0.9400,0.8900,0.8900,0.8900,"196,400",TXP.TO
"Oct 20, 2023",0.9500,0.9500,0.9200,0.9200,0.9200,"115,700",TXP.TO
"Oct 19, 2023",0.9700,0.9800,0.9700,0.9800,0.9800,"253,800",TXP.TO
"Oct 18, 2023",0.9600,0.9800,0.9500,0.9500,0.9500,"53,500",TXP.TO
"Oct 17, 2023",0.9800,1.0300,0.9800,0.9800,0.9800,"129,700",TXP.TO
"Oct 16, 2023",0.9500,1.0200,0.9200,1.0100,1.0100,"340,900",TXP.TO
"Oct 13, 2023",0.9400,0.9500,0.9200,0.9300,0.9300,"75,600",TXP.TO
"Oct 12, 2023",0.9700,0.9700,0.9300,0.9400,0.9400,"88,900",TXP.TO
"Oct 11, 2023",0.9700,0.9700,0.9600,0.9700,0.9700,"31,900",TXP.TO
"Oct 10, 2023",0.9700,0.9800,0.9600,0.9700,0.9700,"12,800",TXP.TO
"Oct 06, 2023",0.9700,0.9700,0.9400,0.9600,0.9600,"38,200",TXP.TO
"Oct 05, 2023",0.9900,0.9900,0.9700,0.9700,0.9700,"39,100",TXP.TO
"Oct 04, 2023",0.9700,0.9900,0.9400,0.9900,0.9900,"136,300",TXP.TO
"Oct 03, 2023",1.0000,1.0100,0.9600,0.9700,0.9700,"114,200",TXP.TO
"Oct 02, 2023",1.0100,1.0300,0.9700,1.0000,1.0000,"140,100",TXP.TO
"Sep 29, 2023",1.0500,1.0500,1.0200,1.0200,1.0200,"330,200",TXP.TO
"Sep 28, 2023",1.0300,1.0300,1.0200,1.0200,1.0200,"50,300",TXP.TO
"Sep 27, 2023",1.0200,1.0400,1.0000,1.0200,1.0200,"132,200",TXP.TO
"Sep 26, 2023",1.0400,1.0500,1.0200,1.0300,1.0300,"214,900",TXP.TO
"Sep 25, 2023",1.0500,1.0500,1.0100,1.0300,1.0300,"290,700",TXP.TO
"Sep 22, 2023",1.1200,1.1300,1.0300,1.0300,1.0300,"325,400",TXP.TO
"Sep 21, 2023",1.1100,1.1100,1.0700,1.0800,1.0800,"125,600",TXP.TO
"Sep 20, 2023",1.1200,1.1400,1.1100,1.1100,1.1100,"127,300",TXP.TO
"Sep 19, 2023",1.1400,1.1500,1.1300,1.1400,1.1400,"92,700",TXP.TO
"Sep 18, 2023",1.1700,1.1900,1.1600,1.1700,1.1700,"126,100",TXP.TO
"Sep 15, 2023",1.1600,1.1900,1.1500,1.1600,1.1600,"234,500",TXP.TO
"Sep 14, 2023",1.1200,1.1800,1.1100,1.1800,1.1800,"123,000",TXP.TO
"Sep 13, 2023",1.1400,1.1400,1.1000,1.1300,1.1300,"66,500",TXP.TO
"Sep 12, 2023",1.1500,1.1500,1.1200,1.1400,1.1400,"141,500",TXP.TO
"Sep 11, 2023",1.1700,1.1800,1.1600,1.1600,1.1600,"106,800",TXP.TO
"Sep 08, 2023",1.1800,1.2300,1.1700,1.2300,1.2300,"87,900",TXP.TO
"Sep 07, 2023",1.1900,1.2000,1.1700,1.2000,1.2000,"252,400",TXP.TO
"Sep 06, 2023",1.2500,1.2500,1.1900,1.2100,1.2100,"66,700",TXP.TO
"Sep 05, 2023",1.2600,1.2600,1.2300,1.2600,1.2600,"61,300",TXP.TO
"Sep 01, 2023",1.2400,1.3200,1.2400,1.2700,1.2700,"96,400",TXP.TO
"Aug 31, 2023",1.1500,1.2800,1.1500,1.2800,1.2800,"147,200",TXP.TO
"Aug 30, 2023",1.1500,1.2000,1.1500,1.1700,1.1700,"60,000",TXP.TO
"Aug 29, 2023",1.1500,1.1900,1.1400,1.1600,1.1600,"101,700",TXP.TO
"Aug 28, 2023",1.1000,1.1600,1.0800,1.1500,1.1500,"77,500",TXP.TO
"Aug 25, 2023",1.1300,1.1300,1.0900,1.1000,1.1000,"128,400",TXP.TO
"Aug 24, 2023",1.1200,1.1700,1.0900,1.1200,1.1200,"381,500",TXP.TO
"Aug 23, 2023",1.2800,1.3000,1.2700,1.2700,1.2700,"20,500",TXP.TO
"Aug 22, 2023",1.3000,1.3200,1.2800,1.3000,1.3000,"68,200",TXP.TO
"Aug 21, 2023",1.2500,1.3300,1.2500,1.3300,1.3300,"98,600",TXP.TO
"Aug 18, 2023",1.2600,1.2800,1.2500,1.2800,1.2800,"96,100",TXP.TO
"Aug 17, 2023",1.3100,1.3500,1.2800,1.3000,1.3000,"138,900",TXP.TO
"Aug 16, 2023",1.3500,1.3700,1.2900,1.3000,1.3000,"198,600",TXP.TO
