Date,Open,High,Low,Close*,Adj Close**,Volume,Symbol
"Nov 20, 2023",1.4800,1.5000,1.4800,1.4800,1.4800,"52,100",YGR.TO
"Nov 17, 2023",1.4800,1.5000,1.4700,1.4800,1.4800,"100,400",YGR.TO
"Nov 16, 2023",1.5300,1.5300,1.4400,1.4800,1.4800,"180,300",YGR.TO
"Nov 15, 2023",1.6000,1.6000,1.5500,1.5600,1.5600,"39,800",YGR.TO
"Nov 14, 2023",1.6000,1.6000,1.5600,1.5900,1.5900,"45,500",YGR.TO
"Nov 13, 2023",1.5800,1.5900,1.5300,1.5500,1.5500,"59,800",YGR.TO
"Nov 10, 2023",1.5500,1.5800,1.5000,1.5600,1.5600,"212,900",YGR.TO
"Nov 09, 2023",1.5800,1.5800,1.5300,1.5400,1.5400,"169,200",YGR.TO
"Nov 08, 2023",1.6400,1.6400,1.4800,1.5400,1.5400,"415,700",YGR.TO
"Nov 07, 2023",1.7000,1.7000,1.6400,1.6600,1.6600,"80,800",YGR.TO
"Nov 06, 2023",1.7500,1.7500,1.7200,1.7200,1.7200,"41,500",YGR.TO
"Nov 03, 2023",1.7600,1.7700,1.7200,1.7500,1.7500,"95,500",YGR.TO
"Nov 02, 2023",1.7300,1.7600,1.7300,1.7600,1.7600,"51,100",YGR.TO
"Nov 01, 2023",1.7200,1.7600,1.7200,1.7200,1.7200,"97,700",YGR.TO
"Oct 31, 2023",1.7500,1.7600,1.7100,1.7300,1.7300,"59,800",YGR.TO
"Oct 30, 2023",1.7400,1.7700,1.7200,1.7500,1.7500,"51,000",YGR.TO
"Oct 27, 2023",1.7300,1.7700,1.7100,1.7700,1.7700,"51,000",YGR.TO
"Oct 26, 2023",1.7400,1.7400,1.6900,1.7200,1.7200,"38,200",YGR.TO
"Oct 25, 2023",1.7500,1.7600,1.7200,1.7600,1.7600,"81,700",YGR.TO
"Oct 24, 2023",1.7800,1.7800,1.7200,1.7500,1.7500,"66,100",YGR.TO
"Oct 23, 2023",1.7800,1.7900,1.7500,1.7700,1.7700,"79,100",YGR.TO
"Oct 20, 2023",1.8600,1.8600,1.7800,1.8100,1.8100,"115,700",YGR.TO
"Oct 19, 2023",1.7800,1.8200,1.7800,1.8200,1.8200,"43,100",YGR.TO
"Oct 18, 2023",1.7900,1.8100,1.7800,1.8100,1.8100,"125,700",YGR.TO
"Oct 17, 2023",1.7400,1.7900,1.7400,1.7900,1.7900,"61,200",YGR.TO
"Oct 16, 2023",1.7800,1.7800,1.7200,1.7500,1.7500,"128,200",YGR.TO
"Oct 13, 2023",1.7200,1.7700,1.7000,1.7400,1.7400,"60,500",YGR.TO
"Oct 12, 2023",1.7100,1.7200,1.6800,1.6900,1.6900,"45,900",YGR.TO
"Oct 11, 2023",1.7100,1.7300,1.6800,1.7200,1.7200,"58,400",YGR.TO
"Oct 10, 2023",1.7000,1.7400,1.7000,1.7100,1.7100,"66,100",YGR.TO
"Oct 06, 2023",1.6600,1.6900,1.6400,1.6800,1.6800,"176,000",YGR.TO
"Oct 05, 2023",1.6500,1.6700,1.6400,1.6400,1.6400,"57,200",YGR.TO
"Oct 04, 2023",1.7000,1.7100,1.6600,1.6600,1.6600,"109,400",YGR.TO
"Oct 03, 2023",1.7500,1.7500,1.7100,1.7100,1.7100,"82,200",YGR.TO
"Oct 02, 2023",1.8200,1.8200,1.7400,1.7400,1.7400,"214,900",YGR.TO
"Sep 29, 2023",1.8400,1.8500,1.8100,1.8100,1.8100,"90,700",YGR.TO
"Sep 28, 2023",1.8400,1.8600,1.8100,1.8500,1.8500,"123,600",YGR.TO
"Sep 27, 2023",1.8200,1.8600,1.8200,1.8600,1.8600,"122,400",YGR.TO
"Sep 26, 2023",1.8300,1.8500,1.7900,1.7900,1.7900,"121,400",YGR.TO
"Sep 25, 2023",1.8000,1.8700,1.7900,1.8500,1.8500,"192,500",YGR.TO
"Sep 22, 2023",1.8100,1.8100,1.7800,1.8000,1.8000,"98,800",YGR.TO
"Sep 21, 2023",1.8200,1.8300,1.7900,1.7900,1.7900,"64,800",YGR.TO
"Sep 20, 2023",1.8400,1.8500,1.8100,1.8100,1.8100,"26,200",YGR.TO
"Sep 19, 2023",1.8700,1.8900,1.8300,1.8300,1.8300,"93,300",YGR.TO
"Sep 18, 2023",1.8800,1.9000,1.8600,1.8600,1.8600,"103,400",YGR.TO
"Sep 15, 2023",1.9100,1.9100,1.8800,1.8800,1.8800,"83,000",YGR.TO
"Sep 14, 2023",1.8900,1.9400,1.8800,1.9100,1.9100,"130,200",YGR.TO
"Sep 13, 2023",1.9100,1.9200,1.8800,1.8800,1.8800,"27,900",YGR.TO
"Sep 12, 2023",1.8700,1.9400,1.8700,1.9300,1.9300,"117,000",YGR.TO
"Sep 11, 2023",1.8900,1.9000,1.8400,1.8600,1.8600,"121,800",YGR.TO
"Sep 08, 2023",1.9000,1.9200,1.8800,1.8900,1.8900,"99,900",YGR.TO
"Sep 07, 2023",1.8900,1.9200,1.8800,1.8800,1.8800,"32,300",YGR.TO
"Sep 06, 2023",1.9400,1.9400,1.8500,1.9400,1.9400,"99,500",YGR.TO
"Sep 05, 2023",1.9400,1.9800,1.9100,1.9100,1.9100,"90,200",YGR.TO
"Sep 01, 2023",1.8400,1.9600,1.8400,1.9600,1.9600,"146,500",YGR.TO
"Aug 31, 2023",1.8200,1.8600,1.8200,1.8400,1.8400,"18,600",YGR.TO
"Aug 30, 2023",1.7900,1.8500,1.7900,1.8200,1.8200,"37,000",YGR.TO
"Aug 29, 2023",1.7400,1.8100,1.7400,1.8100,1.8100,"66,000",YGR.TO
"Aug 28, 2023",1.7100,1.7600,1.7100,1.7400,1.7400,"21,200",YGR.TO
"Aug 25, 2023",1.7200,1.7300,1.6900,1.7200,1.7200,"60,100",YGR.TO
"Aug 24, 2023",1.7300,1.7400,1.6900,1.7200,1.7200,"83,400",YGR.TO
"Aug 23, 2023",1.7300,1.7800,1.7300,1.7400,1.7400,"56,700",YGR.TO
"Aug 22, 2023",1.8100,1.8300,1.7500,1.7900,1.7900,"68,700",YGR.TO
"Aug 21, 2023",1.8000,1.8300,1.8000,1.8100,1.8100,"74,700",YGR.TO
"Aug 18, 2023",1.7600,1.8400,1.7600,1.8000,1.8000,"39,200",YGR.TO
"Aug 17, 2023",1.7800,1.8200,1.7800,1.7900,1.7900,"42,100",YGR.TO
"Aug 16, 2023",1.7600,1.8100,1.7600,1.7700,1.7700,"64,900",YGR.TO
"Aug 15, 2023",1.8200,1.8200,1.7900,1.7900,1.7900,"47,200",YGR.TO
"Aug 14, 2023",1.8500,1.8600,1.8200,1.8200,1.8200,"26,600",YGR.TO
"Aug 11, 2023",1.8800,1.9000,1.8700,1.8800,1.8800,"39,300",YGR.TO
"Aug 10, 2023",1.9100,1.9200,1.8600,1.8600,1.8600,"57,800",YGR.TO
"Aug 09, 2023",1.8700,1.9400,1.8700,1.8900,1.8900,"93,400",YGR.TO
"Aug 08, 2023",1.8800,1.8900,1.8400,1.8700,1.8700,"53,000",YGR.TO
"Aug 04, 2023",1.9000,1.9200,1.9000,1.9100,1.9100,"82,100",YGR.TO
"Aug 03, 2023",1.8800,1.9100,1.8400,1.8800,1.8800,"57,300",YGR.TO
"Aug 02, 2023",1.9200,1.9200,1.8400,1.8500,1.8500,"42,700",YGR.TO
"Aug 01, 2023",1.9500,1.9500,1.8600,1.9000,1.9000,"90,200",YGR.TO
"Jul 31, 2023",1.8200,1.9300,1.8200,1.9300,1.9300,"163,100",YGR.TO
"Jul 28, 2023",1.8100,1.8300,1.7900,1.8000,1.8000,"137,100",YGR.TO
"Jul 27, 2023",1.8400,1.8400,1.7700,1.8000,1.8000,"154,300",YGR.TO
"Jul 26, 2023",1.8800,1.8800,1.8200,1.8400,1.8400,"36,100",YGR.TO
"Jul 25, 2023",1.8600,1.9000,1.8500,1.8700,1.8700,"80,500",YGR.TO
"Jul 24, 2023",1.8100,1.8800,1.8000,1.8500,1.8500,"99,200",YGR.TO
"Jul 21, 2023",1.8000,1.8200,1.8000,1.8200,1.8200,"28,600",YGR.TO
"Jul 20, 2023",1.8400,1.8400,1.7900,1.8000,1.8000,"31,500",YGR.TO
"Jul 19, 2023",1.8100,1.8200,1.7800,1.8100,1.8100,"52,100",YGR.TO
"Jul 18, 2023",1.7300,1.8100,1.7300,1.8100,1.8100,"50,400",YGR.TO
"Jul 17, 2023",1.7700,1.7800,1.7300,1.7300,1.7300,"82,600",YGR.TO
"Jul 14, 2023",1.8300,1.8300,1.7600,1.7700,1.7700,"59,100",YGR.TO
"Jul 13, 2023",1.8100,1.8500,1.7800,1.8300,1.8300,"49,800",YGR.TO
"Jul 12, 2023",1.8200,1.8500,1.8100,1.8100,1.8100,"32,500",YGR.TO
"Jul 11, 2023",1.7900,1.8500,1.7900,1.8300,1.8300,"166,000",YGR.TO
"Jul 10, 2023",1.7900,1.7900,1.7500,1.7800,1.7800,"40,000",YGR.TO
"Jul 07, 2023",1.6700,1.7700,1.6700,1.7700,1.7700,"129,800",YGR.TO
"Jul 06, 2023",1.7200,1.7200,1.6300,1.6600,1.6600,"110,500",YGR.TO
"Jul 05, 2023",1.7100,1.7500,1.6800,1.7500,1.7500,"118,100",YGR.TO
"Jul 04, 2023",1.6800,1.7400,1.6800,1.7200,1.7200,"73,400",YGR.TO
"Jun 30, 2023",1.6600,1.6600,1.6200,1.6500,1.6500,"84,400",YGR.TO
"Jun 29, 2023",1.6300,1.6600,1.6100,1.6600,1.6600,"31,300",YGR.TO
"Jun 28, 2023",1.5900,1.6300,1.5800,1.6300,1.6300,"60,400",YGR.TO
"Jun 27, 2023",1.6000,1.6100,1.5800,1.6000,1.6000,"48,200",YGR.TO
"Jun 26, 2023",1.6100,1.6400,1.6000,1.6000,1.6000,"61,600",YGR.TO
"Jun 23, 2023",1.5900,1.6000,1.5800,1.6000,1.6000,"43,400",YGR.TO
"Jun 22, 2023",1.6400,1.6400,1.5900,1.6100,1.6100,"59,700",YGR.TO
"Jun 21, 2023",1.6300,1.6800,1.6100,1.6800,1.6800,"87,400",YGR.TO
"Jun 20, 2023",1.6200,1.6200,1.5800,1.6100,1.6100,"55,100",YGR.TO
"Jun 19, 2023",1.6200,1.6300,1.6200,1.6200,1.6200,"23,000",YGR.TO
"Jun 16, 2023",1.6200,1.6500,1.6200,1.6500,1.6500,"47,900",YGR.TO
"Jun 15, 2023",1.5900,1.6300,1.5900,1.6300,1.6300,"94,200",YGR.TO
"Jun 14, 2023",1.6300,1.6300,1.5800,1.5800,1.5800,"58,500",YGR.TO
"Jun 13, 2023",1.6800,1.6800,1.6200,1.6600,1.6600,"48,800",YGR.TO
"Jun 12, 2023",1.6700,1.6700,1.6100,1.6100,1.6100,"54,200",YGR.TO
"Jun 09, 2023",1.6800,1.6800,1.6600,1.6600,1.6600,"39,500",YGR.TO
"Jun 08, 2023",1.7200,1.7300,1.6500,1.6700,1.6700,"33,600",YGR.TO
"Jun 07, 2023",1.6900,1.7200,1.6800,1.7100,1.7100,"66,500",YGR.TO
"Jun 06, 2023",1.6500,1.6900,1.6500,1.6900,1.6900,"33,900",YGR.TO
"Jun 05, 2023",1.6800,1.6900,1.6500,1.6700,1.6700,"63,300",YGR.TO
